,S010_002,S022_002,S026_002,S032_002,S034_002,S035_002,S037_002,S042_002,S044_002,S051_002,S057_002,S067_002,S070_002,S071_002,S073_002,S075_002,S077_002,S078_002,S079_002,S080_002,S082_002,S083_002,S087_002,S088_002,S093_002,S095_002,S097_002,S099_002,S100_002,S101_002,S102_002,S103_002,S107_002,S109_002,S110_002,S112_002,S113_002,S115_002,S118_002,S121_002,S122_002
S010_002,1.0,0.9998687383046231,0.999941596645644,0.9999264486346748,0.999902288989974,0.9999019281292303,0.9998213739704315,0.9999386264681291,0.9999583509994575,0.9998535499452996,0.9998473609903084,0.9999507734527745,0.9997967790557329,0.9998663097925209,0.9999117744644351,0.9998912295160601,0.9998501109398569,0.9997393619122145,0.9994743976511525,0.9997664391049534,0.9993411314984529,0.9998833109325806,0.9999452107704383,0.9999201311406513,0.9998814848997102,0.9999020604765317,0.9999375660472009,0.999830659512969,0.9993510906149091,0.9998454712057101,0.9999339029621349,0.9999468573015622,0.9998611590628342,0.9995494137174655,0.9998532319478196,0.9999698101198583,0.9996786300719689,0.9999127097137155,0.9998865107293671,0.999903511060244,0.9997721085441732
S022_002,0.9998687383046231,1.0,0.999959233692699,0.9999575285851989,0.9999898054801852,0.9999786674741736,0.9999519899202416,0.9999423075168831,0.9999282891649358,0.9995839233649451,0.9999751247854242,0.9998812567520915,0.9997761399686161,0.9999456269653373,0.9999708255261219,0.9999333101190789,0.9999586321092776,0.9999591426110299,0.9997971227132648,0.9999030237261164,0.9997453432166354,0.9997961770811431,0.9999563339636299,0.9999503035855941,0.999909983519075,0.9999716799623984,0.9997427237207669,0.9996149551351861,0.9997521865887702,0.9999058281845937,0.999959819771589,0.9999514083312948,0.9996973466672361,0.9998567941917896,0.9999686720503163,0.999838544516247,0.9999279099211046,0.9999507507515915,0.9999844046091559,0.9999635230862354,0.9998808802725551
S026_002,0.999941596645644,0.999959233692699,1.0,0.9999907095501647,0.9999782369151404,0.9999801865729419,0.9999583186653563,0.9999855914987251,0.9999666235226952,0.9996885243545518,0.9999491466723507,0.999930361955213,0.9997736261603438,0.9999561383541323,0.9999829073150542,0.9999142565554326,0.9999685866420207,0.9999125511043223,0.9997530190179024,0.9999292978303905,0.9996507947789999,0.9998405147359598,0.999983993197279,0.9999610881300114,0.9999185068077813,0.9999709178912164,0.999807948976293,0.9996915713472095,0.9996582618798726,0.9999339019017741,0.9999466737613022,0.9999834406906922,0.9997700530907632,0.9997731484992907,0.9999485689062826,0.9999012030675462,0.9998765334384984,0.999955334126263,0.9999747692467054,0.9999708959496324,0.9999148291961136
S032_002,0.9999264486346748,0.9999575285851989,0.9999907095501647,1.0,0.9999864307209305,0.999973475848755,0.9999676993802661,0.9999730252142598,0.9999765945116743,0.9997190785419905,0.9999701311361006,0.9999522482621149,0.999795865240291,0.9999843298562282,0.9999945304105881,0.9999452852986355,0.9999804769489125,0.9999191761264562,0.9997360434672858,0.9999406894051294,0.9996664754330478,0.9998839099296585,0.9999898254853982,0.9999829381547282,0.9999535720407987,0.9999877686247871,0.999817285656241,0.9997337109905924,0.9996680290367835,0.9999693512529514,0.9999604628462734,0.9999868450905725,0.999813204771942,0.9997758121987104,0.999972238794529,0.9999076567972238,0.9998677452718928,0.9999649182876448,0.9999615368575306,0.9999836410696425,0.9999058051114004
S034_002,0.999902288989974,0.9999898054801852,0.9999782369151404,0.9999864307209305,1.0,0.9999816404473808,0.9999660917504485,0.9999574989564106,0.9999609475983549,0.9996697631732439,0.9999864721272921,0.9999331720710133,0.9998136852247593,0.999978809592666,0.9999937056019297,0.9999561331878687,0.9999785594547551,0.9999510971955935,0.9997637109227003,0.9999259486384584,0.9997113217196668,0.9998600517637332,0.999982876210315,0.9999799285109477,0.9999532453060209,0.9999912119928502,0.9997978976843077,0.9996979648915003,0.9997132325319683,0.9999520157912364,0.9999768526006916,0.9999747971465925,0.9997788050994563,0.9998220411426764,0.999987743387277,0.999883747637975,0.9998992056006812,0.9999680642133754,0.9999790577993154,0.9999820091610274,0.999889591621308
S035_002,0.9999019281292303,0.9999786674741736,0.9999801865729419,0.999973475848755,0.9999816404473808,1.0,0.9999733715175019,0.9999837199243932,0.9999609641355863,0.999644074449198,0.999976490412467,0.9999041771992343,0.9997036596908178,0.9999460730450916,0.9999766451119909,0.9999367447564594,0.9999764361198331,0.999947070468433,0.9998125098429416,0.9999420365697129,0.9997378212177733,0.999834321556723,0.9999760944329382,0.9999658020513631,0.9999166654766449,0.9999785009872565,0.9997743601730056,0.9996668008268376,0.9997509787195648,0.9999333465731174,0.9999538914552717,0.9999729793511151,0.9997459664751325,0.9998700056806211,0.9999605191652967,0.9998863068920049,0.9999276233080155,0.9999820884797547,0.9999913759219695,0.9999821165905014,0.9999420891636175
S037_002,0.9998213739704315,0.9999519899202416,0.9999583186653563,0.9999676993802661,0.9999660917504485,0.9999733715175019,1.0,0.9999452647881633,0.999926876682815,0.9995614304750524,0.9999777905633825,0.999870217655287,0.999653095809184,0.9999682800245668,0.9999658152402733,0.9999033428681208,0.9999958984886735,0.999972644502191,0.9998665878811569,0.9999903485524315,0.999809256953154,0.9998061463584669,0.9999452773492943,0.9999500583699762,0.9999061177808032,0.9999717643151922,0.9996784229237781,0.9995980791910408,0.9998218638087307,0.999961341423834,0.9999090370238803,0.9999506605873283,0.999698681243045,0.9998971784279607,0.9999672471150657,0.9998164437063924,0.9999445808835443,0.9999461449935524,0.9999686016312264,0.999973632531119,0.9999464212330479
S042_002,0.9999386264681291,0.9999423075168831,0.9999855914987251,0.9999730252142598,0.9999574989564106,0.9999837199243932,0.9999452647881633,1.0,0.9999686080824728,0.999689802644228,0.9999402456552627,0.9999098391472532,0.9996911552967707,0.9999234735149538,0.999964945562723,0.9999200129332352,0.9999498982653914,0.9998853259346824,0.9997526592759148,0.999916929432695,0.9996588264037641,0.9998371720073462,0.9999765812368879,0.9999534258969788,0.9998949137884765,0.9999586345402353,0.999798488978076,0.9996897685593723,0.9996695045975145,0.9999151961310259,0.9999329071728102,0.9999761441982304,0.9997611560880882,0.9997948291115936,0.9999201404767264,0.9999095211551459,0.9998799583983061,0.9999710968763678,0.9999628519131707,0.999968071025523,0.9999432021047756
S044_002,0.9999583509994575,0.9999282891649358,0.9999666235226952,0.9999765945116743,0.9999609475983549,0.9999609641355863,0.999926876682815,0.9999686080824728,1.0,0.999831088860213,0.9999487783023534,0.9999733002564262,0.9997559366273406,0.9999540989869644,0.9999663893259106,0.9999701010284887,0.9999422683586449,0.999854398063433,0.999626270837601,0.9998872415061788,0.9995501462923388,0.9999449058190717,0.9999795279674614,0.9999896761013589,0.9999482770678535,0.9999792690250208,0.9998983434419381,0.9998405907417779,0.9995643169405699,0.9999490139409783,0.999975946894372,0.9999911347745418,0.9998855514240338,0.9997279319447873,0.9999424406046299,0.999971666929003,0.9998020463471056,0.9999796692076053,0.9999410268767492,0.9999828311888143,0.999863096201513
S051_002,0.9998535499452996,0.9995839233649451,0.9996885243545518,0.9997190785419905,0.9996697631732439,0.999644074449198,0.9995614304750524,0.999689802644228,0.999831088860213,1.0,0.9996374681810816,0.9998858752515294,0.9996442248533459,0.9996940071176951,0.9996947513166657,0.9997844546907872,0.9996130283136095,0.9994174140523739,0.9989737018347613,0.9994984548554067,0.9988710301477953,0.9999293726671937,0.9997507989203154,0.999785522341047,0.9997826673940496,0.9997195716205876,0.9999637321450601,0.9999888986670055,0.9988854983513492,0.9997144259674917,0.9997933590137686,0.9997648232287316,0.9999617442798201,0.9991799778959678,0.9996591800189141,0.9999287060607684,0.9992718893099328,0.9997432765099019,0.9996045524259262,0.9997191710621591,0.9994413448302054
