,S010_005,S011_005,S014_005,S022_005,S026_005,S032_005,S034_005,S035_005,S037_005,S042_005,S044_005,S045_005,S046_005,S050_005,S052_005,S053_005,S054_005,S055_005,S056_005,S057_005,S058_005,S060_005,S061_005,S062_005,S063_005,S064_005,S065_005,S066_005,S067_005,S068_005,S069_005,S070_005,S071_005,S072_005,S073_005,S074_005,S075_005,S076_005,S077_005,S078_005,S079_005,S080_005,S081_005,S083_005,S085_005,S086_005,S087_005,S089_005,S091_005,S092_005,S093_005,S094_005,S095_005,S096_005,S097_005,S098_005,S099_005,S100_005,S101_005,S102_005,S103_005,S104_005,S105_005,S106_005,S107_005,S108_005,S109_005,S110_005,S111_005,S112_005,S113_005,S114_005,S115_005,S116_005,S117_005,S118_005,S119_005,S121_005,S124_005,S125_005
S010_005,1.0,0.9994891237976707,0.9999611100425989,0.9999531077623218,0.9999503293502234,0.9999131604256076,0.9997829519575897,0.9999004549998509,0.9999137549857425,0.9999061085806347,0.9997194869073439,0.9999125748129067,0.999875912727818,0.9999140370205327,0.9998347136851019,0.9999397732634229,0.9999447594929389,0.9999155531672915,0.9999328813839056,0.9999354989291797,0.9999394877183079,0.9999203185749495,0.999966094427988,0.9999658101112464,0.9999592633427158,0.9999404804314729,0.999945813139818,0.9999612248452961,0.9999135021875161,0.9997951348023392,0.9998351413752008,0.9998972282403905,0.9998991939559374,0.9999673792489184,0.9999369942236253,0.9999568718660754,0.9999127749920487,0.999864089128852,0.9998536041849826,0.999921448712181,0.9999567497245173,0.9998763878921513,0.9999674311069937,0.9999682409716256,0.9998865371643818,0.9997056733423458,0.9997148931742913,0.9999460724459184,0.9999371903473979,0.999874398209859,0.9999629402156043,0.9998426127382694,0.9999624637458417,0.9994267057133933,0.9999188223756578,0.9998077418043806,0.9999207424999523,0.9998611887414198,0.9999203198538669,0.9999563515672826,0.9999536258525638,0.9999386742762824,0.9999685662399693,0.9995916963783018,0.9999435424324455,0.9999309396813567,0.9998062834369081,0.9999178432249259,0.9995737112382277,0.9999248148549867,0.9999104584089954,0.9998658951586592,0.9997253351636384,0.9997779603524021,0.9998761815956714,0.9999425334080598,0.9999174070374782,0.9998508179143505,0.999901231070879,0.9999434300523841
S011_005,0.9994891237976707,1.0,0.9996168556624174,0.9995265884616649,0.9996892489887325,0.9995490755926418,0.9998898949884639,0.99973122972061,0.9996843760966667,0.9997311440550295,0.9999609984083597,0.9997566239448668,0.9996180551928565,0.9997135315355755,0.9998343525994415,0.9994079625692771,0.999717024839724,0.9997555886744023,0.999382935769634,0.9997287933545178,0.9994927804302958,0.9996738897240232,0.9995421663378783,0.9996690132654511,0.9996830810168765,0.999646735968636,0.999570591522441,0.9993610582194418,0.9997717532754743,0.9998341685775635,0.9998266004109245,0.9997094127941122,0.9995312973357284,0.9995975280820744,0.9996444586765822,0.9993665550874062,0.9995198322938582,0.9997270519266652,0.9997080130213309,0.9996513638582294,0.9996408651347323,0.9998385516752193,0.9995681787349062,0.9996208899735788,0.9998056238073653,0.9997478100150669,0.9998147127975667,0.9994603415285765,0.9995241229631456,0.9998267008049604,0.9995645892535684,0.999676821934237,0.9995018511615938,0.9993666300002324,0.9994725480880299,0.9998566282923292,0.9993672864327181,0.999810607360013,0.9997792378642053,0.9997112000030134,0.9996367442101386,0.9997380222415455,0.9996484449449247,0.9998327443627003,0.9995502733164551,0.9997668034912625,0.9998913383881972,0.9997156101450891,0.9998713304310385,0.9997120376079097,0.9996977325729253,0.9997645701833171,0.9999419959065768,0.9998404667625781,0.9998548540203032,0.9996440995430101,0.9997333179019929,0.9997613882807757,0.9993118337924636,0.9996482099089536
S014_005,0.9999611100425989,0.9996168556624174,1.0,0.9999740783713796,0.9999582443776427,0.9999278188741956,0.9998090681665364,0.9999358619799588,0.9999576544119327,0.9999012219411576,0.9998043415354092,0.9999567072656604,0.9999106897654796,0.9999722890054419,0.9999078469491408,0.9999602723855526,0.9999442337049033,0.9999641370140511,0.9999279406859554,0.999965238572316,0.9999411871551286,0.9999359483396474,0.9999549071862797,0.9999869614942027,0.9999801406860603,0.9999865124567835,0.9999816390820659,0.9999392621127907,0.9999218726453696,0.9997876289639449,0.999880043252866,0.9999061435650054,0.9999360991571147,0.9999854480276414,0.9999702341645779,0.9999462443896473,0.9999347805406873,0.9998616271186358,0.9999296064023477,0.9999364472068514,0.9999867112684305,0.9999288073597801,0.9999860812632896,0.9999766471925065,0.9999209491273866,0.999785830966533,0.9997739026409773,0.9999730014475898,0.9999743727710705,0.9999483963323966,0.9999738470475991,0.9998192879482104,0.9999692704336473,0.999457004443972,0.9999573019311614,0.9998180477976745,0.9999281245261495,0.9999480786534035,0.9999456640089641,0.9999599857962918,0.9999961307970037,0.9999795895392498,0.9999815976109006,0.9996433706775344,0.9999684432585767,0.9999333161108008,0.9998465175926637,0.9999424914956844,0.9996169172753746,0.9999738350339883,0.9999532155873281,0.9999321011984181,0.9997756194444918,0.9998206229820004,0.9999273881596195,0.9999738078265732,0.9999098330395186,0.999908369163772,0.999937760086625,0.9999813060960137
S022_005,0.9999531077623218,0.9995265884616649,0.9999740783713796,1.0,0.9999370536788337,0.9998927644859646,0.9997794354750064,0.9999158127344636,0.999953220381037,0.9998923193770378,0.9997391607524068,0.9999495412953134,0.9999076271071269,0.9999434134780621,0.9999013864478633,0.9999589670340163,0.9999322056587525,0.999957894984959,0.9998958270051767,0.9999631444239733,0.9999707828518505,0.999947508057676,0.9999615268832384,0.99996657305932,0.9999689867582715,0.9999846829466805,0.9999787469266584,0.9999545673661198,0.9998917836136773,0.9997642356644402,0.9998478633390413,0.9999264223171489,0.9999422686231046,0.9999584438836397,0.9999758930208921,0.9999657386792306,0.9999662009743431,0.9998569659619464,0.9999445616058767,0.9999087847338053,0.9999851575738165,0.9998916466555787,0.9999855206665984,0.999988806794311,0.9999155696084581,0.9997463299287788,0.9997393212024771,0.9999729140927893,0.9999876653577607,0.9999041460882092,0.9999492666492287,0.9998300241635174,0.9999466991209683,0.9994489275028329,0.9999708102713618,0.9997925130669774,0.9999289436350919,0.9999152946196055,0.999901987103895,0.9999457065976083,0.9999804495294983,0.9999530189995501,0.9999745529460545,0.9996016921730041,0.9999929384434977,0.9998829302185336,0.9998229291377672,0.9999366066471315,0.9995527175067034,0.9999475085130622,0.9998874972345085,0.9999209182608122,0.9996984958326034,0.9998199906047066,0.9998762638668687,0.9999775664566564,0.999882228452964,0.9998874517179015,0.9999512119843212,0.99995475958403
S026_005,0.9999503293502234,0.9996892489887325,0.9999582443776427,0.9999370536788337,1.0,0.9999253394573921,0.9998933717823253,0.9999579524637087,0.9999333421295533,0.9999670978687176,0.9998630940711828,0.9999466509645918,0.9999526092113642,0.9999268515307809,0.9999405516900912,0.999906766832307,0.9999759210455123,0.9999551164183037,0.9998694527868318,0.9999710427757442,0.9999281367762749,0.9999206014903631,0.9999594569784958,0.9999903163146635,0.9999672448515964,0.9999450573041938,0.9999477084662477,0.9998947178316944,0.999987942773836,0.9999064481155358,0.9999178425613856,0.9999384939888984,0.9998930257335966,0.999949750656088,0.9999739507209929,0.9999031393203361,0.9999330784824655,0.9999627055776633,0.9998946275020597,0.9999423900081612,0.9999771673214919,0.999961437435532,0.9999640525602144,0.9999726133384811,0.9999622998917346,0.9997580902580472,0.999900905967611,0.9999182628924306,0.9999165404951091,0.9999552543756001,0.9999259754497402,0.999938793542267,0.9999361797680287,0.9996601870618095,0.9998842993776296,0.9999261954740731,0.9998558042301249,0.9999491009910727,0.9999543032939439,0.9999679851807813,0.9999523777749205,0.9999697103938594,0.9999806939966703,0.9998150219992152,0.9999530292846175,0.9999797313684586,0.9998906310073267,0.9999833341204407,0.9997923941634629,0.9999750726760295,0.9999195887096437,0.999924689230101,0.9998530846998661,0.9999193291784388,0.999963346958586,0.9999677074901121,0.9999638168122358,0.9999100532534672,0.9998259516929376,0.999937768050141
S032_005,0.9999131604256076,0.9995490755926418,0.9999278188741956,0.9998927644859646,0.9999253394573921,1.0,0.9997866707938502,0.9999316869567202,0.9999322945074963,0.9999307547174761,0.9997417948456148,0.9998872868797262,0.9999270745663961,0.999894775713009,0.9998285304451805,0.999941800528347,0.9999256105664136,0.9999000056582816,0.9999601504590389,0.9999244942959047,0.9999493450111996,0.9998407832320428,0.9999691824164515,0.9999385993955069,0.9999411978988431,0.9998772696329589,0.9999616688849047,0.9999394297371423,0.9998995483143881,0.9997417425398974,0.9997653965862353,0.999806679094215,0.9999057212765026,0.9999670988570656,0.9999321763649595,0.9999380728158834,0.9999256096811775,0.9998610139573391,0.9998483182182892,0.9999192219198938,0.9999318928364683,0.9999075883503882,0.9999186805121854,0.9999132750977446,0.9998833011079273,0.9995862758187867,0.9997666116708499,0.9999503051885562,0.9999223704761554,0.9999066885494051,0.9999267255685812,0.9998579090145273,0.9999816020535515,0.9996320382585081,0.9999208614998242,0.9998019616848703,0.999945260912801,0.9998961036393915,0.9999224550245818,0.9999334181476717,0.9999265503540075,0.9999108502627961,0.99995163119928,0.9996164297421671,0.9999128726001638,0.9999024397371369,0.9997991085860738,0.9999377424542256,0.9996094744196845,0.9999559312907412,0.9999551810909725,0.999865452994912,0.999741591952115,0.9997985963831221,0.999889921152807,0.9999483410374587,0.9999159528565452,0.9999340426262957,0.9998562538449671,0.9999097631053626
S034_005,0.9997829519575897,0.9998898949884639,0.9998090681665364,0.9997794354750064,0.9998933717823253,0.9997866707938502,1.0,0.9998775204253085,0.9998510091057375,0.9999408488450393,0.9999518936733524,0.9998966783215533,0.9998524284143523,0.9998364829353389,0.9999288573473447,0.9996708423683923,0.9999094376437926,0.9999025868768213,0.9996815583246017,0.9999090227224835,0.9997865222861462,0.9998486252263687,0.9998179654424042,0.9998656133139765,0.999877968422274,0.9998271262125751,0.9997998170392408,0.9996837692050561,0.9999362457933268,0.9999755304293837,0.99989367409008,0.9998829911260514,0.9997241577626016,0.9998208804818096,0.9998460060659975,0.999683959498483,0.9997688823969425,0.9999404449599123,0.9998351599176524,0.9998155591252084,0.9998463440823393,0.9999604803985795,0.9998154029134536,0.9998546276280934,0.9999472534498217,0.9997364146246001,0.999910422687841,0.9997271444892032,0.9997540721102018,0.9999135696676613,0.9998095983916274,0.9999220004560759,0.9997618770338162,0.9995824388954142,0.9997081990180501,0.9999797651223383,0.9996750418622045,0.9998980873558321,0.9999399271854188,0.9999094793310298,0.9998220202690581,0.9998817494059629,0.9998659925024883,0.9998744844384886,0.9998053425306872,0.9999262363628673,0.999985395573322,0.9999017161898688,0.9998929812720355,0.999870737032289,0.9998377798392153,0.9998644444309611,0.999976021798139,0.9999531234824102,0.9999475770810654,0.9998517272265931,0.999909176804864,0.9999135078821367,0.9995746060895125,0.9998071914150474
S035_005,0.9999004549998509,0.99973122972061,0.9999358619799588,0.9999158127344636,0.9999579524637087,0.9999316869567202,0.9998775204253085,1.0,0.9999803144161199,0.9999613802437425,0.9998890988614081,0.9999744219085516,0.9998971193268726,0.999962053225994,0.9999481504324603,0.9999119693859365,0.9999848869038768,0.99997257640279,0.9998417961431907,0.9999779135035448,0.99992328100323,0.9999499178466054,0.9999530914889201,0.999967565381559,0.999973449648963,0.9999300463815574,0.9999432644238168,0.9998914175296353,0.9999655021773903,0.9998577827645495,0.9999332890340168,0.9999443401560335,0.9999572605554204,0.9999387288286499,0.9999757872930153,0.9998939001824734,0.9999528999211915,0.9999016234030043,0.9999475835475466,0.9999860610798225,0.9999652386900498,0.9999527982889632,0.9999115502521521,0.9999522924538706,0.9999770869529642,0.9998198870027033,0.9998569984568082,0.9998992212590053,0.9999309945464391,0.9999748057050537,0.9998806795525008,0.9998941675373906,0.9999245234110933,0.9996160678655658,0.9999168706652705,0.9999143617160117,0.9998459694084751,0.9999675971197061,0.9999344886450383,0.9999714560555899,0.9999499760841307,0.9999767173211526,0.9999727221144771,0.9997845631757336,0.9999217627034421,0.9999521038949855,0.9999056145125382,0.9999862107581623,0.9997711644443197,0.9999850446821744,0.9999454958786096,0.9999798835550473,0.9998408623206783,0.9999269238533142,0.9999659731903878,0.9999755260689263,0.9999809186188006,0.9999361091621518,0.9998353148994619,0.9999615313746102
S037_005,0.9999137549857425,0.9996843760966667,0.9999576544119327,0.999953220381037,0.9999333421295533,0.9999322945074963,0.9998510091057375,0.9999803144161199,1.0,0.9999380673643178,0.9998481409988857,0.9999866885146944,0.9998889552330728,0.9999826388596262,0.9999357865246139,0.9999379032687031,0.9999706885376524,0.9999866390554742,0.9998826645655107,0.999985972348716,0.9999540772030022,0.9999677799174569,0.9999618363888896,0.9999639041258246,0.9999882370957999,0.9999612412553881,0.9999710903529674,0.9999278838691875,0.9999251596066987,0.9998048321596971,0.9998989165674584,0.9999357075631948,0.9999756099675968,0.9999640113862089,0.9999773363215504,0.9999291895245813,0.9999625402479285,0.9998611286655482,0.9999788411384981,0.9999661653488197,0.9999750410821286,0.9999412890019217,0.9999363274048121,0.9999676298598482,0.999962710935829,0.999813464558573,0.9997820508455089,0.9999398825427436,0.9999738196270438,0.9999635051494822,0.9999235933128752,0.999848351533162,0.9999451419129111,0.9994975258144496,0.9999671381035128,0.9998607487472342,0.9999067373101882,0.9999623975257069,0.9999403483928235,0.9999769503977127,0.9999769928167809,0.9999782572964308,0.9999792680464163,0.9996753988775166,0.9999483097529891,0.9999191052063824,0.9999011180395267,0.9999662435015012,0.999658140821409,0.9999797416792038,0.9999552300794871,0.9999796610878672,0.9997999168989617,0.9998810272327303,0.9999387007483097,0.9999867491197478,0.9999461003045169,0.9999548095628197,0.9999019894254038,0.9999779577061698
S042_005,0.9999061085806347,0.9997311440550295,0.9999012219411576,0.9998923193770378,0.9999670978687176,0.9999307547174761,0.9999408488450393,0.9999613802437425,0.9999380673643178,1.0,0.9998780677854517,0.9999401704635151,0.9999390348866884,0.999898322262713,0.9999301802088376,0.9998552703086115,0.9999803044723642,0.9999468806611266,0.9998451296147355,0.9999689035396735,0.9999292138842367,0.9999078198457558,0.9999556606342385,0.9999511375667401,0.9999563748900325,0.9998934153036377,0.9999217806634959,0.9998702692841507,0.9999784415726307,0.999927374699083,0.999887274433046,0.9999234204223708,0.9998729534817026,0.9999265024479077,0.9999483598908716,0.9998700561994519,0.9999191530082391,0.9999704114663257,0.9998891914795488,0.9999267114604699,0.9999412162297556,0.9999686572702059,0.9999119886806557,0.9999441684197097,0.9999746942666449,0.9997047802084986,0.9998977424096416,0.999876763496226,0.9998843438659312,0.9999417136905283,0.9998930027218838,0.9999734952909485,0.999910251189683,0.9996975391926985,0.9998583590462466,0.9999576246792089,0.9998417851087473,0.9999296650245116,0.9999593764297341,0.9999728000370371,0.999910518793649,0.9999390812927321,0.9999617480090716,0.9998197932396055,0.9999160586932345,0.9999624967878492,0.9999346173213584,0.9999819941899558,0.9998165959303672,0.9999555041992756,0.9999130981321056,0.9999152630571894,0.9998847268821668,0.9999477230624274,0.9999563634597434,0.9999538739809736,0.9999776448877267,0.9999523069003539,0.9997540490218907,0.9998979418069932
