,S010_007,S011_007,S014_007,S022_007,S026_007,S032_007,S034_007,S035_007,S037_007,S042_007,S044_007,S045_007,S050_007,S051_007,S052_007,S053_007,S055_007,S056_007,S057_007,S058_007,S059_007,S060_007,S061_007,S062_007,S063_007,S064_007,S065_007,S066_007,S067_007,S068_007,S069_007,S070_007,S071_007,S073_007,S074_007,S075_007,S076_007,S077_007,S078_007,S079_007,S080_007,S081_007,S082_007,S084_007,S085_007,S086_007,S087_007,S088_007,S089_007,S090_007,S092_007,S094_007,S095_007,S097_007,S099_007,S100_007,S101_007,S102_007,S103_007,S105_007,S106_007,S107_007,S110_007,S111_007,S113_007,S114_007,S116_007,S117_007,S119_007,S121_007,S122_007,S124_007
S010_007,1.0,0.9996908672682814,0.9999192598368504,0.9998049888664957,0.999908575131577,0.9994661606107181,0.9995946051208409,0.9998385735764408,0.9995660186306845,0.9990727462162307,0.9997040487395316,0.9994165362197416,0.9995719545364543,0.9997183261013706,0.9998166887208545,0.9997959530099928,0.9996753438315131,0.9993549042399384,0.9997336880586258,0.9996711056781384,0.9998773310441955,0.9993557165680174,0.9998882376191193,0.9998150425798624,0.9994271170110829,0.9998594526707444,0.9998170910576696,0.9997894972604737,0.9988334032727912,0.9996305510232878,0.9997651569379338,0.9997354288034743,0.9997783440410388,0.9997760156828364,0.9996430063951128,0.9997228643436001,0.9995165181681087,0.9998007062666338,0.9996180394170605,0.9988128749582191,0.9996975156590396,0.99922356085603,0.9993170382307229,0.999536468078467,0.9996316595472475,0.9997327925942944,0.9972676868482034,0.9995006914745224,0.9998430741256621,0.999513094474762,0.9998425280923959,0.9996588738303027,0.9999033393989675,0.9991580761299879,0.9997583795878923,0.9995404541734965,0.9994941017210424,0.9998795955241474,0.9997844165425902,0.999657542639286,0.99965962640167,0.998824507083278,0.9996221401528192,0.9998885840314037,0.9994435195885513,0.9986634854655185,0.9998550998862077,0.9996678304454643,0.9995310527508631,0.999561579609171,0.9997297453658958,0.9998276844557598
S011_007,0.9996908672682814,1.0,0.9997137076589697,0.9997475615531253,0.9997254172770894,0.999821702406084,0.9999311804947817,0.9999272679769455,0.998743359951042,0.9996857493874095,0.9998994533373805,0.999934644562901,0.9998948047755861,0.9991519323390327,0.9994929196891926,0.9995828564067786,0.9992326848762731,0.9984507940633193,0.9999677669123698,0.9988961603528329,0.999337127997159,0.9997619361173071,0.999818242411921,0.9998014455507191,0.9994802369933399,0.9998428886300575,0.9995405822762468,0.9998686733935712,0.999654996186884,0.9999291146022335,0.9998887134264048,0.9997873091127084,0.9995609827770098,0.9999731867695071,0.9999093718675467,0.9996901889086006,0.9996629458282611,0.9999262404591321,0.9998917500670067,0.9996113759555592,0.9998574467996993,0.9981682528479371,0.9997514598383186,0.9999441089546234,0.9992662218739413,0.9999155745961722,0.9987185400057267,0.9988506918155468,0.9997107494605495,0.9998426907829654,0.9993961384230323,0.9999474907946166,0.999869901209381,0.9997540093220327,0.9999306856626313,0.9987879418526119,0.9986197866445427,0.9998996903845997,0.9998216092143624,0.9999181891543457,0.9991853883474751,0.9990744459404225,0.9996977905185782,0.9998424170469655,0.9999433405825181,0.9994991044329689,0.9999183183346732,0.9995085250587511,0.9997169987874768,0.9999518514794314,0.9998942489167449,0.9998386680036344
S014_007,0.9999192598368504,0.9997137076589697,1.0,0.9998569375035049,0.9999236968884656,0.9996687870737938,0.9996997366435028,0.9998989997531184,0.9995001599008435,0.9991907660351874,0.9998008113328272,0.9994755822109533,0.9996734496371256,0.9995569476099282,0.9998872059483657,0.9999203110184177,0.9997820347208984,0.9992941484119565,0.9997815145209124,0.9994898186359333,0.9998883172261704,0.999543261949288,0.9999453226748077,0.9999065555154663,0.9995757117422772,0.9998880813923238,0.99989845385459,0.9998482366722511,0.9990128637167568,0.9997131256667766,0.9998329037973923,0.9996773986036436,0.9998238902564887,0.999811651411786,0.9997885612548734,0.999600387098615,0.9996578110565556,0.9998717612112561,0.9997394262984659,0.9989080090918684,0.9998524796513482,0.9991487380250551,0.9994326431292871,0.9996339864135876,0.9997335510779278,0.999846755983605,0.997540496399174,0.9995711284295914,0.9999087757931686,0.9996681530122208,0.9998207000212086,0.9997208313077475,0.9999283895245914,0.9994099864098528,0.9997896814141046,0.9995469963144342,0.999433511594901,0.9999138284709822,0.9998805415789345,0.9997384341055905,0.9995583992184081,0.998815863536297,0.999700066853168,0.9999512790607601,0.9995183172712447,0.9988203608254415,0.9998501137128434,0.9996582154086485,0.9994787059884978,0.9996373660742403,0.9997868682742322,0.9998580513645338
S022_007,0.9998049888664957,0.9997475615531253,0.9998569375035049,1.0,0.9999260476711106,0.9998105326620773,0.9998530306220862,0.9998217111013016,0.9992485273818343,0.9995093264392787,0.9999054332661226,0.9996248702663144,0.999620961358462,0.9991980310298354,0.9996577282158577,0.9997811411683424,0.9996551225389507,0.999049516278354,0.9998343526381572,0.9990790085374315,0.9996302065132052,0.9996934955053407,0.9997891534001087,0.9997034823473018,0.9998766489780873,0.9999000331855745,0.9998402250607015,0.9999256953026324,0.9990104042735793,0.9995965124899285,0.999647826088547,0.9997539403139731,0.9998695545042484,0.999867591446948,0.9997690190632917,0.9997058868337989,0.9999076325621393,0.9999105185625133,0.9998950735806084,0.99918434994936,0.9997903737815217,0.9988459609139212,0.9991625179294066,0.9997321978720083,0.9997576821500328,0.9999100542334396,0.9976898580497071,0.9995051778091089,0.9999567118869986,0.9998696154266912,0.9995131097656864,0.9995971560942842,0.9999405162094751,0.999612424736178,0.9996327034377225,0.9992269828024304,0.9989477177909662,0.9997793553703163,0.9999604163709586,0.9998687189942156,0.9997436606106109,0.9982094246201377,0.9993777222991779,0.9998120630118733,0.9995533375205192,0.9991599260950167,0.9997109678079502,0.9992010957567005,0.9993407022736982,0.9997366617223465,0.9995802106184131,0.9999812044892119
S026_007,0.999908575131577,0.9997254172770894,0.9999236968884656,0.9999260476711106,1.0,0.9996869487910852,0.9997542537102886,0.999874591290581,0.9995694171919596,0.9992429929517704,0.9998401582393331,0.9995036805114005,0.9995449696618544,0.9995417741672173,0.9998545320935639,0.9998864421749766,0.9998068279353092,0.9993985601710734,0.9998116369723692,0.9994461827277342,0.999817617431842,0.9995694456081222,0.9999147518946682,0.9997873938016698,0.9997105516575958,0.9998856906336585,0.9999479197014991,0.9999008574620297,0.9989773786910289,0.9996803444357716,0.9997117011961643,0.9997130123135058,0.9999338564515192,0.9998107010531097,0.9997232748465629,0.9995856711469354,0.999774227404322,0.999892962571583,0.9997868985498547,0.9989528692333633,0.9998026963333866,0.9992116141014472,0.9992230284938636,0.9996325968810753,0.9998494951200488,0.9998534960972858,0.9973798233615527,0.9996725166580486,0.99993657502843,0.999739994925728,0.9997428625921919,0.9996478316738441,0.9999582593257922,0.9994488698078087,0.9997291387071645,0.9995536720357632,0.9993317076511872,0.9998736701246834,0.9999159877227713,0.9997587725837356,0.9997221439006891,0.9985347411265388,0.9995252642384794,0.9998978007160408,0.9995023159065722,0.9988729370109719,0.9997648815820499,0.999461408839771,0.9993529671900991,0.999620853015769,0.9996610042112068,0.9998993642934673
S032_007,0.9994661606107181,0.999821702406084,0.9996687870737938,0.9998105326620773,0.9996869487910852,1.0,0.999956121690166,0.999811527288432,0.9986493048215143,0.9998010518089815,0.9999554511836267,0.9998477690162433,0.9997662848755233,0.9987940573168022,0.9994180232534501,0.9996403378504621,0.9993636188019049,0.9984161696103591,0.9998772299453444,0.9984409477721121,0.9992319328491911,0.999948492883273,0.9996778409137851,0.9996728289050488,0.9997936549395205,0.999795081596793,0.9995776516314154,0.9998988564407176,0.9995666313837814,0.999724718529345,0.9997103720032491,0.9996142479993932,0.9995544333941783,0.9998650644851349,0.9999126071097407,0.9995026172601165,0.999909201309751,0.9999041733627136,0.9999658974989614,0.9996261836773679,0.9998799816298752,0.9980118265614271,0.999452530649851,0.9999245815128304,0.9994159285776023,0.9999520250370824,0.9986508474150401,0.999021509171254,0.9997937506326703,0.9999735287011078,0.9991085993042131,0.9997059691211453,0.9997991577843633,0.9999356546843204,0.9996843293725621,0.9986439539098391,0.9983200962021195,0.9997082845972006,0.9999033638638044,0.9999435135113262,0.9991680253433077,0.9983922122579271,0.9994232013548359,0.999727549308253,0.9998152404749281,0.999647264464653,0.9996560490333095,0.9990600337839054,0.9992499152160917,0.9998904854895794,0.9996409183623067,0.9998227178544373
S034_007,0.9995946051208409,0.9999311804947817,0.9996997366435028,0.9998530306220862,0.9997542537102886,0.999956121690166,1.0,0.9998680200507696,0.99870036663631,0.9998158626694923,0.9999693139475688,0.9999246071601632,0.9998058618530089,0.9989126419006458,0.9994371040389814,0.9996032993127918,0.9993058164372747,0.9984364320654366,0.9999414314964522,0.9986410699894478,0.9992736468958902,0.9998748972199015,0.9997472832201639,0.9996993717432977,0.9997540793187908,0.9998300236266356,0.9995930593630683,0.9999233882076854,0.9995700678649121,0.9998216749229154,0.9997612874003279,0.999772545546397,0.9996325289265923,0.9999531458999172,0.9999282602254979,0.9996369847760402,0.999873004926698,0.9999409730586388,0.9999915432665734,0.9996633947201679,0.9998592623635988,0.9981277700267235,0.9995308534159862,0.9999587794787861,0.9994051722837527,0.9999681864068566,0.9986491434025093,0.9989820929629374,0.9998012926933608,0.9999751590502411,0.9992404993323692,0.9998152631302452,0.9998654092555944,0.9998987279896426,0.999784289420112,0.9987340454983481,0.9984245047022414,0.9998043318973139,0.9999036181748912,0.9999723098271863,0.9993110647980816,0.9985794868296934,0.9994802213123913,0.9997743883072245,0.9998823526821002,0.999626445239743,0.9997753904883234,0.9992118965051351,0.9994961505414947,0.999951617109981,0.9997306294308226,0.9998975177184799
S035_007,0.9998385735764408,0.9999272679769455,0.9998989997531184,0.9998217111013016,0.999874591290581,0.999811527288432,0.9998680200507696,1.0,0.9992067426239352,0.9994649078843854,0.9999088717452566,0.9997708644155869,0.9998692947855157,0.9994740841949611,0.9997952167206888,0.9998497579193003,0.9996032892228539,0.998976172050351,0.9999618157303218,0.9992513342775579,0.999668235100005,0.999758660496264,0.9999611456064377,0.9999528765164724,0.9995288970728375,0.9999392000045458,0.9997918045780722,0.9999166302960093,0.9995054689921206,0.9999162935060321,0.99995162303181,0.9997072285382748,0.999733838576782,0.9999358100782453,0.9998978095569202,0.9996325418490378,0.9996983791108515,0.9999707593333925,0.9998556369230133,0.9993192699743213,0.9999602452211924,0.9986928049146974,0.9997026216248944,0.9998567773728364,0.9995656279754007,0.9999403061503718,0.998255459779079,0.9992809015761707,0.9998381560639348,0.999812821836687,0.9996659418796374,0.9999151406355827,0.9999585970139424,0.9996651958637858,0.9999554245135065,0.9992199074024197,0.9991051420783535,0.9999763228824216,0.9999092480636416,0.9998769099975343,0.9993111515747136,0.9991215735758008,0.9998352534875947,0.9999812766004041,0.9998196791913665,0.9992230015318943,0.9999419134843472,0.9996711174170895,0.9995995691310728,0.9998423753130258,0.9999291518335759,0.9998618057094043
S037_007,0.9995660186306845,0.998743359951042,0.9995001599008435,0.9992485273818343,0.9995694171919596,0.9986493048215143,0.99870036663631,0.9992067426239352,1.0,0.9977638017142353,0.9989648078888156,0.9982493817322571,0.9985666483333803,0.9997283068916787,0.99974386563194,0.9996152034037799,0.9998077257179493,0.9999740841650336,0.9989574231701065,0.9997486091933184,0.9998264557316595,0.9985531252016111,0.999434812155003,0.9992702079230904,0.9988629615571233,0.9992821589211013,0.9996958256516892,0.9991612644091512,0.9976506721390699,0.9988069589030198,0.9990069352677281,0.9987958832151821,0.9995362729464164,0.9988890841082025,0.9987537316123432,0.9987449359207261,0.9989057841093953,0.9991344923438221,0.9987775302102136,0.9973356825843789,0.9990982613471502,0.9998189742284649,0.9982100761093499,0.9985201201793927,0.9996915645810968,0.9989987935825828,0.9951613235858352,0.999860335522311,0.9993754969250529,0.9987082339048661,0.999660774072249,0.9987368685863607,0.9993577198718562,0.9981771995285285,0.9989878386058395,0.999854180661143,0.9998181154454374,0.9992541912574198,0.9992268705098701,0.9987681618841863,0.9993410349884609,0.9979251752215206,0.9989997679302451,0.9993869626932979,0.9983388327719903,0.9972177396487584,0.9990444540832273,0.9991153969856742,0.998353681252923,0.9984753523831291,0.9989101476336579,0.9991217693238229
S042_007,0.9990727462162307,0.9996857493874095,0.9991907660351874,0.9995093264392787,0.9992429929517704,0.9998010518089815,0.9998158626694923,0.9994649078843854,0.9977638017142353,1.0,0.9997556055224904,0.9998865992532526,0.9995878561216914,0.9981685119508852,0.9987069530067042,0.9990295659328926,0.9986154480329756,0.9974464542572953,0.9996497044548623,0.997675868074659,0.9985552312946304,0.9997776383420527,0.9991986825143958,0.9992146810575527,0.9995650434858654,0.9994791336154528,0.9989465011541778,0.9996599994948342,0.9995065893902199,0.9994333138200943,0.9994119878180228,0.9995856729856589,0.9989935200360556,0.9997090512319241,0.9997295831731948,0.9995462288563537,0.999685760828665,0.9996244573681101,0.9998015727587578,0.999928530005357,0.9994883571866641,0.996941354400532,0.9992546066969362,0.9998640924838218,0.9987009941163003,0.9997038610962379,0.9990997626121849,0.9981738501447166,0.999463192768648,0.9997713561808163,0.9984135102720035,0.9994706070538255,0.9994504710198908,0.9997750122454414,0.9993929798911346,0.997689016811941,0.9973389345844046,0.9993381400082634,0.9995853939794092,0.9998362924151829,0.9988269125154163,0.9979643388118297,0.9989399311445949,0.9992872086020428,0.9997831664671794,0.9999373174044222,0.9994073116962271,0.9985302278338724,0.9991261577774692,0.9998650385753648,0.9993364261539435,0.9995938558455455
