,S010_002,S022_002,S026_002,S032_002,S034_002,S035_002,S037_002,S042_002,S044_002,S051_002,S057_002,S067_002,S070_002,S071_002,S073_002,S075_002,S077_002,S078_002,S079_002,S080_002,S082_002,S083_002,S087_002,S088_002,S093_002,S095_002,S097_002,S099_002,S100_002,S101_002,S102_002,S103_002,S107_002,S109_002,S110_002,S112_002,S113_002,S115_002,S118_002,S121_002,S122_002
S010_002,1.0,0.9999057140780689,0.9999791450505888,0.9999321134746086,0.9998870141240058,0.9999398200993559,0.9998712787771631,0.9999375626145033,0.9999441637102904,0.999957664510501,0.9999101795951115,0.9999043703178633,0.9997463249499157,0.9998087891022357,0.9999334933033726,0.9998879164835043,0.9999570178585757,0.9998940208858232,0.9998279342436707,0.9999411752744553,0.9999040553328381,0.9999217633838658,0.9999666412019456,0.9999460407030976,0.9998645775222342,0.9998794905904929,0.9999119065010645,0.9999294261640902,0.99981405257434,0.9999086444727301,0.999895726971017,0.9999230593638802,0.999907514736074,0.9998704602174401,0.9998814558123879,0.9999762203114722,0.9998915826684208,0.9999554376153985,0.9998941452864368,0.9999302196487769,0.9999055111217579
S022_002,0.9999057140780689,1.0,0.9999499040373471,0.9999815649196491,0.9999416897023211,0.999974477866343,0.9999219861447486,0.9999210722917313,0.9999332498754446,0.9998946966041452,0.9999343139391194,0.9999671932193758,0.9997221100058186,0.99996424258937,0.9999350237920684,0.9998974646070385,0.9999634203673643,0.9998505403412847,0.9998674110806282,0.9998651097821183,0.9998301104780382,0.9999020046435462,0.9999362620772558,0.9999509539876146,0.999894411520024,0.9999715700652673,0.9998920295519041,0.999971861980447,0.9998962944239687,0.9999146285324323,0.9999632663993062,0.9999674042347232,0.999877125036909,0.999945904447758,0.9999337005374872,0.9999156253121868,0.9999374459341865,0.9999446955020398,0.9999372359344652,0.9999474358610237,0.9998597433412241
S026_002,0.9999791450505888,0.9999499040373471,1.0,0.999976903002504,0.9999393768574217,0.999976694870907,0.9999303556154178,0.9999607444116967,0.9999686370499281,0.9999157107680302,0.999940517944088,0.9999601530591486,0.9998021535446521,0.9998956511586756,0.9999733193529832,0.999919209033976,0.9999773727509563,0.9999162750218936,0.999867692864688,0.9999539929435257,0.9998687562545422,0.9999217113110352,0.9999808536186636,0.9999737835477538,0.9998932192642469,0.9999345261478646,0.9999125181467702,0.999957811572019,0.9998871486394562,0.9999654757247863,0.9999287812782144,0.9999482067182569,0.9999351910331622,0.9999185303896895,0.9999319979442296,0.9999553423328924,0.9999222498211515,0.9999787269216357,0.9999449901247919,0.9999338033336302,0.9999362269123169
S032_002,0.9999321134746086,0.9999815649196491,0.999976903002504,1.0,0.9999720128747376,0.9999897102928754,0.9999515279062234,0.9999603328521084,0.9999703303752453,0.9998939441745001,0.9999671339168379,0.9999866895647096,0.9998137331865408,0.9999636188171241,0.9999832791357866,0.9999279332496476,0.9999754547998869,0.9999249298596453,0.9998571915633329,0.9999193755296563,0.9998638917018622,0.9999379937787881,0.9999755022452543,0.999988501667921,0.9999389479595523,0.9999879143842513,0.9999087038955603,0.9999826123764555,0.9999349467467576,0.9999658205420091,0.9999370950424591,0.9999739481395024,0.999942838183613,0.9999374403379301,0.9999570925554829,0.9999436661452487,0.9999454685617273,0.9999845221061043,0.9999791595910574,0.9999329316920448,0.9998824346006159
S034_002,0.9998870141240058,0.9999416897023211,0.9999393768574217,0.9999720128747376,1.0,0.9999658509611373,0.9999318549124998,0.9999748756605779,0.9999567649469588,0.9998650087118738,0.99999312120221,0.9999905175769772,0.9998483173415017,0.9999208784543915,0.9999823908323898,0.9999772660238482,0.9999652084219195,0.9999502102120219,0.9998211129766074,0.999864238779407,0.9998825836481912,0.9999454692974495,0.9999687469484648,0.9999634662116043,0.9999730309435325,0.9999649667966365,0.9999256695276568,0.9999367514791652,0.9999626735471902,0.9999676880272271,0.9999398006193942,0.9999453143663188,0.9999728444499225,0.9999089361533672,0.9999925165609523,0.9998959113416329,0.9999417772213655,0.9999467405310903,0.999989227935264,0.9998561905425208,0.9998275632241268
S035_002,0.9999398200993559,0.999974477866343,0.999976694870907,0.9999897102928754,0.9999658509611373,1.0,0.9999743957522892,0.9999775836959657,0.9999862584699875,0.9999175412778639,0.9999617572943936,0.9999850465128527,0.99980619600422,0.9999467283945064,0.999976829367502,0.9999469693163642,0.9999921202871652,0.9999043646519681,0.9999122090790548,0.999944710051733,0.9998958244241996,0.9999557818183995,0.9999780726366793,0.9999764129032229,0.9999254870948145,0.9999742114798043,0.9998901003613548,0.9999854782145737,0.9999525517026774,0.9999699304078677,0.9999480630593347,0.999990227283544,0.9999392138923646,0.999972872576386,0.9999442006618926,0.999944821349364,0.9999773951010882,0.9999667695198005,0.9999739903999284,0.99995717203879,0.9999164397434427
S037_002,0.9998712787771631,0.9999219861447486,0.9999303556154178,0.9999515279062234,0.9999318549124998,0.9999743957522892,1.0,0.9999472208445302,0.999977632007736,0.9998314042837361,0.9999152770610326,0.999962796066246,0.9998536819544592,0.9999338597820734,0.9999449956966879,0.9999208776732057,0.9999531255893924,0.9998459812957327,0.9999443155213478,0.9999411894066762,0.9998531817732552,0.9999154659599186,0.9999288162613221,0.999941748828564,0.9998722192309143,0.9999394048191169,0.9998143284292198,0.9999427206416137,0.9999637372045591,0.9999570013420854,0.999882143549861,0.9999656942180005,0.9998998778685203,0.9999701958644861,0.9998909472319546,0.9998759030511969,0.9999555050666225,0.9999162889963663,0.9999595608747345,0.9999194793879623,0.9999266758849892
S042_002,0.9999375626145033,0.9999210722917313,0.9999607444116967,0.9999603328521084,0.9999748756605779,0.9999775836959657,0.9999472208445302,1.0,0.999982082666071,0.9999223375791455,0.9999792392677846,0.9999710229042351,0.9998274559608993,0.9998765452968219,0.9999828749090587,0.9999811151467672,0.9999862312484971,0.9999475045509593,0.9998670304840671,0.9999341998349229,0.9999356774650525,0.9999778661205497,0.9999897563884158,0.9999612324209801,0.9999529834036346,0.9999405921838138,0.9999016078973685,0.9999510087974276,0.9999580779083216,0.9999760021140426,0.9999302052262576,0.9999626152952037,0.9999798297502577,0.9999344118991539,0.9999576120961556,0.9999371772729809,0.9999710662186818,0.9999501700443383,0.9999734887688666,0.9999015119694966,0.9998834845174239
S044_002,0.9999441637102904,0.9999332498754446,0.9999686370499281,0.9999703303752453,0.9999567649469588,0.9999862584699875,0.999977632007736,0.999982082666071,1.0,0.9999125843510529,0.9999607520028699,0.9999726877373961,0.999873844097366,0.9999049222701144,0.9999769752975591,0.9999548600853473,0.9999825900383934,0.999916918241485,0.9999114399430534,0.9999611501853048,0.9999305343983688,0.999966307317575,0.9999787869134276,0.9999793853890568,0.9999263831207421,0.9999481844700665,0.9998987185135222,0.9999610609513179,0.9999462843598772,0.999966964903462,0.9999078131480374,0.9999790948731999,0.9999523670373511,0.9999474398257607,0.9999276975233408,0.9999475110053887,0.9999610647726864,0.9999619692502202,0.999977527149107,0.9999357490925275,0.9999232689869276
S051_002,0.999957664510501,0.9998946966041452,0.9999157107680302,0.9998939441745001,0.9998650087118738,0.9999175412778639,0.9998314042837361,0.9999223375791455,0.9999125843510529,1.0,0.9999031137203608,0.9998702189523959,0.999638468192945,0.9997753214795728,0.9998837609727503,0.999884207820376,0.999946046450772,0.9998497078060135,0.999806214972922,0.999875001874894,0.9999515367023124,0.9999491866641236,0.9999382674779758,0.9999019307529055,0.9998747584892778,0.9998667983111387,0.9998846511280199,0.9999248777662345,0.999804433228796,0.999839724667788,0.9999030012829321,0.9999331083449857,0.9998733020464078,0.9998734563708621,0.9998544557014342,0.9999688130475175,0.999919046644789,0.9999023328362191,0.9998613224045569,0.9999367260517391,0.9998112759284561
