,S010_005,S011_005,S014_005,S022_005,S026_005,S032_005,S034_005,S035_005,S037_005,S042_005,S044_005,S045_005,S046_005,S050_005,S052_005,S053_005,S054_005,S055_005,S056_005,S057_005,S058_005,S060_005,S061_005,S062_005,S063_005,S064_005,S065_005,S066_005,S067_005,S068_005,S069_005,S070_005,S071_005,S072_005,S073_005,S074_005,S075_005,S076_005,S077_005,S078_005,S079_005,S080_005,S081_005,S083_005,S085_005,S086_005,S087_005,S089_005,S091_005,S092_005,S093_005,S094_005,S095_005,S096_005,S097_005,S098_005,S099_005,S100_005,S101_005,S102_005,S103_005,S104_005,S105_005,S106_005,S107_005,S108_005,S109_005,S110_005,S111_005,S112_005,S113_005,S114_005,S115_005,S116_005,S117_005,S118_005,S119_005,S121_005,S124_005,S125_005
S010_005,1.0,0.9998941453521457,0.9999847480739874,0.999966891446394,0.9999113289710241,0.9998738310606498,0.9998152651739035,0.9999296851134346,0.9999543480969164,0.9999037084528074,0.999924913746169,0.9999322927771329,0.9999148050584556,0.9999344527465539,0.9999503112775999,0.9999335590842405,0.9999178668714428,0.9999144641698813,0.9999371088648447,0.9999491550104211,0.9999287751025533,0.9999378422270276,0.9999624706973712,0.9999621018374791,0.9999543776691671,0.9999377971716851,0.9999401749605162,0.9999528225587896,0.9999272454774837,0.9998652743448837,0.9999021672736008,0.9998477777961258,0.9999854049249965,0.9999701708155571,0.9999240188120813,0.9999747889906895,0.9999593531495515,0.9999024423844832,0.9999506614194977,0.9999766506195041,0.9999794936858525,0.9999559692568144,0.999978835254554,0.9999386301556842,0.9999239876200025,0.99981466145224,0.9998965237466537,0.9999386703082755,0.9999609917855942,0.9999649306020603,0.9999575024282297,0.9998866858896324,0.9999615092074118,0.9994806376048426,0.9999550386226465,0.9999434364532312,0.99993940437481,0.9999796098775667,0.9999263805868301,0.999920892300738,0.999950779138157,0.999958817683999,0.9999651991273193,0.9998456554798055,0.9999738572332233,0.9999156209702831,0.9998603213194669,0.9999382077359177,0.999920816822507,0.9999550469078419,0.9999093766148441,0.9999789522376912,0.9999523140367031,0.9999622289180298,0.999821330387229,0.9999277882755724,0.9999121904359949,0.9999418412437763,0.999908773054433,0.999885473374775
S011_005,0.9998941453521457,1.0,0.9999359777739105,0.9999103379603644,0.9998900911700827,0.9999171153609188,0.9998672661658439,0.9999026666552498,0.9999336239282683,0.9997815664190298,0.9999718305843805,0.9998520786383999,0.9999265764737008,0.9999341514559965,0.999903966453539,0.9998495104779384,0.9998505452617674,0.9999307752004313,0.9998577723189332,0.9998695814361429,0.9998696472420227,0.9999554028788314,0.999880743736397,0.9999012930639272,0.9999171579757299,0.9998953706280231,0.9998622905687212,0.9999338063523144,0.9998205895556658,0.999809495190803,0.9998958065680827,0.9997577017743694,0.9998718279329705,0.9999240614612667,0.9998728073419262,0.9999403069677113,0.9998931039487114,0.9998190068054384,0.9998685046273731,0.9998985080174538,0.9999102610154595,0.9998967539519729,0.9998762408623166,0.9997980516052799,0.9998818913448974,0.9999035193635308,0.9999547574237959,0.9998898444587395,0.9998504629334125,0.9999661309221161,0.9999337530761051,0.999725972367891,0.9999213488098165,0.9997311259856214,0.999820461453785,0.9997994340426946,0.9998646146030903,0.9999107791437948,0.9999389665122225,0.9998853247432753,0.9999070020178246,0.9999113666755269,0.9999250676344239,0.999788344067356,0.9998588705142132,0.9997912865586654,0.9998596423000498,0.9998977347560855,0.9998678443432799,0.9998959497978871,0.9998700122042915,0.9998605440261988,0.9999371404870134,0.999811912210413,0.999693148712502,0.9998612236781587,0.999836873810278,0.9998805621848066,0.999813539185386,0.9999221282234468
S014_005,0.9999847480739874,0.9999359777739105,1.0,0.9999902687899866,0.9999627003302145,0.9999369970841563,0.9998931977396393,0.999972549356535,0.999981801814531,0.9999268332889184,0.9999675032093277,0.9999631854014159,0.9999579615098081,0.9999690484327262,0.9999795703945003,0.9999634212146521,0.9999573705817307,0.9999694219232313,0.9999574066343607,0.9999768984709574,0.9999650071069456,0.9999800117350307,0.9999819470362589,0.999985160534478,0.9999867605556221,0.9999732451241902,0.9999712875385623,0.999979201522813,0.9999534223848859,0.9999211984011795,0.9999573488590235,0.9998925305403031,0.9999824334185674,0.9999939079551952,0.9999639065700812,0.9999970235990178,0.9999860891897775,0.999939542881922,0.9999727869660947,0.9999859981799479,0.999991861034144,0.9999633122985019,0.9999881746789053,0.9999540324705566,0.9999657977984857,0.9998933486569482,0.9999467843010578,0.9999764336236866,0.9999755879495208,0.9999905735426431,0.9999870088970927,0.9998999966994437,0.9999802001150149,0.9996172249113934,0.9999600533098123,0.9999507666059785,0.9999701679599697,0.9999898795072499,0.9999757863228088,0.9999682086029097,0.9999861593873495,0.9999898267020116,0.9999849206415469,0.9998655442720531,0.9999823054439573,0.9999406416947946,0.9999173829054161,0.9999787382095059,0.9999492019506491,0.9999677710684235,0.999951585874069,0.9999801238114715,0.9999804166395815,0.9999612823614757,0.9998212231604017,0.9999565646904255,0.9999472922354516,0.999961901234538,0.9999422385225912,0.9999528153640678
S022_005,0.999966891446394,0.9999103379603644,0.9999902687899866,1.0,0.999972692413081,0.9999632755067532,0.9998977220918973,0.9999755583867489,0.9999905053379556,0.9999419594724533,0.9999649861900974,0.9999756345954802,0.99994423369751,0.9999629467585524,0.9999945537871489,0.9999629896176376,0.9999810027398783,0.9999712400710778,0.9999659981586545,0.9999791103459105,0.9999753962966343,0.9999857975527165,0.9999864319795577,0.9999828565552931,0.9999783652593056,0.9999732818559509,0.9999890106485188,0.9999848960881592,0.9999803402937206,0.9999436831671125,0.9999746546711451,0.9999280309865285,0.9999692220113083,0.999995145160662,0.999979649193207,0.9999926601089527,0.9999938831970998,0.9999511341999513,0.9999838296643233,0.9999701619490425,0.9999775130768217,0.9999390835601676,0.9999921341869287,0.9999718198328117,0.9999889689440934,0.9998682750353645,0.9999565932885769,0.9999841287302677,0.9999825912946889,0.999984767835514,0.9999666952520176,0.9999159348826065,0.9999722727348149,0.9996296883345038,0.999966705202826,0.9999538285028426,0.9999763984022121,0.9999868390605928,0.9999670876078042,0.9999771081165536,0.9999921069627615,0.9999884114243467,0.999982756350642,0.9999051277282126,0.9999782955750874,0.9999527032095248,0.9998984773428475,0.9999787160975813,0.999972617310962,0.9999735784120839,0.9999519041656475,0.9999779655139293,0.999966825666492,0.9999715593113786,0.9998233842893932,0.9999639201569094,0.9999556614603113,0.9999412983980087,0.999949727719748,0.9999574285072249
S026_005,0.9999113289710241,0.9998900911700827,0.9999627003302145,0.999972692413081,1.0,0.9999535977745487,0.9999083073845279,0.9999725834309408,0.9999621315342133,0.9999001927768011,0.9999522334186627,0.9999829325411581,0.999966214835211,0.9999728191657541,0.9999611429430342,0.9999657632571284,0.999959949503073,0.9999902463454703,0.999948549061184,0.9999695327059834,0.9999495858150775,0.9999749637047528,0.999964581986254,0.9999684385171819,0.9999700655402204,0.9999771436620104,0.9999731914311668,0.9999414093294146,0.9999530833027706,0.9999499208952476,0.9999649420670851,0.999906043344775,0.9999364588976235,0.9999638822386411,0.9999611574981433,0.9999668838809804,0.9999790911354924,0.9999378432385791,0.9999633720746265,0.999932404093456,0.9999639233619424,0.9999103313461668,0.9999665411937055,0.9999619968854506,0.9999726454429035,0.9999244671186571,0.9999194608193883,0.9999764045327197,0.9999603839642207,0.9999528981418802,0.9999696555948099,0.9998797204078471,0.9999295135326287,0.9997338582426462,0.9999440275809994,0.9999334438300913,0.9999900004971415,0.9999404836516284,0.9999861051121725,0.9999872435266031,0.9999857615694947,0.99997636631888,0.9999349112733503,0.9998090687210911,0.9999489094454106,0.9999336782628158,0.9999402561635606,0.9999771666017335,0.999922303362507,0.9999326527596262,0.999947759206126,0.9999528889523512,0.9999503148653741,0.9999299962807012,0.999815899046361,0.9999257873138726,0.999935170252005,0.9999300762371659,0.9999385133937672,0.9999856680474759
S032_005,0.9998738310606498,0.9999171153609188,0.9999369970841563,0.9999632755067532,0.9999535977745487,1.0,0.9999137017899216,0.9999484281869007,0.9999636229116597,0.9998861495762487,0.9999612156377086,0.9999355068070913,0.9999258912019046,0.9999402159027762,0.9999746583637122,0.9999148248327737,0.9999594838943076,0.9999633840920997,0.9999207528810389,0.9999333481993067,0.9999458876561338,0.9999819287000491,0.999937913212736,0.9999408795148269,0.9999411922280267,0.999944579691681,0.999953279099849,0.9999701444508207,0.9999427861926561,0.9999227864606876,0.9999798237290242,0.9999135883854688,0.999885483312955,0.9999592319662758,0.9999643161357734,0.9999526918712648,0.9999527394633265,0.9999209101316738,0.9999307417558522,0.999904249266104,0.9999113924591625,0.9998807673768341,0.999925704487082,0.9999031487223407,0.9999741668063636,0.9998731114144954,0.9999812081789817,0.9999477441691526,0.9999209381116634,0.9999622612335598,0.9999177412189172,0.9998355807668325,0.9999329139054229,0.9997252359317108,0.9998960058990898,0.9998762265399059,0.9999254328662345,0.999929469332905,0.9999485508046047,0.9999527899091545,0.9999595189675405,0.9999505626234679,0.9999425041356856,0.9998961110737273,0.9999033597502018,0.9998887594402565,0.999878163457686,0.9999455168039064,0.9999511729590618,0.9999413915251688,0.9999315809069781,0.9998943209502154,0.9999322186084233,0.999893500803691,0.9997640372600202,0.999933190296546,0.9999238110812493,0.9998857561588143,0.9998926213898007,0.9999675747306158
S034_005,0.9998152651739035,0.9998672661658439,0.9998931977396393,0.9998977220918973,0.9999083073845279,0.9999137017899216,1.0,0.9999537545951424,0.9999003086526871,0.9999145771816706,0.9999122146059881,0.9998499255269278,0.9998508943522668,0.9998382786389781,0.9998997911733535,0.9998748469846173,0.9999308976363624,0.999934058709075,0.9998452290247084,0.999896147733282,0.9999477886888976,0.9999100175703844,0.9998787239586764,0.9998708178472748,0.9999212343079905,0.999874365571708,0.9999020036498911,0.9998887796831208,0.9998794690503674,0.9999594567321123,0.9999552704106661,0.999892343245043,0.9998223525425615,0.9999131227081907,0.9999151756166818,0.9999020450983499,0.999897335328399,0.9998985307012267,0.999893494235678,0.9998899265738185,0.9998633374541431,0.9998065776381427,0.9998605985537198,0.9998362256790904,0.9999311721136281,0.9999237180350627,0.9999283363458125,0.9999481265064845,0.9998620132387049,0.9998938797212464,0.9999076004869145,0.9998708354638541,0.9999033105469075,0.9997522746422607,0.9997972241399996,0.9998244608480457,0.9998749431726615,0.9999027900476672,0.9999302526979426,0.9999410987184528,0.9999277061643678,0.9999220321277373,0.9999281523577047,0.9998360276850324,0.999880183551655,0.9999068328335416,0.9998763609700625,0.9999486617328068,0.9999144050544417,0.9998116285095012,0.9999066273727376,0.9998385291342171,0.9998911297189488,0.9998221272611105,0.9995473778103802,0.9999091834683015,0.9999158357879568,0.9998512145114159,0.9999427306097509,0.9999428356474956
S035_005,0.9999296851134346,0.9999026666552498,0.999972549356535,0.9999755583867489,0.9999725834309408,0.9999484281869007,0.9999537545951424,1.0,0.9999625705738753,0.9999482881555448,0.999962910058709,0.999956154385047,0.9999307350900394,0.9999382461409873,0.999968001579883,0.9999597598426883,0.9999773427031524,0.9999701870859816,0.9999659222569914,0.9999719295532413,0.9999788699641414,0.9999712635219647,0.9999779764964235,0.9999623248274148,0.999981666368361,0.9999589275590104,0.9999645964723259,0.9999501771368258,0.999963148018818,0.9999781316316712,0.9999769179261976,0.9999503694232913,0.9999365934423714,0.9999806830435117,0.9999664973328511,0.9999686719782073,0.9999686028551605,0.9999627407408488,0.9999529547788435,0.999962476686217,0.9999664042901191,0.9999112439995608,0.9999635979737398,0.9999470258575841,0.9999831337004802,0.9999076882823584,0.9999465160105947,0.9999858112563227,0.9999494729109009,0.9999629046653549,0.9999735547149265,0.9999430076945378,0.9999759645318269,0.99968966543606,0.9999273149174296,0.9999478767946698,0.9999721324112117,0.9999770669521704,0.9999804029296113,0.999995564221211,0.9999935007517964,0.9999806928228668,0.9999743325425371,0.9998619256355049,0.9999673821255518,0.9999481635331279,0.9999287608711039,0.9999894170758153,0.9999670471551457,0.9999316279123746,0.9999713762176152,0.9999601881789171,0.9999405213494199,0.9999459483847261,0.9997569500929575,0.9999452575130652,0.9999732548734641,0.9999255117180499,0.9999670756942849,0.9999675821194195
S037_005,0.9999543480969164,0.9999336239282683,0.999981801814531,0.9999905053379556,0.9999621315342133,0.9999636229116597,0.9999003086526871,0.9999625705738753,1.0,0.9999108536616567,0.9999812044168528,0.9999461316188687,0.999928045205062,0.9999541336136297,0.9999797204770466,0.9999230750138083,0.9999601589831915,0.9999704349023457,0.9999369197682587,0.9999465970134589,0.9999551105877752,0.9999884340632993,0.9999580758305293,0.9999558142428833,0.9999559718689867,0.9999450296485821,0.9999712353453563,0.9999765905703243,0.9999504936678224,0.9999252572824265,0.999961575652017,0.9998887666553723,0.9999400481169419,0.9999814074357762,0.9999533150679246,0.9999879924752975,0.9999787751058337,0.9999053655013337,0.9999792905108127,0.9999447907981518,0.999957176210671,0.9999057773214917,0.9999731368554109,0.9999391640116905,0.9999796723961943,0.9998707832723616,0.9999676284806683,0.9999767565237141,0.9999561660152203,0.9999848827244191,0.9999535470145808,0.9998786144585736,0.9999531670612244,0.9996994455714713,0.9999272359330315,0.9999059944911046,0.9999563739440535,0.9999774309180843,0.9999590236469228,0.9999596548535788,0.999977846490312,0.9999703645946834,0.9999789359390074,0.9999149442784365,0.9999481906681505,0.9999252952469406,0.9998607245749194,0.9999604778132993,0.9999668838871357,0.9999485908257667,0.999912663838225,0.9999567419798977,0.9999595469746542,0.9999344974284725,0.9997599296064175,0.9999382662186099,0.9999154251488578,0.9999073516863858,0.9999297316802578,0.999951687181886
S042_005,0.9999037084528074,0.9997815664190298,0.9999268332889184,0.9999419594724533,0.9999001927768011,0.9998861495762487,0.9999145771816706,0.9999482881555448,0.9999108536616567,1.0,0.9998603818511305,0.9999090654439463,0.9998378913908559,0.9998373730572352,0.9999473336088947,0.9999360335337827,0.9999776323453783,0.9998997709826201,0.9999032324823524,0.9999554417120305,0.9999857766074423,0.9998925362285187,0.9999421873734654,0.9999247250659012,0.999941900257143,0.9999093584558918,0.9999602834358488,0.9999234992847446,0.9999658667870219,0.9999658047245954,0.9999544679348966,0.9999555463097699,0.9999185469866221,0.9999506544934857,0.9999617998838647,0.9999277246076631,0.9999464975475473,0.9999637506144162,0.9999465730616114,0.9999513951599217,0.9999093106224427,0.9998727553117737,0.9999386764199473,0.9999395744877436,0.9999541435220809,0.9998077802734446,0.999889455699729,0.9999630367162607,0.9999515887658166,0.9998982424089633,0.9999055782195579,0.999969940430819,0.9999366360624106,0.9994662888980176,0.9999158592051736,0.9999360241764222,0.9999112099583115,0.999951417154983,0.999896005768856,0.9999429442405185,0.9999466436890194,0.9999521758524414,0.9999559832520282,0.9999023656892547,0.9999650900826922,0.9999867243032929,0.9998560945610959,0.9999609049296172,0.9999532618547812,0.9998868395924633,0.9999343216694072,0.9999207893428539,0.9999049981799488,0.9999471011036187,0.9996949083979386,0.9999722473975441,0.9999710289024758,0.9999048728474542,0.9999851877522838,0.9998927591092618
