,S010_006,S011_006,S014_006,S022_006,S026_006,S032_006,S035_006,S037_006,S042_006,S044_006,S045_006,S046_006,S050_006,S052_006,S055_006,S056_006,S057_006,S058_006,S060_006,S062_006,S064_006,S065_006,S066_006,S067_006,S068_006,S069_006,S071_006,S072_006,S073_006,S075_006,S076_006,S077_006,S078_006,S080_006,S081_006,S082_006,S083_006,S085_006,S087_006,S093_006,S094_006,S095_006,S098_006,S100_006,S105_006,S106_006,S108_006,S110_006,S112_006,S113_006,S114_006,S115_006,S116_006,S117_006,S118_006,S119_006,S120_006,S122_006,S124_006,S125_006
S010_006,1.0,0.999962072591775,0.999946182427241,0.9999840102170943,0.9999452513006615,0.9999589630171689,0.9999143284052986,0.9999688723240938,0.9999773041029743,0.9999623361657263,0.9999601808614462,0.9999424842948509,0.9999585981057042,0.9999189366315976,0.9999620647272924,0.9999501670366197,0.9998515596104,0.9999863485901145,0.9999340446253001,0.9999699599319742,0.9999523629612815,0.999984141388644,0.9999218661939626,0.9997839733053909,0.9999650497739055,0.9999096515688641,0.9999054728738297,0.9999540910632355,0.9999334183896436,0.9999461140455681,0.9999902001538951,0.9999358593129802,0.9999505913401903,0.9999487389508777,0.9999737845407263,0.9999328292303564,0.9999136558077258,0.9999427841535787,0.9999713868651078,0.9999155919058514,0.9999535648807544,0.999949172758539,0.9999553129503397,0.9999700166086584,0.9999829369948452,0.9999287694711647,0.9999336148778747,0.9999823717200603,0.999819164197661,0.9999513234617651,0.9999652254970602,0.9999653348202824,0.9999328726234089,0.9999768450219995,0.9999412320958193,0.9999287352201647,0.9999490022573791,0.9999537476939505,0.9999435735024782,0.9999947168036701
S011_006,0.999962072591775,1.0,0.9999350281177056,0.9999874743301679,0.999975858091304,0.9999757198015228,0.9999804696960334,0.9999506680532227,0.999949632439111,0.9999594533677562,0.9999382576669809,0.9999948273830325,0.999913005459266,0.9999758172515726,0.999915921387962,0.999937723221172,0.9998297223037946,0.9999601989823073,0.9999561898392354,0.9999165779879965,0.9999699484475911,0.999956800659407,0.9999680524934247,0.9997795293628712,0.9999903835905835,0.9999558932184505,0.9999411158999303,0.9999872997387504,0.99996217939545,0.9998965016022953,0.9999734425710461,0.9999631642218118,0.999953372312969,0.9999808441208788,0.9999910131396602,0.9999213876078707,0.9999573819098723,0.9999623461646739,0.9999810915541624,0.9999036629368038,0.9999335818310287,0.9999531300206028,0.9999762116220889,0.9999864507769883,0.9999709158824416,0.9999845626545625,0.9999450107537863,0.9999674614077316,0.9999308655150064,0.9999368001066523,0.9999856602834165,0.9999704474697823,0.9999454009770297,0.9999779548331309,0.9999818910158379,0.9999752760073584,0.9999604043299078,0.9999854522661251,0.9999439224990914,0.9999465160128606
S014_006,0.999946182427241,0.9999350281177056,1.0,0.9999712990789789,0.9999716828825685,0.9999835184895766,0.9999217366359118,0.9999326824628331,0.9999737489546214,0.999968912205272,0.9999621885311802,0.9999343935711107,0.9999102285075852,0.9999561697701899,0.9999775246249162,0.9999831848772723,0.9999101935261945,0.9999529673325265,0.9999559910251874,0.9999601120572414,0.9999661850230718,0.9999295965993774,0.99994728197741,0.9997525496704199,0.9999169621323653,0.9999568675057321,0.99995388021945,0.9999679661027601,0.9999480800858506,0.9998842947270521,0.9999391905182908,0.9999747897783123,0.9999874529498439,0.9999620815937307,0.9999508900685501,0.9999126397212899,0.9999616596871777,0.9999722173885577,0.9999475804389294,0.9999337411140703,0.9999678687411618,0.9999805796301374,0.9999753744368859,0.9999318240738667,0.9999580650824655,0.9999313130528734,0.9999164070094837,0.9999572542695266,0.9998801126777888,0.9999657422225375,0.9999757789129714,0.9999124731214509,0.9999250679564581,0.999957493099871,0.9999685002911408,0.9999592642191872,0.9999906691434861,0.9999306082224109,0.9999450699388861,0.9999446269193285
S022_006,0.9999840102170943,0.9999874743301679,0.9999712990789789,1.0,0.9999854007105116,0.999989813462938,0.9999658445010113,0.9999736250661084,0.999981149944184,0.9999844234742932,0.9999768280749584,0.9999780064456998,0.999942753274342,0.9999744399298776,0.9999617678970018,0.999972378735665,0.9998851858107703,0.9999855253719458,0.9999720142821386,0.9999558764717829,0.9999785421439652,0.9999727726908899,0.9999740072982156,0.999799279781,0.9999807459472823,0.999963741082227,0.9999578380202132,0.9999892690196496,0.9999712142356395,0.9999251327704466,0.999984596700422,0.9999736671497022,0.9999810139399766,0.9999830649618138,0.9999923635653537,0.999932315436256,0.9999609697733949,0.9999750977139715,0.999979877596986,0.9999443680732334,0.999971810703854,0.9999762611217226,0.9999865938199104,0.9999870944277299,0.9999905662658108,0.9999736695456285,0.9999584415694511,0.9999879327218003,0.9999045951158054,0.9999663534815229,0.9999942729383741,0.9999752182103652,0.9999580441143429,0.9999934768374114,0.9999805454166084,0.9999728849728537,0.9999777119653726,0.9999828347888476,0.9999722245669145,0.9999739009624453
S026_006,0.9999452513006615,0.999975858091304,0.9999716828825685,0.9999854007105116,1.0,0.9999901619033644,0.9999763698528235,0.9999357428447224,0.9999523540758465,0.9999645453138529,0.9999641765309145,0.9999701765512757,0.9999097212758862,0.9999901804851246,0.9999349072377178,0.9999663168376682,0.9999087378185932,0.9999499759206956,0.9999772773646347,0.9999271942739362,0.9999702198739447,0.9999529745125006,0.9999876284285415,0.9997944242481915,0.9999708509027225,0.9999756353249364,0.999977641603551,0.9999832237456578,0.9999796525618035,0.999897572901549,0.9999627108211956,0.9999807851993235,0.9999836816316686,0.9999754738218323,0.9999768468197106,0.999897853554689,0.9999737710798251,0.9999666525905322,0.9999646851148865,0.9999422743573227,0.9999598510460961,0.9999664931730781,0.9999792081596728,0.999963264902037,0.9999726696093222,0.999987210309113,0.9999252598547305,0.9999608717230728,0.9999452645793564,0.9999527074019103,0.9999874660682134,0.9999648502003506,0.9999444107234389,0.9999758139949181,0.9999791372284326,0.9999722973233234,0.9999772262515663,0.999976682728108,0.9999606275617307,0.9999299081784171
S032_006,0.9999589630171689,0.9999757198015228,0.9999835184895766,0.999989813462938,0.9999901619033644,1.0,0.9999704259041139,0.9999409580954502,0.9999665283654173,0.9999826237469807,0.9999618516695253,0.9999730691990274,0.9999406573019393,0.9999833747422163,0.999964752396906,0.9999633205027414,0.999904560172722,0.9999634434146972,0.9999867585008391,0.9999436859265679,0.9999858297547819,0.9999493424065172,0.9999769902159612,0.9997976308383985,0.9999598748884562,0.9999795132281214,0.9999790225902546,0.9999882579084128,0.9999784905210096,0.9999149971539831,0.9999624402859882,0.999986551211029,0.9999904956521877,0.9999924085035098,0.9999818998651465,0.9999461615139635,0.9999714556853696,0.9999898779457598,0.9999717847413866,0.9999348542574832,0.9999749100941844,0.9999870409878341,0.9999892588479108,0.9999695451561281,0.9999811433768316,0.9999718577438332,0.9999417650490194,0.9999691100574252,0.9999263171500377,0.9999721802832809,0.9999972571406325,0.9999520228770984,0.999964676818805,0.9999733369796356,0.9999859953844078,0.9999855674354666,0.9999919375039542,0.9999657854990428,0.9999571194098187,0.9999536636953792
S035_006,0.9999143284052986,0.9999804696960334,0.9999217366359118,0.9999658445010113,0.9999763698528235,0.9999704259041139,1.0,0.9999182619094095,0.9999048502273036,0.9999475674596676,0.9999226786072593,0.9999848873174634,0.999883581704548,0.9999815476460263,0.9998784137678234,0.999917252664983,0.9998228545698702,0.9999177388348852,0.9999623219312243,0.9998847624154604,0.9999418692747236,0.9999104959132972,0.9999767848404439,0.9998386293263432,0.999970457975947,0.9999558678938202,0.9999740342588881,0.9999709740675367,0.9999847069235972,0.9998833453471591,0.9999302737824073,0.9999439695689971,0.9999399980359408,0.9999731707153241,0.9999804346381269,0.9998891279125584,0.999970784675182,0.9999658249972184,0.9999575196145234,0.9998849419046275,0.9999385939588519,0.9999323146710662,0.9999540270152941,0.9999753799740271,0.9999429466582724,0.999993858072549,0.9999227468144891,0.9999241915761169,0.9999762211228893,0.9999021413007039,0.9999736667574941,0.9999585803041686,0.9999301768711171,0.9999510626402559,0.999966347738912,0.9999822398421799,0.9999506214973833,0.9999614634778279,0.9999401046075269,0.9998900440971382
S037_006,0.9999688723240938,0.9999506680532227,0.9999326824628331,0.9999736250661084,0.9999357428447224,0.9999409580954502,0.9999182619094095,1.0,0.9999760085277202,0.999972414293121,0.999977867235274,0.9999403326454182,0.9998936685851351,0.999929363977005,0.9999368518192799,0.9999656227497082,0.9998279570326734,0.999985400812652,0.9999197220392724,0.9999354590342482,0.99992850436008,0.9999318037166849,0.9999401010518725,0.999766801823,0.9999430448736121,0.9999176401758675,0.9999056070780726,0.9999581099028093,0.999925416116556,0.9998773209709843,0.9999488042210568,0.9999165566549155,0.999939266701313,0.9999382978837477,0.9999636491473126,0.9998695571409996,0.9999171587435052,0.9999343103297603,0.9999316119412904,0.9999396466080024,0.9999524996671161,0.9999387873560734,0.9999524182713004,0.9999744493729111,0.9999580999997246,0.9999243908522782,0.9999743825233784,0.9999769724785449,0.9998382958538159,0.9999255454237704,0.9999557104051054,0.999945762312857,0.9999148023188333,0.9999866138830362,0.9999387824877448,0.9999292844247532,0.9999266307189763,0.9999571863842969,0.9999808071656626,0.9999547085257576
S042_006,0.9999773041029743,0.999949632439111,0.9999737489546214,0.999981149944184,0.9999523540758465,0.9999665283654173,0.9999048502273036,0.9999760085277202,1.0,0.9999797695944165,0.9999768711815594,0.9999374528552164,0.9999223490514101,0.9999426780787097,0.9999835593670683,0.9999790174406786,0.9998914028003665,0.9999924982074769,0.9999426572100392,0.9999509102735824,0.9999715061506613,0.9999507638450172,0.9999424044760621,0.9997011554651506,0.9999321538434099,0.9999480885327869,0.9999122159155649,0.9999728635369475,0.99991731828159,0.9998779419673482,0.9999630061156323,0.9999644233853632,0.9999770326338173,0.9999587424851379,0.9999550139324378,0.999917897595632,0.9999220752164859,0.9999505970420052,0.9999421273634872,0.9999560969515477,0.9999549236826502,0.999979716418573,0.9999810217316666,0.9999516797100391,0.9999761305321565,0.9999163574616704,0.9999618763076856,0.9999929509965912,0.9998293743474959,0.9999767837331105,0.9999736182374305,0.9999257586394007,0.9999419884860384,0.9999841115889418,0.9999632309436309,0.9999381715733773,0.9999624403872082,0.9999583878767614,0.9999631944355547,0.999979475802077
S044_006,0.9999623361657263,0.9999594533677562,0.999968912205272,0.9999844234742932,0.9999645453138529,0.9999826237469807,0.9999475674596676,0.999972414293121,0.9999797695944165,1.0,0.9999805277453876,0.9999534398677512,0.99994148807629,0.9999649614417918,0.9999744682523197,0.9999620607055265,0.9998995693002003,0.9999846364617156,0.9999791838646693,0.9999325506342251,0.9999735904510361,0.9999297918679354,0.9999707585385635,0.9997834885140292,0.9999381509683452,0.9999711685178742,0.9999620004101595,0.9999794945301609,0.9999580528639325,0.9999014508120341,0.9999479071953726,0.999963899304912,0.9999819551131683,0.9999832056439827,0.9999715513722669,0.999938343429051,0.9999391643090769,0.9999803758337528,0.9999404846111786,0.9999584696551717,0.9999846018836526,0.9999864061005856,0.9999834295132438,0.9999748694702135,0.9999814343299012,0.9999416418315573,0.9999817915422127,0.9999809931485172,0.9998805863935221,0.9999737693907853,0.9999874356831757,0.9999399677902132,0.9999730590147836,0.9999819167592389,0.9999671585236982,0.9999677679362682,0.9999665092938076,0.9999617772705756,0.9999825554723873,0.9999611481634025
