,S010_007,S011_007,S014_007,S022_007,S026_007,S032_007,S034_007,S035_007,S037_007,S042_007,S044_007,S045_007,S050_007,S051_007,S052_007,S053_007,S055_007,S056_007,S057_007,S058_007,S059_007,S060_007,S061_007,S062_007,S063_007,S064_007,S065_007,S066_007,S067_007,S068_007,S069_007,S070_007,S071_007,S073_007,S074_007,S075_007,S076_007,S077_007,S078_007,S079_007,S080_007,S081_007,S082_007,S084_007,S085_007,S086_007,S087_007,S088_007,S089_007,S090_007,S092_007,S094_007,S095_007,S097_007,S099_007,S100_007,S101_007,S102_007,S103_007,S105_007,S106_007,S107_007,S110_007,S111_007,S113_007,S114_007,S116_007,S117_007,S119_007,S121_007,S122_007,S124_007
S010_007,1.0,0.9997890417946397,0.9997600235508786,0.999686805400147,0.9998019525290068,0.9995600433977332,0.9995977248172884,0.9997487887142976,0.9998247672531,0.9995204579469781,0.9997089459183058,0.9995767558338391,0.9994423993329095,0.9996295181905005,0.9996822942342314,0.999540057486827,0.9987689886669372,0.9996055804217627,0.9996015524859206,0.9998500558297326,0.9998808748169535,0.9992394145237172,0.9998973629880085,0.9997880958723905,0.9991314839179027,0.9997553145245456,0.9995420862237577,0.9996215796293478,0.9990193210989565,0.9996764796993263,0.9996904873718448,0.9996427965192637,0.9995300151465037,0.9998276501344129,0.999880155545264,0.9996961813947061,0.9994229892704407,0.9997229850802168,0.9996267822004302,0.9995485268023696,0.9994063623103264,0.9994187567955272,0.9994324561102472,0.9996848916341396,0.9991894565705215,0.9995439642175851,0.998524038493598,0.999415926838091,0.9997277347901057,0.9996564162608598,0.9996881436331289,0.9996910097047855,0.9996424394929763,0.9992245616048855,0.999649395677654,0.9995332812475389,0.9999186626772073,0.9998286506816175,0.9996189713168468,0.9996615328007756,0.9995606581049452,0.9981309684773354,0.9992053319513582,0.9997926323983604,0.9996785662601545,0.9994801327821966,0.9997285618634488,0.9992444297652211,0.9993005740674337,0.9995184721344161,0.9996203799400936,0.9997500521499821
S011_007,0.9997890417946397,1.0,0.9997354895466631,0.9998136337715935,0.9997647559861549,0.9998138811106987,0.9998851881563234,0.9999765956432211,0.9996569204225129,0.9997618810774879,0.9999378639924652,0.9998481268055164,0.999671403646293,0.9995214142637937,0.9998135310145385,0.9997489429838162,0.999123644744473,0.9994520500028422,0.9999148034726526,0.9993975485157538,0.9998905327875299,0.9996690588506747,0.9999297630993217,0.99994481342209,0.9992296987033223,0.9998032245483873,0.9997529078342537,0.9998397754601661,0.9996542050724668,0.9999472642944847,0.9999192305114037,0.9998774206804047,0.9997175634174036,0.9999804458036734,0.999893630160721,0.9992295038982918,0.9995704887033154,0.9999275382827134,0.9998805001861868,0.9998607676082378,0.9997969891736377,0.999669638484228,0.99970857144333,0.999961250715533,0.9994491524872962,0.9998730588274608,0.9993126655678067,0.9994441328965269,0.9998473668831485,0.9998451719500184,0.9995550825916221,0.9999284171727458,0.9998790508205904,0.9996365460896192,0.9997945760673503,0.9997080397495103,0.9997859532125252,0.9999408639975788,0.999864108529288,0.9999037501153725,0.9997283903341626,0.9985933535030828,0.9995018282643499,0.9999453533759834,0.9999662330822077,0.9997890314931643,0.9998559065476676,0.9993780370296839,0.9993285021088072,0.9998068385542809,0.9999206736417099,0.9998254636120171
S014_007,0.9997600235508786,0.9997354895466631,1.0,0.999743230086603,0.9997645446413463,0.9997094939247578,0.999678338359262,0.9997968835062502,0.9996128289726552,0.9996431362687409,0.9997483597209686,0.9996076933595305,0.9996228274566646,0.9990402190588163,0.999715079336777,0.9997891260287833,0.9989151481273139,0.9993563548057807,0.9996501683621537,0.9993470229943253,0.9998832247391892,0.9993871799303179,0.9998533069087925,0.9998332445418621,0.9994299207914417,0.9996986747876283,0.9996426580384566,0.9996252661430538,0.9991443421297799,0.9997929837243629,0.9997985863545059,0.9997602467128298,0.9995903489766415,0.9997734437618333,0.9997776197462646,0.9994914521908072,0.9994905766014942,0.9997236412281104,0.9996437967000518,0.9996326544050652,0.9996750872349663,0.999459688296603,0.9994896785107094,0.9997851904885184,0.9993614577037809,0.9997214084658416,0.9989582377121493,0.9995306617602158,0.9997815401382691,0.999786978099331,0.9996596543812725,0.9998040734693402,0.9995652211464312,0.9993773043167065,0.9995708423372439,0.999661590514239,0.9997693367715889,0.9997797081062598,0.9996759226023498,0.9996830372955219,0.9994891635171465,0.9981641588083011,0.9993436973900427,0.9998386969177065,0.999691588702885,0.9996473702304453,0.9997357656617868,0.9992624527662549,0.9992180739013812,0.9996310292136932,0.999699040048453,0.9997734815864381
S022_007,0.999686805400147,0.9998136337715935,0.999743230086603,1.0,0.999858191353331,0.9999719456878217,0.9998859218086819,0.9998865909882556,0.9998033881873033,0.9998954908397016,0.9999294326390812,0.9998941016802392,0.9995199827826612,0.9993932789635377,0.9998822800330378,0.9999420608076778,0.9993491503093651,0.9996445208988379,0.999858749272057,0.9991898324386724,0.9998347064256908,0.999844536701895,0.9998546610940064,0.999834541239086,0.9996594044970464,0.9998482144832861,0.9999431040835461,0.9999108263044069,0.9995382603599198,0.9997684265675321,0.9996964195070279,0.9998527684794839,0.9999311301210496,0.9998396678027739,0.999802099665285,0.999297765449168,0.9999018489358433,0.9999271305231211,0.9998751829178761,0.9998888323921264,0.999749515894041,0.999878975145385,0.9991848467314789,0.9998610421415142,0.999748269165013,0.9998784346588501,0.9989525894518243,0.9998408179257027,0.9999312608796567,0.9999214385726592,0.9992790018286853,0.9996979174497425,0.9999192595437477,0.9997601466401406,0.9994627688385718,0.9998467575892945,0.9995777777087574,0.9997041396552926,0.9999318431606155,0.9999305413117257,0.9998543184814908,0.9976070554501114,0.9990816570118557,0.9998548799657541,0.9997737245536735,0.9999066540900162,0.9995456828215264,0.9987484028293875,0.9986350290742079,0.9999126034518799,0.9995652005430348,0.9999758962180112
S026_007,0.9998019525290068,0.9997647559861549,0.9997645446413463,0.999858191353331,1.0,0.9998287539204461,0.9997581555701915,0.9997952213035027,0.9999242795307545,0.9996371060155489,0.9998223247336577,0.9997267136691896,0.9993936047950752,0.9994928179420807,0.9999576055612546,0.9998446284969763,0.9989644775816001,0.9998038062747995,0.9997707763307828,0.9994826538029291,0.9998363563279025,0.9994590065458049,0.9997762755314131,0.9998387866295679,0.999494618746325,0.9997641703900526,0.9997648195841535,0.999653671350437,0.9993054149163795,0.9997533559978253,0.9995912919376688,0.9997426577233731,0.999796975332395,0.9997365695796727,0.9997988434015775,0.99925624311864,0.9997173203623099,0.9998253343473578,0.9997144453942781,0.9996479647988171,0.9996629533482803,0.999574204107301,0.9993241549493186,0.9997031795747229,0.9996189870581095,0.9997173531937456,0.9985947602354729,0.9998538992464754,0.9997738620822967,0.9997224134145897,0.9996410879736919,0.9996041423521993,0.9997462246135286,0.9995575279134159,0.9996401810937342,0.9996369879927838,0.9998317430005182,0.999829951645489,0.9997758015143785,0.9997362817233567,0.9998864614697939,0.9978452238756415,0.9991156223894475,0.9998924475267302,0.9997427762906247,0.9995926890352739,0.9996003993872752,0.9990550422555988,0.9989547172241671,0.9997537797027161,0.9995585704078285,0.9998085981048673
S032_007,0.9995600433977332,0.9998138811106987,0.9997094939247578,0.9999719456878217,0.9998287539204461,1.0,0.9999054078904697,0.9998995002077692,0.9997059352799373,0.9998737849376024,0.9999323155771268,0.999896271413002,0.9995642323159042,0.9992531038997603,0.9998979009391662,0.9999707447645733,0.9993117795531641,0.9995720600880539,0.9999137099875232,0.9989980177344419,0.9997737557199734,0.9998685962752527,0.9997846900507863,0.9998509198326057,0.9996223617758029,0.9998108598570487,0.999929742660491,0.9998679017126467,0.9996804003872656,0.999807939667464,0.9997069473994147,0.9998534480142677,0.9999273846061203,0.9998076150081797,0.999724117525351,0.9990637723731907,0.9998633653430725,0.9999170967729615,0.9998622263439736,0.9998937412907902,0.9998586668159026,0.9998411351675777,0.9992655279587553,0.9998765243898893,0.9997679129494301,0.9999191694451187,0.9991506781984744,0.999829748250515,0.9998777689142644,0.9998941213186712,0.9992732542776658,0.9997140391997805,0.9998984888421961,0.9998177193876729,0.9995024051704718,0.9998007509978886,0.9995157293272912,0.9997094439324784,0.9999287708630578,0.999916194649525,0.9998698670086262,0.9977817421437245,0.9991811640854891,0.9998748064712372,0.9998178263128139,0.9999106781509031,0.9995563259258321,0.9988075802795813,0.9986475438067447,0.9999311034190312,0.9996155501491669,0.999923703355661
S034_007,0.9995977248172884,0.9998851881563234,0.999678338359262,0.9998859218086819,0.9997581555701915,0.9999054078904697,1.0,0.9998937286764299,0.9995801723878316,0.9999420286195504,0.9999852782577499,0.9999881641044149,0.9995083984415992,0.9992851563953524,0.9998811187339901,0.9998592019257857,0.9995768620510642,0.9993119776929763,0.9998899227283878,0.998997847938066,0.9998707000375712,0.9998384235128874,0.9998385882505809,0.9998544547584789,0.999646166529115,0.9997395549336174,0.9999477130118374,0.9999265897448547,0.9995766426626587,0.9999137520987837,0.999725456689885,0.9999775321260703,0.9999148508294915,0.9998758441245135,0.9998260845079002,0.9989734888222325,0.9998320328072302,0.9999841586260722,0.9999816648263824,0.9998492328320001,0.9997915747548899,0.9998846016602688,0.9993488307009486,0.9999114095252277,0.9998171317930334,0.9999830859987641,0.9991496863590519,0.9996348797587844,0.999919103037064,0.9999465744085713,0.9992629169860064,0.9998174324266748,0.9999503248002223,0.9999195177250418,0.9994573236698906,0.9997855786940129,0.9995811727933082,0.9997901607766345,0.9999888983839446,0.9999707266152474,0.9997471016046289,0.9978603168299943,0.999090064902671,0.9998608673356744,0.9998175343368344,0.9998232872770612,0.9995404204177004,0.9988608272623128,0.9989427158008768,0.9999838973246222,0.9997486387482509,0.9998399860413576
S035_007,0.9997487887142976,0.9999765956432211,0.9997968835062502,0.9998865909882556,0.9997952213035027,0.9998995002077692,0.9998937286764299,1.0,0.9996828291513487,0.9998039896534668,0.9999505940361997,0.9998572716368963,0.9997337807704466,0.9994235421768536,0.9998390513039187,0.9998525826479073,0.999124442949523,0.9995113864620635,0.999947369259507,0.9993123726506924,0.9998764166593719,0.9997506909826818,0.9999253785009339,0.9999605459091748,0.9993262614543442,0.9998475328068163,0.999804277741384,0.9998614449584037,0.9997183586150268,0.9999356834902292,0.9999346145287084,0.9998791812100648,0.9997734394810416,0.9999663713405263,0.9998577554504707,0.9992605183941257,0.9996421502635683,0.9999309958167085,0.9998735418360983,0.999915220788109,0.999874255473468,0.9997143593806428,0.9996594925399507,0.9999840281840048,0.9995064364203091,0.9999074171745816,0.9993853349690974,0.9995630408274423,0.9998751319459881,0.999884187360529,0.9995314946472966,0.9999215853827466,0.9998829849572148,0.9996681196228345,0.9997746189085659,0.9997656422438338,0.999731635451438,0.9999008047312029,0.9998859954588071,0.9999221121594838,0.9997740283127053,0.9984989303780288,0.9995330609587633,0.9999638075616606,0.999969672483685,0.9998818399233743,0.9998513723931653,0.9993109303526025,0.9991810617411365,0.9998417379122084,0.9998827966519589,0.9998939589335808
S037_007,0.9998247672531,0.9996569204225129,0.9996128289726552,0.9998033881873033,0.9999242795307545,0.9997059352799373,0.9995801723878316,0.9996828291513487,1.0,0.9994997143666814,0.9996890819063173,0.9995747365077136,0.999169510744215,0.99970623168354,0.9998190000928499,0.9997024299866797,0.9987854917959047,0.9999261388593357,0.9996041069858479,0.9996319449994169,0.999732252862753,0.9993631070408047,0.9997239068939051,0.9996774162219022,0.999314879302971,0.999684276525486,0.9996442180576803,0.9995913272115029,0.9991556157643738,0.9995470556073496,0.9994696155468344,0.9995654255868396,0.9996588481157948,0.9996542306092557,0.9997687327829227,0.9993946670839059,0.9996493841362896,0.9997074109137933,0.9995896673514036,0.999602281579382,0.9993990781093017,0.9995030158533513,0.9990963949088109,0.9995642511969953,0.9994193248878416,0.999504230816917,0.9982491814846103,0.9997783634878215,0.9997092870741734,0.9995978830793333,0.9994638727950809,0.9994070908762714,0.9996783721952983,0.9993122728171983,0.9995386492392855,0.9996192911841223,0.9997563351864219,0.9996859084467474,0.999644600902641,0.9996316035734766,0.999851756819087,0.9975606467001413,0.9988997373175652,0.9997464222051056,0.9996183775065024,0.9995256572197768,0.9994902797048826,0.9988804163783837,0.9986550649266455,0.9995873772817278,0.9993399191577312,0.9997740362186546
S042_007,0.9995204579469781,0.9997618810774879,0.9996431362687409,0.9998954908397016,0.9996371060155489,0.9998737849376024,0.9999420286195504,0.9998039896534668,0.9994997143666814,1.0,0.9999246168617311,0.9999625485039397,0.999446862692987,0.9991322756603225,0.9997483740675985,0.9998273339312119,0.9997083276939527,0.9991886921844849,0.9997742905882583,0.9988548736796437,0.9998187122475807,0.9998968778505752,0.999813211612168,0.999735369039497,0.9997552417878077,0.9997208084542856,0.999967532631946,0.9999676519965679,0.9994123857738086,0.9997701748857959,0.9996307321034001,0.9999298455684182,0.9999164685749911,0.999813347834195,0.9997566387391245,0.9990983763518632,0.9998893515708048,0.999928353814001,0.9999496793341499,0.9998293759407523,0.9996649096818209,0.9999652936478092,0.999051050788755,0.9998528689991582,0.9998187341353311,0.9999370158662395,0.9990166243931858,0.9996117438383163,0.9999387301048093,0.9999764321552164,0.9990024459460355,0.9997278262059535,0.9999218926798945,0.9998908377914967,0.9991817607522604,0.9998181831812606,0.9993879521865954,0.9995925268246381,0.9999656394081798,0.9999613170884986,0.9996086312597166,0.9973625982299764,0.9988536490562333,0.999721765552234,0.9996506591106346,0.9998675156706722,0.999361208873894,0.998485914819836,0.9986231160423219,0.9999574637112671,0.9995637390793372,0.999876727453387
