,S010_001,S011_001,S014_001,S022_001,S026_001,S028_001,S029_001,S032_001,S034_001,S035_001,S037_001,S042_001,S044_001,S045_001,S050_001,S052_001,S055_001,S058_001,S064_001,S066_001,S067_001,S069_001,S071_001,S072_001,S075_001,S077_001,S078_001,S081_001,S082_001,S087_001,S089_001,S090_001,S092_001,S100_001,S106_001,S109_001,S110_001,S111_001,S112_001,S113_001,S117_001,S119_001,S120_001
S010_001,1.0,0.9999693808766077,0.9999500838084912,0.9999871451077132,0.9999804929701025,0.9998781628885222,0.9999828750624121,0.9999873083898732,0.9999888104648306,0.9999588248317804,0.9999541139506429,0.9999828478042664,0.9999407045726575,0.9998366446216135,0.9999750663273169,0.9999826785611154,0.9994658264333719,0.9999888884576287,0.9999088820103644,0.9999679895636949,0.9999640525324507,0.999982813069561,0.9999747640349003,0.9999141617939883,0.9999551468170861,0.9999878726799635,0.9999409795658891,0.9999750464585905,0.9999241319931037,0.9999528849293448,0.999962088025703,0.9999890632476869,0.9999397481029518,0.9999769347975674,0.9999372265080498,0.9999203941619603,0.9999723015057893,0.9999445234324379,0.999892836401634,0.9999755566287821,0.999893165037526,0.9999208733386374,0.9999351690906958
S011_001,0.9999693808766077,1.0,0.999961991968259,0.9999667447045358,0.9999730599490829,0.9998843635903983,0.999949736792321,0.9999692780097481,0.9999640983599002,0.9999105682460446,0.9999253904403202,0.9999588601850943,0.9999040232827819,0.9998626772127298,0.9999597171073136,0.9999343463222792,0.9994105296833367,0.9999619666868085,0.9998873084749104,0.9999445552421465,0.9999581127617811,0.9999781293306544,0.9999408689848817,0.9998860206087326,0.9999018527291069,0.9999828499253911,0.9998804578911299,0.9999581930613037,0.999865775823502,0.9999029489072159,0.9999422927950194,0.9999665409177916,0.9999101520710391,0.9999809919003557,0.9999163949237074,0.9998886604839871,0.9999755908163477,0.9999460314706076,0.9998907883169633,0.9999565544806266,0.999861906154709,0.9999106090498837,0.9999579183518167
S014_001,0.9999500838084912,0.999961991968259,1.0,0.999973065623175,0.9999683302692572,0.9999488750802469,0.9999698989205972,0.9999700105426673,0.9999632471234227,0.9999163388874854,0.9999054035343368,0.9999825432054075,0.9999347965754187,0.9998277436298239,0.9999214536177127,0.9999194563913328,0.9993560029319586,0.999958434636384,0.9999158360541902,0.9999685438924582,0.999950772526145,0.9999639394468423,0.999949374882748,0.9999293950180276,0.9999381687942492,0.9999731354044266,0.9999348879961603,0.9999543188948788,0.9999167887619688,0.9999414796877638,0.9999545228738259,0.9999763193095081,0.9999467061653342,0.9999395929372115,0.9999090726043225,0.9999486222547463,0.9999154749629788,0.9999629265562248,0.9999146471589476,0.9999462604484095,0.9998485340026225,0.9999184715344709,0.9999645827990097
S022_001,0.9999871451077132,0.9999667447045358,0.999973065623175,1.0,0.9999654838391241,0.9999027215015197,0.9999940483779324,0.999991565703847,0.9999777046199888,0.9999597610263203,0.9999243070152944,0.9999925969261082,0.9999709236829787,0.9998301329479745,0.9999719920101575,0.9999741845274093,0.9994415916866138,0.9999818713759737,0.999933635611887,0.9999908264833984,0.999974982197402,0.9999655790745041,0.9999611173228926,0.999932407851287,0.9999680299012945,0.9999823580014965,0.9999594195390856,0.9999654054596833,0.9999181675693408,0.9999761682557293,0.9999840544644802,0.9999858442258208,0.9999539692350193,0.999978097190815,0.9999289909186105,0.9999371470605805,0.9999637824217068,0.9999596528850933,0.9998958475288834,0.9999825201482336,0.999894962667142,0.9999356508793285,0.9999469509147078
S026_001,0.9999804929701025,0.9999730599490829,0.9999683302692572,0.9999654838391241,1.0,0.9998893641008804,0.9999588602016314,0.9999696575437778,0.9999848316013746,0.9999231705752417,0.9999589098472217,0.9999743764933041,0.9999044710260502,0.9998184448245679,0.9999291047220864,0.9999551687979003,0.9994746451441495,0.9999826258546298,0.9998737240168055,0.9999376601683136,0.9999320935101134,0.9999918924722621,0.9999756883567544,0.9999128814500118,0.9999353090397655,0.9999841697660629,0.9999189691635709,0.9999815084170554,0.9999306723676644,0.9999191123020685,0.9999254031202107,0.9999833175891941,0.9999425280809157,0.9999439332889489,0.9999411588145464,0.9999093790322708,0.9999382950913398,0.9999289886069727,0.9998888576464638,0.9999519482361284,0.99984223538723,0.9998867420906307,0.999935278680937
S028_001,0.9998781628885222,0.9998843635903983,0.9999488750802469,0.9999027215015197,0.9998893641008804,1.0,0.999924571498418,0.9999173082326511,0.9999130193248182,0.9998777906521998,0.9998425387319687,0.9999321952526243,0.9998570222578715,0.999841452504394,0.9998832654574735,0.9998165368790796,0.9990426150906172,0.9998810656489387,0.9998998121236423,0.999935816544641,0.9999263109822165,0.9999147898976385,0.9999027651341197,0.9998780974331959,0.9998683615205364,0.999926964654655,0.9998776618532106,0.9998768727103726,0.9998872306884377,0.9998745143747784,0.9999226226725639,0.9999344906640885,0.999867405748113,0.999879913391206,0.999814013760961,0.9999812487970036,0.9998352454350652,0.9999703005115244,0.9999459163685884,0.9998663201063362,0.9998233551607996,0.9999173797161555,0.9999705050185798
S029_001,0.9999828750624121,0.999949736792321,0.9999698989205972,0.9999940483779324,0.9999588602016314,0.999924571498418,1.0,0.9999935983714572,0.9999744643813696,0.9999623630753173,0.9999100825808163,0.999991008874559,0.9999762728791087,0.999857019183507,0.9999669141673815,0.9999602843293087,0.9993647542525949,0.9999723008961267,0.9999526290213526,0.9999941369424248,0.9999823536768052,0.9999612277613622,0.999957197280311,0.999917508811353,0.9999595030229835,0.9999771086756553,0.9999741532036299,0.9999503804098213,0.9999207450341958,0.9999844714734799,0.9999799768656883,0.9999913895669198,0.9999401278057696,0.9999692524478827,0.9999028208793779,0.9999628700580454,0.9999520408282838,0.999973545687556,0.9999263859975457,0.9999658997847145,0.9999199971369308,0.9999573078033303,0.9999474690412457
S032_001,0.9999873083898732,0.9999692780097481,0.9999700105426673,0.999991565703847,0.9999696575437778,0.9999173082326511,0.9999935983714572,1.0,0.9999732449297544,0.9999695599092878,0.9999141444119617,0.9999848146235576,0.9999665641579742,0.9998848528624763,0.9999695017676978,0.9999635132046406,0.9994064357025658,0.999979633000093,0.9999317746415866,0.9999863918813376,0.9999861243002939,0.9999726673118514,0.9999578576939612,0.9999083364535911,0.9999449585402941,0.9999841539582796,0.9999662518869229,0.9999583296432966,0.999910640017788,0.9999656018790852,0.9999700786027105,0.999991923458446,0.9999407220004823,0.9999795464193261,0.9999123809594841,0.9999538096488849,0.9999645239415929,0.9999751804317456,0.9999220469595923,0.9999731083296659,0.999914152114403,0.9999545848090495,0.9999551367399608
S034_001,0.9999888104648306,0.9999640983599002,0.9999632471234227,0.9999777046199888,0.9999848316013746,0.9999130193248182,0.9999744643813696,0.9999732449297544,1.0,0.9999446050836092,0.9999776568290449,0.9999898343011351,0.9999093911839001,0.9998029062380275,0.9999635602301683,0.9999661565014856,0.9994201010856832,0.9999864152674645,0.9998988669763187,0.9999634710630767,0.9999479092049756,0.9999924191877636,0.9999920417507409,0.9999439652608759,0.999964379508149,0.9999940085514996,0.9999206829126123,0.9999857836478568,0.9999558588538905,0.9999345517396906,0.9999647750101429,0.9999894081749662,0.9999499065871224,0.9999580612121582,0.9999510147325429,0.9999352726954037,0.9999458598113288,0.9999462219047911,0.9998989887813059,0.9999671737785228,0.9998543908832431,0.999901840698648,0.9999557760608033
S035_001,0.9999588248317804,0.9999105682460446,0.9999163388874854,0.9999597610263203,0.9999231705752417,0.9998777906521998,0.9999623630753173,0.9999695599092878,0.9999446050836092,1.0,0.999909777289675,0.999958072407177,0.9999213781804455,0.9997979853330234,0.9999430109916162,0.9999670330502052,0.9994977511874488,0.9999716934312115,0.9998444121402338,0.9999630670011175,0.9999394383886193,0.9999377839210783,0.9999552011212133,0.9999319293803323,0.9999560266067,0.9999529278478455,0.9999541449394151,0.9999503952367302,0.9999355316881229,0.9999193787530929,0.9999545676603496,0.9999524847132424,0.999957634088086,0.9999339705109993,0.9999327716043003,0.9999377350724238,0.9999047537671675,0.9999295091393596,0.9998338841842003,0.9999769105677971,0.9998247415933952,0.9998838363539413,0.9999232179771883
