,S010_002,S022_002,S026_002,S032_002,S034_002,S035_002,S037_002,S042_002,S044_002,S051_002,S057_002,S067_002,S070_002,S071_002,S073_002,S075_002,S077_002,S078_002,S079_002,S080_002,S082_002,S083_002,S087_002,S088_002,S093_002,S095_002,S097_002,S099_002,S100_002,S101_002,S102_002,S103_002,S107_002,S109_002,S110_002,S112_002,S113_002,S115_002,S118_002,S121_002,S122_002
S010_002,1.0,0.9998989636611585,0.9999347445556722,0.9999206417899384,0.9999252989022145,0.9999183241326671,0.9999158573145999,0.9999259300201623,0.9999165309043813,0.9995464045832562,0.9999296830781336,0.9999666945304264,0.9998218588938775,0.9999179643304862,0.9999710593958964,0.9998368520669755,0.999903564899006,0.999715215704299,0.9994064313110758,0.9998172989635338,0.9998094304181641,0.9998926251296647,0.9999359764974706,0.9999383525794868,0.9999038067820335,0.9999204233514374,0.9998942550584552,0.9993893242294899,0.9999034975605056,0.9999273066706446,0.9999024740028307,0.9999184232202403,0.9999133501382947,0.9996973222395337,0.9999358008536776,0.9998059195988118,0.9998885273551885,0.9998538308671786,0.9998779316917972,0.9998408160663913,0.9998547176305609
S022_002,0.9998989636611585,1.0,0.9999142860584717,0.9999227955531178,0.9999695908668238,0.9999557777869656,0.9999558687256811,0.9998994663364726,0.9999268368993134,0.9993516995659747,0.999865778070741,0.999930125357105,0.9999431559867911,0.9998994047578857,0.99993293092403,0.9998940862893486,0.9999469594012896,0.9996931781629634,0.9997621102531439,0.9998717782747785,0.9998487714362718,0.9998624448136708,0.9999372451337966,0.9999196239286959,0.9999290086974542,0.9999551799683084,0.9998778825854091,0.9991637047697467,0.999958891517224,0.9999389393135473,0.9998832725542441,0.9999385486279541,0.9998323029537857,0.9999045961801377,0.9999529390063746,0.9997132024940648,0.9999646203033065,0.9999409813126815,0.9999213839066425,0.9998862534329137,0.9998679263846286
S026_002,0.9999347445556722,0.9999142860584717,1.0,0.9999673203259283,0.9999368033913657,0.9999702656930952,0.9999829880639427,0.9999433636855455,0.9999807267690247,0.99971842326942,0.9999889753607687,0.9999815706312812,0.9999358748473376,0.9999768676663803,0.9999807293095712,0.9999206542645435,0.9999449222648514,0.9998951654967366,0.9994550734509169,0.9998474767002853,0.9999251136881546,0.9999775170391882,0.9999693082206927,0.9999872081930504,0.9999805848797189,0.9999765269410721,0.9999822461976497,0.9995726358633258,0.9999640046637681,0.9999493462022729,0.9999655661828013,0.999961180477339,0.9999721717360353,0.9997616043309812,0.9999922571303675,0.999929172318338,0.9999210965536937,0.9999419036673426,0.9999408704143747,0.9999203302826575,0.9998323985978164
S032_002,0.9999206417899384,0.9999227955531178,0.9999673203259283,1.0,0.9999735921114788,0.9999827709020805,0.9999820812969891,0.9999903106739617,0.9999910844046825,0.9995874326457473,0.9999547342652073,0.9999859575226945,0.9999336241538732,0.9999475691155411,0.9999860619177179,0.9999180988606926,0.9999734729621195,0.9997989204038611,0.9995832465726301,0.9999173597176955,0.9999396269470512,0.9999595752231918,0.9999965852435181,0.9999831880193245,0.9999315205196887,0.9999527971986538,0.999979376362062,0.9994031087309824,0.999967309088459,0.9999769094910678,0.9998892550222297,0.9999970370464898,0.9999086045917905,0.9998522948406318,0.9999804360812279,0.9998410031208153,0.999973714232165,0.9999583011286114,0.9999770971401799,0.9999808272450262,0.9999414183748897
S034_002,0.9999252989022145,0.9999695908668238,0.9999368033913657,0.9999735921114788,1.0,0.9999670558037473,0.9999633736872162,0.9999700165804826,0.9999690324012439,0.9994328955660361,0.9998983733356849,0.999964610134913,0.9999247250486679,0.999918372608515,0.9999706284918121,0.9998980343096852,0.9999609691701811,0.9996953475445809,0.9996933149563187,0.9999049036654333,0.9998706728973976,0.9999148779755552,0.9999732588560815,0.999944427983362,0.9999129129102878,0.9999556358731732,0.9999236634842982,0.9992441806427702,0.9999490225848422,0.9999649381353131,0.9998794488209439,0.999979697672602,0.9998513595021097,0.9998757615837345,0.9999645431551165,0.9997511865377663,0.9999907444060177,0.999944915027898,0.9999707500383244,0.9999454461418841,0.9999325435978161
S035_002,0.9999183241326671,0.9999557777869656,0.9999702656930952,0.9999827709020805,0.9999670558037473,1.0,0.9999934742050798,0.9999617990578781,0.9999780176948382,0.9995607545629531,0.9999464421844976,0.9999839353328884,0.9999539322709438,0.999937804688137,0.9999773604663479,0.9999154333064272,0.9999678746534645,0.9998092083979754,0.9996319010140519,0.9999060308791786,0.9999303878391734,0.9999363927246784,0.9999911818056527,0.9999800440749133,0.9999541931931031,0.9999571515921424,0.9999726638246658,0.9993771094388151,0.9999916665937392,0.9999670322719979,0.9999146805301363,0.9999806549151249,0.9999199290308318,0.999885919924485,0.999988641863087,0.9998451709658303,0.9999723002733141,0.9999656662760776,0.9999750963732004,0.9999673731533026,0.9999151838976478
S037_002,0.9999158573145999,0.9999558687256811,0.9999829880639427,0.9999820812969891,0.9999633736872162,0.9999934742050798,1.0,0.9999549325678527,0.9999861131569063,0.9996039534323533,0.9999642496239094,0.9999805809183947,0.9999737185704839,0.9999628160234714,0.9999783611299927,0.999943629432954,0.9999772058464091,0.9998543999889151,0.9996155581119748,0.9998964881434655,0.9999520680920763,0.9999577433120512,0.9999873537735873,0.9999895561121104,0.9999764787982374,0.9999798588363917,0.9999772710438308,0.9994313511696195,0.9999934718124632,0.9999710115586614,0.9999318866938725,0.9999838510578939,0.9999337344745138,0.9998711148142594,0.9999969838984166,0.9998672391189117,0.9999640744904428,0.9999785611894765,0.999960423015359,0.9999554924121378,0.999890311526122
S042_002,0.9999259300201623,0.9998994663364726,0.9999433636855455,0.9999903106739617,0.9999700165804826,0.9999617990578781,0.9999549325678527,1.0,0.9999811769854756,0.9995696662050856,0.9999313940921372,0.999977489912798,0.9998953738790392,0.999909058860381,0.9999811044772019,0.9999028752849339,0.9999423482389826,0.9997411031964974,0.9995416029644467,0.999879504480633,0.9999073964264136,0.9999498079810533,0.9999857177952274,0.9999622013698679,0.9998992828060717,0.9999294895212482,0.9999621410830904,0.9993923719962471,0.9999322989204549,0.9999510817015528,0.9998723704308347,0.9999839674120562,0.9998918366028753,0.9998182163850732,0.9999551993738331,0.999817042077248,0.9999596822221298,0.9999371649778811,0.9999688220960984,0.9999737385549947,0.9999500078169552
S044_002,0.9999165309043813,0.9999268368993134,0.9999807267690247,0.9999910844046825,0.9999690324012439,0.9999780176948382,0.9999861131569063,0.9999811769854756,1.0,0.999651157495065,0.9999646289546936,0.9999804619291192,0.9999542781430127,0.9999506387584248,0.9999842524407162,0.9999504709502423,0.9999584029070738,0.9998416815119768,0.9995538631697202,0.9998669709801418,0.9999463913586096,0.9999837264015676,0.9999867657297291,0.9999839587903904,0.9999601496117678,0.9999757547860365,0.9999852002330885,0.9994927904213058,0.9999626082104077,0.9999563514625313,0.999932275027846,0.9999880378328122,0.9999344811418232,0.9998266582831412,0.9999865047295874,0.9998805069988029,0.9999581901696517,0.9999740570449946,0.9999689949655033,0.9999676533548398,0.9998967338335208
S051_002,0.9995464045832562,0.9993516995659747,0.99971842326942,0.9995874326457473,0.9994328955660361,0.9995607545629531,0.9996039534323533,0.9995696662050856,0.999651157495065,1.0,0.999767477325023,0.9996207799993485,0.9995435913218438,0.9996401563346928,0.9996190015923194,0.9996232267157925,0.9994702210056637,0.9998684132461362,0.9984878098219138,0.9992489660618942,0.9996546717605156,0.999773551170697,0.9995758723732231,0.9996683796922401,0.9996899130258704,0.9996139613931728,0.9997339750419684,0.9999760880409374,0.999538771045039,0.9994759377979142,0.9997464893271549,0.9995450120836226,0.9998247261320519,0.9990837173104588,0.9996277841007882,0.999921148594957,0.9993812543624931,0.9995637585396758,0.9995159875793723,0.9995322999636382,0.9992753612034386
