,S011_004,S032_004,S046_004,S050_004,S054_004,S059_004,S062_004,S065_004,S068_004,S074_004,S084_004,S091_004,S095_004,S102_004,S107_004,S108_004,S110_004,S111_004,S113_004,S114_004,S115_004,S116_004,S117_004,S118_004,S119_004,S121_004,S124_004,S125_004
S011_004,1.0,0.9996812994514983,0.9996400052788761,0.9994251425295615,0.9996469490493554,0.9994730438922504,0.999108746933125,0.9996541113752759,0.9993244745011608,0.9996244332591256,0.9995803695606686,0.9992277060695194,0.9997780561102105,0.999580645395096,0.999679216591562,0.9997092293617722,0.9997792712481646,0.9994932012997375,0.9996542413738138,0.9995945097622196,0.9997252116695532,0.9996293709341466,0.9995434459716039,0.9996750644998884,0.9995490889104036,0.9996198133974888,0.9995510306551405,0.9998176666587744
S032_004,0.9996812994514983,1.0,0.9999803886369448,0.9999403822837466,0.9999853769664426,0.9998742328248376,0.999811287182807,0.999998712919064,0.9998824227609825,0.9999714641228613,0.9998720457159727,0.9998095706868618,0.9999642115879168,0.9999388487400784,0.9998290846381137,0.9999830762558425,0.9999099819634467,0.9999280573959763,0.9999957435937655,0.9999802037456959,0.9999718789073966,0.9999690665179545,0.9999617229271794,0.9999888757257221,0.9999603531431493,0.9999795164906705,0.999953688934099,0.9999326152726908
S046_004,0.9996400052788761,0.9999803886369448,1.0,0.9999430634833385,0.9999720540767802,0.9998864849730013,0.9998477304269061,0.9999866697647524,0.999911288134298,0.999956681710642,0.9999348100770895,0.9998678709533669,0.9999458803683374,0.9999497155325406,0.9997224014884903,0.9999888020267274,0.9999382360426075,0.9999389210068793,0.9999750923870615,0.99997318691141,0.9999126060309537,0.9999874500618678,0.9999723746607183,0.999972708569023,0.9999653877538657,0.9999701761061697,0.999974446702845,0.9999464896609872
S050_004,0.9994251425295615,0.9999403822837466,0.9999430634833385,1.0,0.9998989060057485,0.9999188940812269,0.9999369564071572,0.999950433267815,0.9999700573110825,0.9999092799913867,0.9998746811811104,0.999935478773479,0.9999070001442996,0.9999611792799188,0.9996285792282542,0.9999312203248519,0.9998323543288651,0.9999613998272325,0.9999513819527012,0.9999721925666333,0.99986196116108,0.9999654589248119,0.9999694696062736,0.9999564818702185,0.9999719942094853,0.9999713815952984,0.9999636825704066,0.9998345449399881
S054_004,0.9996469490493554,0.9999853769664426,0.9999720540767802,0.9998989060057485,1.0,0.9998294285750888,0.999774237105151,0.9999861213783591,0.9998361162649864,0.9999800718869881,0.9998388929800075,0.9997523820248393,0.999923905957057,0.9999022473191556,0.9998400666457053,0.9999591598610786,0.9998880084460365,0.9999013905555835,0.9999718409014984,0.9999527577555769,0.9999535779309979,0.9999395429610788,0.9999422420318341,0.9999569809279268,0.9999394928359226,0.9999398188466889,0.9999295643416707,0.9999084610031584
S059_004,0.9994730438922504,0.9998742328248376,0.9998864849730013,0.9999188940812269,0.9998294285750888,1.0,0.9997497116903987,0.99987938766417,0.9998405343055714,0.9998911168151252,0.9999118897342588,0.9998851411083598,0.9998901451095353,0.9999447714787782,0.9994892837129092,0.9998652625010563,0.9998934708591088,0.999885122288371,0.9998878947238737,0.9998668640620253,0.9997646983573241,0.9999230388751392,0.9999633725932825,0.9998957667695757,0.9999324052419725,0.9998895999318715,0.9999552557922393,0.9998359747132387
S062_004,0.999108746933125,0.999811287182807,0.9998477304269061,0.9999369564071572,0.999774237105151,0.9997497116903987,1.0,0.9998347514278497,0.9999713461793636,0.9997524027696227,0.9997639949954963,0.9999241365601215,0.9997312997984129,0.9998364188055755,0.9994269409577626,0.9998214892334877,0.9996446834775428,0.9998833107416882,0.9998271093032944,0.9998894197081833,0.9997048367139403,0.9998634018963493,0.9998490167380114,0.9998283568097696,0.9998624407870427,0.9998727094034491,0.999852993284001,0.9996666250088151
S065_004,0.9996541113752759,0.999998712919064,0.9999866697647524,0.999950433267815,0.9999861213783591,0.99987938766417,0.9998347514278497,1.0,0.9998975404397389,0.9999724820908449,0.999881624785005,0.9998297084880315,0.9999591980151801,0.9999468083380005,0.9998081550978631,0.9999849477073075,0.9999082044115017,0.9999385575037598,0.9999937620870808,0.9999857428692225,0.999960641465477,0.9999755496962697,0.9999683757208762,0.9999894860819583,0.9999680014876424,0.9999825058328315,0.9999621222389485,0.9999300407609264
S068_004,0.9993244745011608,0.9998824227609825,0.999911288134298,0.9999700573110825,0.9998361162649864,0.9998405343055714,0.9999713461793636,0.9998975404397389,1.0,0.9998314847862638,0.9998526380936881,0.9999405906503888,0.999848001018709,0.9999064500075694,0.9995343474920568,0.999891470804457,0.9997825377937087,0.999943832050559,0.999901697650683,0.9999353691232337,0.9997907403920177,0.9999371433400058,0.9999159410843955,0.9998923327854493,0.9999269898296095,0.9999242887691348,0.9999072596262253,0.9997702108800262
S074_004,0.9996244332591256,0.9999714641228613,0.999956681710642,0.9999092799913867,0.9999800718869881,0.9998911168151252,0.9997524027696227,0.9999724820908449,0.9998314847862638,1.0,0.9998406957102146,0.9997562117799925,0.99994088638159,0.9999385069882265,0.999804858289878,0.9999318507790135,0.9999023971998582,0.9999322285714886,0.9999591609991504,0.999942555201842,0.99992119622933,0.9999457482533124,0.9999653551563518,0.9999499989296248,0.9999683973052186,0.9999245036813804,0.999937832280228,0.9998833336937902
