,S010_006,S011_006,S014_006,S022_006,S026_006,S032_006,S035_006,S037_006,S042_006,S044_006,S045_006,S046_006,S050_006,S052_006,S055_006,S056_006,S057_006,S058_006,S060_006,S062_006,S064_006,S065_006,S066_006,S067_006,S068_006,S069_006,S071_006,S072_006,S073_006,S075_006,S076_006,S077_006,S078_006,S080_006,S081_006,S082_006,S083_006,S085_006,S087_006,S093_006,S094_006,S095_006,S098_006,S100_006,S105_006,S106_006,S108_006,S110_006,S112_006,S113_006,S114_006,S115_006,S116_006,S117_006,S118_006,S119_006,S120_006,S122_006,S124_006,S125_006
S010_006,1.0,0.9999513878605186,0.9998824307695998,0.9999721446114456,0.999951898121656,0.9999779944100234,0.9998046872434314,0.9999712038159242,0.9999683492985162,0.999970568204892,0.9999356967051477,0.9999834869909686,0.9999606995240136,0.9999689767358303,0.9999731913939115,0.9999699144024731,0.9994217473082769,0.9999290042777248,0.9999260970673,0.9995588553449507,0.9999545176586421,0.9996860841518248,0.9999784147697987,0.9998967760932389,0.9999564286896623,0.9999620864822287,0.9999684951611402,0.9999829386461029,0.9999466200479512,0.9999754224562776,0.9999929306945886,0.9999058504523683,0.9999879252740712,0.9999585752507721,0.999960256134839,0.9998826761649838,0.9999015813942759,0.9999168611572353,0.99990037810811,0.9999672152765464,0.998939508210731,0.9999687996519406,0.9997103221755256,0.999774241743755,0.999974881262853,0.9994242680843636,0.9999799971624882,0.999461354172559,0.9999591344609774,0.9999080436314827,0.9998949095331264,0.9999834270725099,0.9999378836733965,0.9999797323124662,0.9999601210258808,0.999972915732546,0.9999825831450779,0.9998686233857441,0.9998864693805536,0.9999812164030304
S011_006,0.9999513878605186,1.0,0.9999115354886537,0.9999255150191605,0.9998494120284406,0.9999731481780313,0.999668474719938,0.9999482569682518,0.9999488110549662,0.9999145435445734,0.9999292815844852,0.9999123766224064,0.9999191269357356,0.9999376574436271,0.9999312321230881,0.9999896949138695,0.9993327357160114,0.999920505199541,0.9998313966835863,0.9993760463893876,0.9999274487451686,0.9997345583607677,0.999928895353028,0.9997715394266402,0.9999303650500635,0.9998848209124421,0.9999167195650144,0.9999525484182137,0.9998722815157806,0.9999430840711061,0.9999515335793295,0.9999146120710161,0.999956556220231,0.9999287358976255,0.9999269736836802,0.9998152449262073,0.9998433580301256,0.9998626489064554,0.9997665390695047,0.9999219633203699,0.9991958033420466,0.9999544028224436,0.9995818648704161,0.9996588776067673,0.9999048813931729,0.9993110095860077,0.9999383789295054,0.9995662282164457,0.9999279030032513,0.9999349631168551,0.9997563440086822,0.99992139740278,0.9998845017503635,0.9999565919767576,0.9998971200872506,0.9999368648294191,0.9999206729698235,0.9998783090120368,0.9999350919709555,0.9999177180988875
S014_006,0.9998824307695998,0.9999115354886537,1.0,0.9997889431909976,0.9997792038985837,0.9999006622169108,0.9994972607866228,0.9998249319111868,0.9998363505400306,0.9997975303119865,0.999791886558755,0.9998277033861585,0.9998450268966316,0.999790667172128,0.9998094073239021,0.9999150951915257,0.9990693178537389,0.9997598780805136,0.9996966601273376,0.9994210503609385,0.9997403422814671,0.999931791695655,0.9998247368149715,0.9997320292157954,0.9997566076133666,0.9997425600827069,0.9998304061437208,0.9998601783460422,0.9997565238508345,0.9998422574516523,0.9998631638438155,0.9997834202182616,0.9998954176969828,0.9998095602212309,0.9997548204269207,0.9996595697533984,0.9996416306638608,0.9997144599322948,0.9997541371149059,0.9997833698298084,0.9992210997690062,0.999888640028266,0.9992895058748343,0.9994718509973481,0.9998009225161988,0.9989867715530576,0.9998850369024674,0.999475409085762,0.9998437568543778,0.9998549423176658,0.9996219842898945,0.9998714742014713,0.9997844417618839,0.9998543231823541,0.9997804583627365,0.9998560460717671,0.9998023627248704,0.9998461486688226,0.9997726661426054,0.9998527215451316
S022_006,0.9999721446114456,0.9999255150191605,0.9997889431909976,1.0,0.9999348698521972,0.9999661742326692,0.9998549005900621,0.999983524609017,0.9999835571380801,0.9999831561514414,0.9999569190560228,0.9999782142445728,0.9999776208530186,0.9999728318857932,0.9999944253914206,0.9999456808705038,0.9994613830793301,0.999940246139022,0.9999645751316251,0.9995400404815575,0.9999795795388209,0.9995246299745644,0.9999886481368863,0.9999175745763387,0.9999816376803486,0.9999919982313112,0.9999743501511571,0.9999816338877483,0.9999791660242472,0.9999797786342522,0.9999817663723464,0.9999273590004837,0.9999652806113153,0.9999664585901179,0.9999886892750717,0.999896555396963,0.9999120408135269,0.9999202715761069,0.9999088370253744,0.9999804655919936,0.9987914073852653,0.9999512512725103,0.9998014730299215,0.9998294823548911,0.9999859667114994,0.9995036226179738,0.9999475220569843,0.9993997081072816,0.9999763129297404,0.9998874608136636,0.9999330705485885,0.9999686108141983,0.99996594186897,0.9999747258340242,0.99998422814392,0.9999804860677486,0.9999912506463846,0.9998082319588276,0.9999075349334778,0.999947600330939
S026_006,0.999951898121656,0.9998494120284406,0.9997792038985837,0.9999348698521972,1.0,0.9999317687468164,0.9997515070221887,0.9999547433654241,0.9999196389115889,0.9999477214873022,0.9999276708895106,0.9999650320360731,0.9999147904813728,0.9999498564470932,0.999954034002518,0.9998828470863446,0.9995004837726971,0.9999388475555058,0.9998821341853085,0.9994296566704853,0.9999252009566395,0.9995383350021766,0.9999610283945316,0.9999162085361676,0.9999237898303365,0.9999466106744014,0.9999343942879794,0.9999551848217733,0.9999584095545956,0.9999637109307173,0.9999655169270987,0.9998349451486941,0.9999289659226771,0.9999623192775248,0.999937403539253,0.9999570515037904,0.9999089807334225,0.9999371177529501,0.9999040930122086,0.9999503221460759,0.99892006142698,0.9999363500835625,0.999661105144308,0.9997746194891295,0.9999790121290093,0.999537850492762,0.9999294280346049,0.9995120725543741,0.9999254931901325,0.9999080711198638,0.9998874377466151,0.9999701249697349,0.9998853853203151,0.9999380426223009,0.999954712992552,0.9999548622504049,0.9999601784716692,0.9998731869068949,0.9998509434187951,0.9999489945114078
S032_006,0.9999779944100234,0.9999731481780313,0.9999006622169108,0.9999661742326692,0.9999317687468164,1.0,0.9997075069504031,0.9999823165315763,0.9999842760613362,0.9999494826420184,0.9999716753500305,0.9999612654829544,0.9999630861804605,0.9999715802329315,0.9999738727259361,0.9999791517917876,0.999468160577897,0.9999530058810058,0.9998813044616459,0.9994161300094813,0.9999515643566094,0.9997086947203919,0.9999696069663765,0.9998620420347889,0.9999626688392107,0.9999421313182204,0.9999464759554108,0.9999819133938839,0.9999382093871817,0.9999903234033605,0.9999840898577671,0.9998975452106771,0.9999788804701386,0.9999664778065732,0.9999579217600043,0.99989141351025,0.999897084031767,0.999930945843732,0.9998607915664843,0.9999597752882008,0.9991222142257463,0.9999754122753208,0.9996150669788841,0.9997702008610276,0.9999646141262432,0.9994608664426363,0.9999481364637937,0.9995932132764002,0.9999646114570951,0.9999571492408342,0.9998276275865409,0.9999686179586469,0.9999297201718076,0.9999703093214188,0.9999661924023924,0.9999790421774628,0.9999602997903626,0.9999182324695641,0.9999385215947775,0.999947675186992
S035_006,0.9998046872434314,0.999668474719938,0.9994972607866228,0.9998549005900621,0.9997515070221887,0.9997075069504031,1.0,0.9997771053287059,0.9997657142431566,0.9998726396158572,0.9996800387500338,0.9998376505194654,0.9998237247654317,0.9997496057041511,0.9998298210691038,0.9997244541128174,0.9990071640739618,0.9996748452314658,0.9999457643890578,0.9997935571672584,0.9998021916356576,0.999142172485754,0.9998417955978744,0.9998747493493899,0.9997760297690712,0.9998743368941156,0.9998780483688485,0.9998036880326989,0.999855275528285,0.9997455152161818,0.9998014281715171,0.9998405022099882,0.999780020643045,0.9997649342937844,0.999823244460756,0.9996545061264669,0.9996657156200008,0.9996311882025845,0.9998605180697872,0.9998121685748511,0.9979441875868705,0.9997407892102709,0.9999523781329295,0.9996259841682089,0.9998291675765932,0.9991224489157735,0.9998313796067935,0.9987167974041522,0.999820000341862,0.9995451528644943,0.9999657619938389,0.9998145525949879,0.9998446585269124,0.9998190006672663,0.9997853949489176,0.9998002659689117,0.9998678183339758,0.9993824097351283,0.999602838160334,0.9998054105466218
S037_006,0.9999712038159242,0.9999482569682518,0.9998249319111868,0.999983524609017,0.9999547433654241,0.9999823165315763,0.9997771053287059,1.0,0.9999785876546923,0.9999793408130049,0.999981101352878,0.9999730334163315,0.9999625544980774,0.9999848666501197,0.9999948079505455,0.9999601221269577,0.9994664735551128,0.9999808968161673,0.9999146092926583,0.9994176076518189,0.9999815290671746,0.999568649278033,0.9999913063487722,0.9998944188873988,0.9999796875501096,0.9999700404430227,0.9999698731434952,0.9999936106920256,0.9999753670478305,0.999994464926227,0.9999909024279847,0.9999337359965722,0.9999649723112933,0.9999941309050855,0.9999896932328661,0.9999401892078202,0.9999191814294599,0.9999382453483986,0.9998744000200374,0.999983746117174,0.9990258339083377,0.9999760672488202,0.9997140206460567,0.9997739957622767,0.9999877885795015,0.9995025028159449,0.9999554935336592,0.9995490399739162,0.9999763774034256,0.999954480996081,0.9998812191428422,0.9999761619964299,0.9999356804830828,0.9999858854518644,0.9999753263366874,0.999990497845267,0.9999846808128382,0.9998786939208482,0.9999495312471168,0.9999516741094983
S042_006,0.9999683492985162,0.9999488110549662,0.9998363505400306,0.9999835571380801,0.9999196389115889,0.9999842760613362,0.9997657142431566,0.9999785876546923,1.0,0.9999468469079024,0.9999552313331873,0.9999741126222012,0.9999576668579403,0.9999654728732281,0.9999818678131368,0.9999490059790452,0.9994740929201172,0.9999412690134178,0.999907924369888,0.9994621027664321,0.9999694525911881,0.9996062633668336,0.999968393393476,0.9998720588861213,0.9999693289452427,0.9999579423518281,0.9999489591412468,0.999969241483054,0.9999459858694996,0.9999854232900789,0.999972682718855,0.9998998306024226,0.9999545880780271,0.9999622646871109,0.999968242268093,0.9998944680612146,0.9999094770874839,0.9999213379080393,0.9998660773982809,0.999950466589431,0.9989448106751153,0.9999386096546541,0.9996918936082135,0.9997954422849175,0.9999690927289088,0.9995003936095042,0.9999327501366008,0.9994985201168478,0.9999542575631204,0.9999156980936893,0.9998633721098145,0.9999580669957217,0.9999271217741501,0.9999547584983679,0.9999713502417945,0.9999702255955122,0.999965310719939,0.9998537552864599,0.9999058654901779,0.9999522481865826
S044_006,0.999970568204892,0.9999145435445734,0.9997975303119865,0.9999831561514414,0.9999477214873022,0.9999494826420184,0.9998726396158572,0.9999793408130049,0.9999468469079024,1.0,0.9999455693082291,0.9999690421857581,0.9999757178599539,0.9999620730752868,0.9999873862650802,0.999948838211768,0.9993720363186515,0.999936624914985,0.9999669151588871,0.999568384664516,0.9999608282567269,0.9995276559680869,0.9999951903367267,0.9999401840616351,0.9999610114023917,0.9999848585454564,0.999989384331003,0.999989889097632,0.9999872881900667,0.9999657063724418,0.9999856542303807,0.9999504609069394,0.9999704731022413,0.9999703809807043,0.9999806855197664,0.9998940516146229,0.999878455705996,0.9998960447761903,0.9999256727766045,0.9999878179493736,0.9988050670626547,0.9999730062250848,0.9998067009188166,0.9997744283524174,0.9999854831089128,0.9994143051776035,0.9999712751244585,0.9993730220115277,0.9999858772886889,0.9998910566978384,0.9999462720014681,0.9999799685957624,0.9999664353658209,0.9999911711964219,0.9999651381908026,0.9999853427884687,0.9999955179370399,0.999800729882987,0.9999075152847998,0.9999449196722977
