,S010_002,S022_002,S026_002,S032_002,S034_002,S035_002,S037_002,S042_002,S044_002,S051_002,S057_002,S067_002,S070_002,S071_002,S073_002,S075_002,S077_002,S078_002,S079_002,S080_002,S082_002,S083_002,S087_002,S088_002,S093_002,S095_002,S097_002,S099_002,S100_002,S101_002,S102_002,S103_002,S107_002,S109_002,S110_002,S112_002,S113_002,S115_002,S118_002,S121_002,S122_002
S010_002,1.0,0.9999602678077391,0.9999642558750046,0.9999789861034143,0.9999857618348056,0.9999769100874851,0.9999279097124684,0.9999652270922936,0.9999602873313475,0.9998556862707951,0.9999377753602648,0.9999637847223309,0.9999833510535755,0.9999011742534527,0.9999940682681474,0.9999256176701208,0.9999762141256009,0.9999265805382014,0.9997081890284223,0.9999326844569194,0.9998545583679619,0.9998720173486362,0.9999700130005803,0.9999621219752334,0.9999522781685198,0.9999534100389073,0.9999313299384693,0.9999219575239731,0.9999679256198846,0.9999634111117173,0.9999086509768602,0.9999813186729027,0.9999914223633777,0.9998941192437834,0.9999243522800434,0.9999714155259496,0.9999383071953928,0.999974817486968,0.9999672296820923,0.9998781034487956,0.9998808425029463
S022_002,0.9999602678077391,1.0,0.9999599466069411,0.9999623776478396,0.9999844147153801,0.9999544603874279,0.9998912064875408,0.9999645443355932,0.9999354432193763,0.9998804593158743,0.9999536014079605,0.9999852124245202,0.9999634022467817,0.999861363518912,0.9999510583200907,0.9999560607588728,0.9999616669527582,0.9998961521785908,0.9998376793384385,0.9998662942185573,0.9998437036913916,0.9998832374779643,0.9999429341423098,0.9999189692714197,0.9999506579895395,0.9999603722263949,0.9999429461557162,0.9998921083198938,0.9998941587522499,0.9999109213211852,0.9999703463379613,0.9999743176842106,0.9999560039652382,0.9998981046890165,0.9999772869827651,0.9999509052439887,0.999961361048771,0.999943039314981,0.9999645492408978,0.9998562123423163,0.9998107553672779
S026_002,0.9999642558750046,0.9999599466069411,1.0,0.9999626433638579,0.9999596566249433,0.9999462793507656,0.9998775796514718,0.9999436151018316,0.999925472940709,0.9998932361703263,0.9998988674184717,0.9999326996564838,0.9999573567322868,0.999820236562054,0.999974849266769,0.9999176911819123,0.9999609449205566,0.9998861728436933,0.9997471986210654,0.9999033723122133,0.9999014411375029,0.999870961653842,0.9999683033060792,0.9999190939340823,0.9999152015443747,0.9998901805396987,0.9999765448141485,0.9998994415884082,0.9998889830613935,0.9999206244129136,0.9999055626276504,0.9999628493839898,0.9999797661951907,0.9998721732680144,0.9999370722550153,0.9999617420050995,0.9999303716789226,0.9999112967860865,0.9999418458052983,0.9998470387509898,0.9998890654208463
S032_002,0.9999789861034143,0.9999623776478396,0.9999626433638579,1.0,0.9999762177560493,0.9999966915815932,0.9999587765046954,0.9999676689186803,0.9999925004125413,0.9999048391788059,0.9999288779853204,0.9999656813698545,0.9999456781457149,0.9999346348956283,0.9999879697515789,0.999917233749636,0.9999975939203021,0.9999136527185745,0.9997757082377859,0.9999597095225814,0.9998680786086074,0.9999114626145748,0.9999772371573814,0.9999855934940166,0.999956784005901,0.9999414183912603,0.999945049463303,0.9999604451634495,0.9999509588174983,0.9999845083360206,0.9999144715221482,0.9999975136095506,0.9999685176969361,0.9999500217864441,0.9999351919195177,0.999975619238948,0.9999744956462739,0.9999690889414803,0.9999895512890672,0.9999463948037514,0.9999177780575429
S034_002,0.9999857618348056,0.9999844147153801,0.9999596566249433,0.9999762177560493,1.0,0.9999742416190935,0.999932638924505,0.9999875507824028,0.9999590730124045,0.9998598909732073,0.9999785997179869,0.9999796970192376,0.9999758507376505,0.9998853548417463,0.9999777440239804,0.9999724559757619,0.9999770740007209,0.9999372402319785,0.999806225471192,0.9999127571501448,0.9998579511302191,0.9998973844190743,0.9999670749810569,0.9999587703614192,0.9999757980005032,0.9999788055977518,0.9999324239787393,0.999897490250159,0.9999487001935192,0.999951256458683,0.9999452972641759,0.9999864590810732,0.999982360572024,0.9999090832447486,0.9999597445090908,0.9999623414408846,0.9999674908581682,0.9999675556230295,0.9999766901766495,0.999870898189652,0.9998437184954008
S035_002,0.9999769100874851,0.9999544603874279,0.9999462793507656,0.9999966915815932,0.9999742416190935,1.0,0.9999575522593596,0.9999724727427929,0.9999966946058946,0.999906745081681,0.9999334845239372,0.9999580039958598,0.9999379278554201,0.9999365151628038,0.9999834875704577,0.9999143653386828,0.9999977729527622,0.9999140640285369,0.9997784158847636,0.9999704882951475,0.9998705829922613,0.9999230836799371,0.9999782493753868,0.9999880668459552,0.9999574191126305,0.9999443385666162,0.9999161295876168,0.9999670534527068,0.9999532706818155,0.9999839138965172,0.9999135350631086,0.9999950307353603,0.9999637992189694,0.9999572386709729,0.9999147402761355,0.9999688534641157,0.9999790807211538,0.999978712448778,0.9999824973356948,0.9999567607046016,0.9999145602135917
S037_002,0.9999279097124684,0.9998912064875408,0.9998775796514718,0.9999587765046954,0.999932638924505,0.9999575522593596,1.0,0.9999181376676652,0.9999701729997477,0.9997614648948284,0.9999012238429797,0.9999304825999209,0.9998644462244884,0.9999604378032124,0.999935407786987,0.999891097200915,0.999955385249178,0.9998579792156554,0.9997538330627961,0.9999200146186833,0.9997277577721512,0.9998185413402619,0.9999046489740439,0.9999822306149202,0.9999186936946488,0.9999137058655145,0.9998776993606663,0.9998789054487616,0.9999443186896653,0.9999827110970836,0.9998558848941586,0.9999521570995878,0.9999029584304708,0.9999498647872057,0.9998879909086387,0.9998932312823706,0.9999284443746546,0.9999106673441903,0.9999674376407732,0.9999244929169869,0.9998984700220462
S042_002,0.9999652270922936,0.9999645443355932,0.9999436151018316,0.9999676689186803,0.9999875507824028,0.9999724727427929,0.9999181376676652,1.0,0.9999600760363456,0.9998929900225697,0.9999843998673134,0.9999450200714696,0.9999496753329844,0.9998504248735868,0.9999657733559962,0.999971164550906,0.9999748172328863,0.9999521279741981,0.9998283297337491,0.9999369671480396,0.9999070430542629,0.9999482899813421,0.9999809330813674,0.9999592291661121,0.9999823333719512,0.9999650783102697,0.9999017802540897,0.9999028821559384,0.9999329881706133,0.9999439471835845,0.9999222752214434,0.9999801516172414,0.9999723053270647,0.9999103260449946,0.9999303744365813,0.9999581591075265,0.9999833381999412,0.9999649346927411,0.999961002164629,0.9998819615316457,0.9998364666702227
S044_002,0.9999602873313475,0.9999354432193763,0.999925472940709,0.9999925004125413,0.9999590730124045,0.9999966946058946,0.9999701729997477,0.9999600760363456,1.0,0.99989309587516,0.9999199819997971,0.9999465325941073,0.9999104279597677,0.9999500757748164,0.9999709960896274,0.9998983422444697,0.999993172127138,0.9998997549354236,0.9997776841412204,0.9999723188329049,0.9998474166509548,0.9999155886652313,0.9999653702869269,0.9999927578515097,0.999948582701491,0.999932062206838,0.9999015433913001,0.9999646791406639,0.999948677115633,0.9999887532325129,0.9998952646158168,0.9999882051628882,0.9999431017369872,0.9999678314001594,0.9999004943225867,0.999954301371902,0.9999757400855879,0.9999672050682256,0.9999809390504553,0.9999713071185147,0.9999201348613568
S051_002,0.9998556862707951,0.9998804593158743,0.9998932361703263,0.9999048391788059,0.9998598909732073,0.999906745081681,0.9997614648948284,0.9998929900225697,0.99989309587516,1.0,0.9998138245857712,0.9998252773610519,0.9998432313102216,0.9997423992219757,0.9998838461824421,0.9997890914740406,0.9999103104778408,0.9998406305587566,0.9997176554309403,0.9999008459346685,0.9999473740855133,0.999957638049199,0.9999336403503808,0.9998552581053001,0.9998651689814182,0.9998072754441256,0.9998481130251287,0.9999452051515415,0.9997831227285419,0.9998420019346644,0.9998163152608215,0.9999072731776608,0.9998702577726827,0.999837942584655,0.9998174903422035,0.9999256087755419,0.999922071122878,0.9998894629918894,0.9998650888282087,0.9998823805374257,0.9998009302548743
