,S005_003,S010_003,S011_003,S014_003,S022_003,S026_003,S034_003,S035_003,S037_003,S042_003,S044_003,S045_003,S046_003,S050_003,S051_003,S052_003,S053_003,S054_003,S056_003,S057_003,S058_003,S059_003,S060_003,S061_003,S062_003,S067_003,S068_003,S069_003,S070_003,S071_003,S072_003,S073_003,S074_003,S075_003,S076_003,S077_003,S078_003,S079_003,S081_003,S082_003,S085_003,S087_003,S088_003,S090_003,S095_003,S096_003,S097_003,S098_003,S099_003,S101_003,S102_003,S105_003,S107_003,S108_003,S109_003,S111_003,S118_003,S124_003,S125_003
S005_003,1.0,0.9997133028535842,0.9998898445731018,0.9998824487860282,0.9998689499712814,0.9999363227839064,0.9998918611446707,0.9997464702342995,0.9998904667444191,0.99980618163766,0.9998999288999265,0.9998879754212556,0.9998867735213125,0.9998845951214551,0.999818391691377,0.9998590939608589,0.9998704753201753,0.9998248637778744,0.9999225831350699,0.999692069569645,0.9998984367943402,0.9998981026285436,0.999873716386485,0.9998700537984095,0.999869657958536,0.9999457816152211,0.9999408369283932,0.9999290398337684,0.9997942458415477,0.9999609371920235,0.9998899960814237,0.9998950545926671,0.9998812071538096,0.999883084918813,0.9998627871301794,0.9999141337017075,0.9998905205245898,0.9995582577787718,0.9999537295482472,0.9998666598926974,0.9998064529424278,0.9999079543162899,0.9998164314554833,0.9999216415639081,0.9999278879904394,0.9998799112524918,0.9998208537622838,0.9999103298248454,0.9999019284647369,0.9998373649525198,0.9998824828051684,0.9999017254719081,0.9999468295678998,0.9998696200320139,0.9998641964627522,0.999917617742819,0.9998092069915344,0.9998710345407191,0.9998755136906091
S010_003,0.9997133028535842,1.0,0.9997121264938792,0.9998572277860367,0.9999173930312985,0.999825449274104,0.999945273369242,0.9999340446549381,0.9999094949985171,0.999762867328622,0.9998886482426298,0.9999549587566843,0.9998689370541168,0.9999325552606076,0.9999328209479099,0.9998453627206562,0.9999392147063629,0.9999630675636726,0.9998681844485046,0.9994794770971334,0.9998538953922889,0.9999019126239657,0.9998456859844924,0.9998872747383115,0.9999061445744518,0.9998487279054223,0.9998802186324656,0.999801354547296,0.999933409710273,0.9998454510628231,0.9999323713000122,0.9998590374779731,0.999822042231979,0.9999092879808136,0.9999340785660843,0.9998747487403788,0.9998650715139525,0.9998610750707135,0.9997278696271864,0.999908474540453,0.9999427712449136,0.9999211180171028,0.9999393613974235,0.9997810583159049,0.9997768573655802,0.9998506507273582,0.9998472465873384,0.9998775241834194,0.9998851944785672,0.9999089875133677,0.9998389574040811,0.9998778188090216,0.9998158368727388,0.9999594831787649,0.9999401171140633,0.9998281739787667,0.9997674640658978,0.9999290652713659,0.9999153326100878
S011_003,0.9998898445731018,0.9997121264938792,1.0,0.9999241796450618,0.9998868334270802,0.9999119894378121,0.9998476365839696,0.9997446371282969,0.9999119288984832,0.9997996899338863,0.9998925746933275,0.9998653259186705,0.9998824720926291,0.999881550080715,0.9999031878835195,0.999836562687539,0.9998279382456018,0.9998051720577404,0.9999024568558096,0.9998904477345437,0.9998035219693402,0.9998849881984798,0.9997910899517424,0.9999219693380927,0.9998804130274987,0.9999248988910624,0.9999421473756647,0.9998040405846459,0.9997765788139977,0.999915865836741,0.9998838653935882,0.9998299083289033,0.9999045581725553,0.9999047822214536,0.9998396515552923,0.9999140711295621,0.9998943042015126,0.9996458078868383,0.9998070571843154,0.9999038309518128,0.9998419780587235,0.9998799962738406,0.9998385530134439,0.9999447192022312,0.9999643095693606,0.9998968739474076,0.9999271549250306,0.9999500776774083,0.9997626024952733,0.9998626925847635,0.999972081901533,0.9998889909698023,0.9998920803456554,0.9998294834368466,0.9998235929145018,0.999923602158044,0.9998775146975385,0.9998588980003114,0.9999044492056977
S014_003,0.9998824487860282,0.9998572277860367,0.9999241796450618,1.0,0.9999752585795794,0.9999105575759679,0.9999314763324361,0.999867426522268,0.9999733892522029,0.9998842039068828,0.9999784571453091,0.9999454168721107,0.9999446152632772,0.9999431095561419,0.9999548797121526,0.9999592072026885,0.9999414119870437,0.9999407425433599,0.9999709066347936,0.9997706631071175,0.9999217675562814,0.9999826920407564,0.9998765127202233,0.9999740019425049,0.9999262904922509,0.9999658512708073,0.9999583707852845,0.9998693134054398,0.9998470221414125,0.9999320108967866,0.9999584258501519,0.9999185301330953,0.9999824375615218,0.9999591303090414,0.9999246526117475,0.9999404950459557,0.9999298118008579,0.9997134974012539,0.9998408756215664,0.9999522959465756,0.9998845327392805,0.9999748678411108,0.999970414416935,0.9998917025890819,0.9999812962976472,0.9999834584346069,0.9999328214779579,0.9999785071407036,0.9998950093730119,0.9999271095734031,0.9999589814386604,0.9999589564358161,0.9999357050863704,0.9999457894858791,0.9999567489780399,0.9999390846701366,0.9999559973321216,0.9999665153359442,0.9999831516275991
S022_003,0.9998689499712814,0.9999173930312985,0.9998868334270802,0.9999752585795794,1.0,0.9999438719090928,0.9999513296066329,0.999953098249108,0.9999940961885994,0.9999369212694906,0.9999863601778636,0.999966858769813,0.9999769606113654,0.9999869893434217,0.999975243666919,0.9999780219941597,0.9999418833059626,0.9999785458570009,0.9999877631559814,0.999765972452257,0.9999334231313919,0.9999938923344075,0.9999469588285017,0.9999878667793917,0.9999809829096297,0.9999623480719113,0.9999556005732821,0.9999169638347892,0.9999310662972825,0.9999499548657628,0.999977398863161,0.999932024582851,0.999976357066042,0.9999860530530891,0.9999783588906818,0.9999439301314405,0.999964907340993,0.9998247099531954,0.9998613142331518,0.999991030230814,0.9999050214112704,0.9999872049831222,0.9999864554406561,0.9999042017282154,0.9999512935448414,0.9999801426471883,0.9999646212162354,0.9999755966431527,0.9999292662282236,0.9999640905809396,0.999951209137252,0.999984456885736,0.999954731023047,0.9999799715727966,0.9999877485095462,0.999970150145491,0.999951309102121,0.9999970432100368,0.9999895601285256
S026_003,0.9999363227839064,0.999825449274104,0.9999119894378121,0.9999105575759679,0.9999438719090928,1.0,0.9999343741284131,0.9998753685148487,0.9999510029891003,0.9999003440426263,0.9999337834639084,0.99993730779004,0.9999385851392562,0.9999704335308174,0.9999206443645325,0.9999014441439283,0.999882304439801,0.9999102981790243,0.9999669798785834,0.9997921346993571,0.9999089731331116,0.9999464928249435,0.9999581578011862,0.9999353928675209,0.9999727251715025,0.9999338069628075,0.9999525827276017,0.9999222736251493,0.9998925267128799,0.9999656413767432,0.9999343598241781,0.9999127765763032,0.9999176420270326,0.9999433516613322,0.9999282911572496,0.9999447878455978,0.9999869614263894,0.9997290945592422,0.9998840237013196,0.9999620798248261,0.9998912228462246,0.999934431885693,0.9998871827274998,0.9999829977641486,0.9999408930977054,0.9999366967395666,0.9999399657578241,0.9999594998762946,0.9999161398044348,0.9999596480405107,0.9999528602362436,0.9999377538186941,0.9999565647474937,0.9999193673496727,0.9999199984062355,0.9999857471424821,0.9998647360788496,0.9999413289946129,0.9999388229188229
S034_003,0.9998918611446707,0.999945273369242,0.9998476365839696,0.9999314763324361,0.9999513296066329,0.9999343741284131,1.0,0.9998953138212766,0.9999506436247191,0.9998084992840156,0.9999420450804102,0.9999970889067817,0.9999222621885919,0.9999702998950035,0.9999441915388158,0.9998927701622058,0.9999856163757864,0.999967328214381,0.999943522983869,0.999596082873147,0.9999293919774176,0.9999617275099194,0.9999036156776269,0.9999253443833007,0.9999424514013623,0.9999352523412228,0.9999691331688496,0.9998823301166807,0.9999066622476327,0.9999384557558424,0.9999673682922808,0.9999253504490274,0.9998936209628657,0.999949595355902,0.9999437263125379,0.9999498261679677,0.9999411920802395,0.9997456996463496,0.9998487605217402,0.999941114341713,0.9999722307766584,0.9999701157816406,0.9999482962053229,0.9999096359182317,0.9999017770014341,0.9999251796732475,0.9998827651373497,0.999959928394964,0.9999622703406376,0.9999544467400714,0.9999237254037215,0.9999290398336282,0.9999207978249673,0.9999787681146783,0.999965389607171,0.9999145617404648,0.9998207176567476,0.999960118963421,0.9999598594443522
S035_003,0.9997464702342995,0.9999340446549381,0.9997446371282969,0.999867426522268,0.999953098249108,0.9998753685148487,0.9998953138212766,1.0,0.9999375924819869,0.9999030770944446,0.9999102964971038,0.9999159962934014,0.9999510976229746,0.9999559928136442,0.9999201633402642,0.9999262268006279,0.9998801432761076,0.9999454888192645,0.9999151388383068,0.9996497863077826,0.9998411380541197,0.9999270382020191,0.9999304670365625,0.9999226833868545,0.9999610184148836,0.9998827674090359,0.9998730036766147,0.9998843796919411,0.9999590999102348,0.9998771358985695,0.9999164517282157,0.9998401369037464,0.9998817756118527,0.9999530660161057,0.9999750242133917,0.9998442432320795,0.9998985883321866,0.9999026310107897,0.9997960180847144,0.9999541051325893,0.9998533189998323,0.9999267401399632,0.9999460726576417,0.9998004442418872,0.9998204330482576,0.9998804890213682,0.9999158479565374,0.9998910374914936,0.9998916249439844,0.9999083301638397,0.9998435727589788,0.9999458668900281,0.9998990968292379,0.9999543467096359,0.9999538536169268,0.9999091754902975,0.9998661152125053,0.9999554446916027,0.999911176098149
S037_003,0.9998904667444191,0.9999094949985171,0.9999119288984832,0.9999733892522029,0.9999940961885994,0.9999510029891003,0.9999506436247191,0.9999375924819869,1.0,0.9999313748984405,0.9999923325764388,0.9999684387198787,0.99997002037541,0.9999863637876222,0.9999816929949821,0.999966988588086,0.9999377668999901,0.9999703512769571,0.99998906848868,0.9997911296422383,0.9999410650937127,0.9999857509061434,0.9999408262767403,0.999996496502603,0.9999800536011864,0.999975583523492,0.9999686031720368,0.9999311309703017,0.9999446223976506,0.9999717026924193,0.9999895291590017,0.999950158371878,0.9999769936109473,0.9999846431560523,0.9999811422395753,0.99996815648096,0.9999655090867047,0.9998423906942541,0.9998885494616827,0.9999928821280664,0.9999100343340807,0.999989065471468,0.9999718159394283,0.9999239127542247,0.9999577789086104,0.9999751257235588,0.999970798560292,0.9999765527153992,0.9999142470337541,0.9999568669408497,0.9999652579890007,0.9999846265050659,0.9999527565247774,0.9999755664177084,0.9999768687093165,0.9999752512179253,0.9999487604553344,0.9999896698572562,0.9999917365773252
S042_003,0.99980618163766,0.999762867328622,0.9997996899338863,0.9998842039068828,0.9999369212694906,0.9999003440426263,0.9998084992840156,0.9999030770944446,0.9999313748984405,1.0,0.9999322919881309,0.999833838207813,0.9999227527284877,0.9999142327896932,0.9998743974678288,0.9999612570575728,0.9997760245824021,0.9998894838791256,0.9999504910433918,0.9998168840884462,0.999886706701918,0.9999223518904161,0.9999562541453623,0.9999337738360018,0.9999342138634145,0.999886651899704,0.9998344510482398,0.9999177273238892,0.9998752409336357,0.9998961317479629,0.9998894250651355,0.9998836273516523,0.9999499000819306,0.9999022783831408,0.9999178158700768,0.9998574972577843,0.9999218562557991,0.9997812923234929,0.9998417156698499,0.9999388783822859,0.9997139845764131,0.9999013790681657,0.9998848174742077,0.9998366107170613,0.9998908122506174,0.9999337353638217,0.9999275544654684,0.9998710308342458,0.9998364442805965,0.9998860592331752,0.9998618753366578,0.9999358789233013,0.9999086619504208,0.9998774773925571,0.9999092246911834,0.9999521593167229,0.9999523839547658,0.9999337610177805,0.9999065066769255
