,S011_004,S032_004,S046_004,S050_004,S054_004,S059_004,S062_004,S065_004,S068_004,S074_004,S084_004,S091_004,S095_004,S102_004,S107_004,S108_004,S110_004,S111_004,S113_004,S114_004,S115_004,S116_004,S117_004,S118_004,S119_004,S121_004,S124_004,S125_004
S011_004,1.0,0.9999275393554095,0.9998475581669316,0.9999173681471496,0.9999177734899625,0.9999321216073944,0.9998189189467476,0.9998610661629735,0.9999186099266324,0.9998962573583965,0.9998407944193327,0.9999198773599143,0.9999458160584348,0.9998816640604198,0.9997868314396896,0.9999476152729824,0.9998200289675835,0.9999072520552953,0.9999704883780607,0.9998849222223553,0.999819204459439,0.9998903679094681,0.9998928359906243,0.999887102235066,0.999875309851381,0.9999522008190264,0.9999709888446948,0.9999539706208401
S032_004,0.9999275393554095,1.0,0.9999622637420668,0.9999891450599582,0.9999624615790282,0.9999414513526692,0.9999200562398892,0.999969994938455,0.9999525198204597,0.9999909195380807,0.9999484826764937,0.999971626223688,0.9999628682639684,0.9999613833327662,0.9999485916945601,0.9999564320080944,0.9998989201360954,0.9999399683792954,0.9999645069876728,0.9999375647450552,0.9999333690799672,0.9999830386219419,0.9999414698679695,0.9999588058375666,0.9999694917704703,0.9999711655825082,0.9999765945506256,0.9999501467844025
S046_004,0.9998475581669316,0.9999622637420668,1.0,0.9999596022151926,0.9999321732814469,0.9999121634817553,0.9999475615936557,0.9999859255428745,0.9999355470166194,0.9999743001944369,0.9999101843997938,0.9999456990403951,0.9999052254960905,0.9999422461838274,0.9999225528098016,0.9999139780860987,0.9999143187199304,0.9998825085579225,0.9999104321384991,0.9999052232025557,0.9999636349339409,0.9999801256116895,0.9998730733387275,0.9999660430547749,0.9999247690684633,0.9999465516692304,0.9999394566114391,0.9999044283485287
S050_004,0.9999173681471496,0.9999891450599582,0.9999596022151926,1.0,0.999960838016359,0.9999527078268263,0.9999389292293278,0.9999529639230469,0.9999748262704679,0.9999873780669237,0.9999408916004936,0.9999684247067836,0.9999645058727004,0.9999636235452736,0.9999408443696355,0.9999329790387586,0.9998907067883539,0.9999272849136578,0.9999706058727216,0.9999422966784866,0.9998946174902947,0.9999923939673727,0.999913823608253,0.9999733508691003,0.9999698003306167,0.9999559301172204,0.9999749167439057,0.9999590384978366
S054_004,0.9999177734899625,0.9999624615790282,0.9999321732814469,0.999960838016359,1.0,0.9999100426189571,0.9998574811922353,0.9999134162272414,0.9999422632594768,0.9999475456630741,0.9998405003569492,0.9999032833110446,0.9999325536156036,0.9999376703898545,0.9998882712063616,0.9999241352805033,0.9999431309339359,0.9999421213050077,0.9999672070504839,0.9998968497752168,0.9998932890153048,0.9999645049822733,0.999858047421596,0.9999452358070651,0.9999357720820523,0.999958284444706,0.9999736391163309,0.99990889652626
S059_004,0.9999321216073944,0.9999414513526692,0.9999121634817553,0.9999527078268263,0.9999100426189571,1.0,0.9998637762404479,0.9999317465963803,0.9999149628867842,0.9999256774861138,0.9999336112019078,0.999926877443379,0.9999842396161317,0.9999462567833158,0.9998892253598095,0.999956140084017,0.9998449769026326,0.9998852155116581,0.9999752313607465,0.9999778357114413,0.9998718196119345,0.9999525581301498,0.9999375441037915,0.9999524555423367,0.9998950149735432,0.9999666058839972,0.9999610874377494,0.9999927407182565
S062_004,0.9998189189467476,0.9999200562398892,0.9999475615936557,0.9999389292293278,0.9998574811922353,0.9998637762404479,1.0,0.9999207562116977,0.999935649527801,0.9999339116755658,0.9998837001604696,0.9999324404554139,0.9998398299213974,0.9998489963835665,0.9998731757049851,0.9998154288087832,0.9998485255128218,0.9997766541099873,0.9998590955647686,0.9998152403641322,0.999860574239915,0.9999335167669259,0.99978708612546,0.9999000386224601,0.9998681282287052,0.9998591705429143,0.9998862399925148,0.9998857886173186
S065_004,0.9998610661629735,0.999969994938455,0.9999859255428745,0.9999529639230469,0.9999134162272414,0.9999317465963803,0.9999207562116977,1.0,0.9999026256437636,0.9999701538144626,0.9999521932888054,0.9999481115642131,0.9999275248035646,0.9999459639615184,0.9999465599197297,0.9999423171844385,0.999894809263566,0.9998811289610575,0.9999141758118306,0.9999320630921634,0.999980945153932,0.9999705969776803,0.9999291108785141,0.9999513334264508,0.9999194032974094,0.9999598061696668,0.9999364546913319,0.9999250496699443
S068_004,0.9999186099266324,0.9999525198204597,0.9999355470166194,0.9999748262704679,0.9999422632594768,0.9999149628867842,0.999935649527801,0.9999026256437636,1.0,0.9999659612507252,0.9998649324972985,0.9999667738157639,0.9999276783192285,0.9999354360254102,0.9998430209632987,0.9999031945234499,0.9998419330336491,0.9999243262952222,0.9999514551466268,0.9998918158546066,0.9998361337868514,0.999961101387327,0.999845955388021,0.9999652604516237,0.9999524815018014,0.9999295447582821,0.9999691607893411,0.9999253197082254
S074_004,0.9998962573583965,0.9999909195380807,0.9999743001944369,0.9999873780669237,0.9999475456630741,0.9999256774861138,0.9999339116755658,0.9999701538144626,0.9999659612507252,1.0,0.9999420822332452,0.9999831687555252,0.9999490781092137,0.9999721666739966,0.9999337306920484,0.9999436365307144,0.9998681478714287,0.999944201610864,0.9999448554466454,0.999934100292374,0.9999259348594772,0.9999854656017845,0.9999252712116649,0.9999751941812819,0.9999831477624976,0.999957888811521,0.9999665681885197,0.9999284531796192
