,S010_002,S022_002,S026_002,S032_002,S034_002,S035_002,S037_002,S042_002,S044_002,S051_002,S057_002,S067_002,S070_002,S071_002,S073_002,S075_002,S077_002,S078_002,S079_002,S080_002,S082_002,S083_002,S087_002,S088_002,S093_002,S095_002,S097_002,S099_002,S100_002,S101_002,S102_002,S103_002,S107_002,S109_002,S110_002,S112_002,S113_002,S115_002,S118_002,S121_002,S122_002
S010_002,1.0,0.9998871278073946,0.9997178380288105,0.9998553904819502,0.9994476313924944,0.9997651925941609,0.9996146304719816,0.9996317399669482,0.9996744303703785,0.9997548193944518,0.999438017977414,0.9998922119490886,0.9995576926983433,0.9995934497276101,0.9996075671751983,0.9982372056771537,0.9999189849732281,0.9991585324912428,0.9996947478990474,0.9991060970427859,0.9994028379979126,0.9993126541131361,0.9998686804481317,0.9995900966222822,0.999636974677089,0.9998318214624882,0.9995131112258943,0.9997162200791844,0.9996709906447917,0.9995047301718202,0.9996367369110668,0.9997483198597081,0.9995682755456536,0.9989962105236938,0.9997326281701352,0.9994236592195305,0.9995672824594325,0.9989787135868202,0.998784025585714,0.9995907228728542,0.9998614026665995
S022_002,0.9998871278073946,1.0,0.9996361863915934,0.9999177323145186,0.9997163140274333,0.999816498089756,0.9996624123991144,0.9996805946589229,0.9998818572988626,0.9997861048127249,0.999685071146075,0.9999466704890625,0.9997753556402585,0.9997124925109726,0.9996908441671662,0.9986991059891078,0.999982342491422,0.9993406271527139,0.9998634829014955,0.9987704622056895,0.9995921270872705,0.9995179590353344,0.9998555377546773,0.9997499816716837,0.9997101437991567,0.999899547704634,0.9994666333433857,0.9996764955881097,0.9997518533113784,0.9997092347213682,0.9998716781313708,0.9997230139872624,0.999662392281231,0.9988266997113204,0.9998992379457443,0.9991562545657963,0.9997102236692628,0.9993657554430716,0.9992145913132928,0.9997024193174665,0.9999341341282942
S026_002,0.9997178380288105,0.9996361863915934,1.0,0.9996928051561988,0.9990742691188719,0.9995463971553235,0.999513978088113,0.9991172488435438,0.9992371268341992,0.9996170225499346,0.9990227967790107,0.9996020227949395,0.9992061275503591,0.9995086465961546,0.999197190951742,0.9975444810473131,0.9997231111902867,0.9987760187401898,0.9992570571654088,0.9987431334189094,0.9989926675993835,0.9988171459149842,0.9995952823650017,0.9994897959477383,0.9997321776157321,0.9996474785569522,0.9993169082457213,0.9992219067608338,0.9996559967256362,0.9992768368913107,0.9993316817934066,0.999469411607773,0.9992188624622226,0.9983882961061514,0.9994287299351023,0.9994135429348744,0.9994672104726475,0.998740233570892,0.9984678028363095,0.999476340016314,0.9995459576214305
S032_002,0.9998553904819502,0.9999177323145186,0.9996928051561988,1.0,0.9996913187823236,0.999937389285652,0.9997363303252961,0.9996513674523236,0.999785714161998,0.9996907073001438,0.9996910089278916,0.9999399276039377,0.9998647567908443,0.9998311733791814,0.9997861983555884,0.9985543144211114,0.9999336910123564,0.9994755147867611,0.9998175191831035,0.9987939944113188,0.9997094104453609,0.9996680970818544,0.9999436409462413,0.9997662790431309,0.9998339805461708,0.999978309575042,0.9996262202232322,0.9998151561448125,0.999860664881269,0.9997744945893188,0.9997607961699317,0.9998776206132831,0.9997828505680229,0.9986023037286577,0.9998482128556558,0.9995094058643892,0.99988086659261,0.9994636055565294,0.9992415035174438,0.999857344964916,0.9998859587508162
S034_002,0.9994476313924944,0.9997163140274333,0.9990742691188719,0.9996913187823236,1.0,0.9997293053313908,0.9994139624743936,0.9994894396354609,0.9997528243812352,0.9996429202335079,0.9998448167228303,0.9997669542129299,0.9997816541200284,0.9997335710661746,0.9996518531802584,0.9993801207975459,0.9997233523632596,0.9997348457942549,0.9998634248320175,0.9980083392021667,0.9996749136881091,0.999686863961075,0.9997350358242497,0.9997784613846326,0.9996410354328296,0.9997792215774419,0.9990300539314542,0.9995499650854797,0.9997140877937375,0.9997894026650631,0.9999402508184668,0.9996471593465014,0.9993880101820316,0.9979996305601189,0.999875037401434,0.9985747857502295,0.999676009196899,0.9998841157265912,0.9997101311298939,0.9995537935567822,0.9998117866778911
S035_002,0.9997651925941609,0.999816498089756,0.9995463971553235,0.999937389285652,0.9997293053313908,1.0,0.999850091404439,0.9997683426980984,0.9998065992165269,0.9996752399485994,0.9996991926545522,0.9999221194866478,0.999881068081985,0.9999463177474057,0.9998882185108419,0.9984593829800046,0.9998555885844127,0.9995765689788908,0.9998428289668652,0.9989963475398645,0.9997205688082597,0.9997335293298378,0.9999452618230495,0.9998466295631104,0.9997942233551275,0.9999787657277533,0.9993271718175794,0.999851676381358,0.9999348920257949,0.9998789567280019,0.9997231858212838,0.9999335255953602,0.999582551854863,0.9986913091495806,0.9998930112829327,0.9994478704837784,0.9999479494183272,0.9995330339500506,0.999459802438032,0.9999237465510169,0.9999040000075348
S037_002,0.9996146304719816,0.9996624123991144,0.999513978088113,0.9997363303252961,0.9994139624743936,0.999850091404439,1.0,0.9998384931890074,0.9997255604286213,0.9996512656984202,0.9992515414177358,0.9997120988843883,0.9996873791373287,0.9998406284391503,0.999630822644626,0.9978752039315256,0.9997174986687656,0.999012371404554,0.9997156325721047,0.9993831942613587,0.9992428678058565,0.9992925172550888,0.9997471409264048,0.9998472833952602,0.999506423216832,0.9997928714296844,0.998863383843036,0.9996572992055578,0.9998498305840713,0.9996648039763263,0.9994846703632254,0.9996298689944099,0.9991486108019199,0.9991645622940031,0.9997821001461877,0.9993618437702749,0.9998561701595835,0.9991553272553031,0.9994011759853152,0.9999208998727744,0.9997799201131704
S042_002,0.9996317399669482,0.9996805946589229,0.9991172488435438,0.9996513674523236,0.9994894396354609,0.9997683426980984,0.9998384931890074,1.0,0.9998595698676261,0.999578840058669,0.9993345003487276,0.999715460476704,0.9997373250373378,0.9996477245287331,0.9996674842047485,0.9982743375327042,0.9996842961649529,0.9990196148281228,0.9998507319340282,0.9993717340424288,0.9992975731374626,0.9994004962029626,0.999729457396984,0.9997117527092945,0.9992076274821543,0.9997084490688678,0.9988472388057861,0.999791087345969,0.9996207769920931,0.9995805207350679,0.99954053183545,0.9995703243815888,0.9992289470560839,0.9994284800003203,0.9998031673492118,0.9991169301115704,0.9996911514365215,0.9991149554275912,0.9994062669859735,0.9997714480082698,0.999810164288383
S044_002,0.9996744303703785,0.9998818572988626,0.9992371268341992,0.999785714161998,0.9997528243812352,0.9998065992165269,0.9997255604286213,0.9998595698676261,1.0,0.9996265476291623,0.9997137078876882,0.9998693673537883,0.9998588277251531,0.999732395513698,0.9997880831474881,0.9987035366816572,0.9998325837320299,0.9993578534479655,0.9999296089393029,0.9988885393517396,0.9996216155394075,0.999639336151247,0.9997497299442222,0.9997579649604049,0.9994664629981356,0.9998183235354913,0.9990621571134066,0.9996877049259506,0.9996888791638834,0.9997966292226947,0.9998229720001562,0.9996568681976818,0.9994782932130296,0.9990180060047638,0.999938332998402,0.998889399929944,0.9997341132330732,0.9994327069368171,0.9995281021427913,0.9997450446641823,0.9999034528136433
S051_002,0.9997548193944518,0.9997861048127249,0.9996170225499346,0.9996907073001438,0.9996429202335079,0.9996752399485994,0.9996512656984202,0.999578840058669,0.9996265476291623,1.0,0.999316509633535,0.999750622591038,0.9994828632291018,0.9996566040112876,0.9993494250330276,0.9987025742867564,0.9998708940812627,0.999096880050876,0.9997635006919006,0.9987405754532878,0.9990960509606355,0.9990481662102696,0.9997865783602442,0.9998636410792155,0.9996274231636301,0.9997550236825465,0.999021692300548,0.999495469574757,0.9997737688130035,0.9994760783349023,0.9997987080362262,0.9995080552743137,0.999119569293983,0.9987480133356371,0.9998135869562147,0.9989490863604046,0.9995698885048488,0.9992999045608087,0.9992593930355474,0.9995555757686011,0.9998665565578033
