,S011_004,S032_004,S046_004,S050_004,S054_004,S059_004,S062_004,S065_004,S068_004,S074_004,S084_004,S091_004,S095_004,S102_004,S107_004,S108_004,S110_004,S111_004,S113_004,S114_004,S115_004,S116_004,S117_004,S118_004,S119_004,S121_004,S124_004,S125_004
S011_004,1.0,0.9997871311186555,0.9997804333024948,0.9998348397668604,0.999697566035689,0.998688549613612,0.9996023325845458,0.9995278760746751,0.9996689010843551,0.9998592044535273,0.999050151533629,0.9994556248738946,0.9996499048869486,0.9996984390953663,0.999607878890975,0.9997982626982563,0.9999052069166169,0.9995793481661109,0.9998023655362002,0.9998082387808647,0.9996316334368075,0.9998587860595476,0.9996909685091996,0.9992672591247883,0.9998870137246211,0.999882578679506,0.9996912797806932,0.9997769093736252
S032_004,0.9997871311186555,1.0,0.999924794718801,0.9998718647022525,0.9994200734428446,0.9990363625225324,0.9996746309344043,0.9995292567155819,0.9998450847526629,0.9999416661185603,0.9993197514204623,0.9990417163558423,0.9998136265204802,0.9994890345786962,0.9998219978918561,0.999592839688342,0.9999537665365753,0.9997925897588449,0.9998421148227717,0.9999051963684642,0.9995302384957757,0.999870300495349,0.9997444084021148,0.9992540921342898,0.9998938699878536,0.9997342151994304,0.9997266034169267,0.9998010950565206
S046_004,0.9997804333024948,0.999924794718801,1.0,0.9997209396681818,0.9992832131466338,0.9990962949956751,0.9997455164515228,0.9997309461861742,0.9998017283839707,0.9999264593011684,0.9996131655819781,0.9990354184979732,0.9997108996300574,0.9996269970082678,0.9998812847640309,0.9996387298693876,0.9998692482481653,0.9997640060518969,0.9997642034964481,0.999870017440038,0.9995817178449822,0.9998804907070036,0.9997143921396999,0.999402810592954,0.9999074089580743,0.999876745656566,0.9998325162699364,0.9997674679005367
S050_004,0.9998348397668604,0.9998718647022525,0.9997209396681818,1.0,0.9996389526674946,0.9987737508475701,0.999478365013843,0.999403439157004,0.9996396788221672,0.9998622338414792,0.9989597189885409,0.9991360266894026,0.9998191292357468,0.9995706478896144,0.9996183175485942,0.9997103599045902,0.9999449123782258,0.9994542213690227,0.9999546087830969,0.9998668191797067,0.9996959540370086,0.9998778212739403,0.999708231769265,0.9991643945289693,0.9998407307537577,0.999648405756702,0.9996362509120461,0.9998488832737595
S054_004,0.999697566035689,0.9994200734428446,0.9992832131466338,0.9996389526674946,1.0,0.9974743406182672,0.998817807359988,0.9987689688117616,0.9989580537420185,0.9993402936445634,0.9981725965599225,0.9993610603219765,0.9990578249503096,0.9991124799637423,0.999041585354118,0.9993503545274294,0.999650022495664,0.9989691728583852,0.9995225859156539,0.9993014632620528,0.9994393258925007,0.9993650458566915,0.998971695661634,0.998346208619419,0.9993522671774321,0.9992857034640136,0.9989622551749676,0.9991851495372839
S059_004,0.998688549613612,0.9990363625225324,0.9990962949956751,0.9987737508475701,0.9974743406182672,1.0,0.999671857692966,0.9994493797239727,0.9995027942941176,0.9992347695982566,0.9994072350725155,0.9969244051985675,0.9990946679120264,0.9988312654897582,0.999328648508909,0.9990515686415786,0.998822663962567,0.9992304829838896,0.9989508152299637,0.9992470274468729,0.9984552211068135,0.9991582190703557,0.9995042442392345,0.999318712780441,0.9991924471448412,0.9989941075506994,0.9995214753102065,0.9993825730145333
S062_004,0.9996023325845458,0.9996746309344043,0.9997455164515228,0.999478365013843,0.998817807359988,0.999671857692966,1.0,0.9998334790421594,0.9998833171500771,0.9998122887858982,0.9996352826403391,0.9984370461838395,0.9995085551571561,0.999426849990252,0.9998246975361472,0.9996315969504491,0.9996121836764963,0.999786022972784,0.9995451894928465,0.9997343608181688,0.9991857531022396,0.9997135508381123,0.9998049851686346,0.9994803858422193,0.9997733201519543,0.99972366960042,0.9998675825630893,0.9997893311051488
S065_004,0.9995278760746751,0.9995292567155819,0.9997309461861742,0.999403439157004,0.9987689688117616,0.9994493797239727,0.9998334790421594,1.0,0.9995781900919476,0.9997383130993945,0.9998379415949127,0.9985088508706818,0.9993996382855489,0.999561574830208,0.9998412591556823,0.9996184075408058,0.9995208985899652,0.9993998367429008,0.9995395503714846,0.9996182267723314,0.9993849774739447,0.9997088168132969,0.9996093824618505,0.9994017391412767,0.9996899047816721,0.9997717043042159,0.9998694602798874,0.9997523216716493
S068_004,0.9996689010843551,0.9998450847526629,0.9998017283839707,0.9996396788221672,0.9989580537420185,0.9995027942941176,0.9998833171500771,0.9995781900919476,1.0,0.9998815697546195,0.9993593604387211,0.9986533335902171,0.9997561808516551,0.9994399886095502,0.9997456995340435,0.9995899375772982,0.9997482633626341,0.9999143411162895,0.9996442367462823,0.9998644663503157,0.9992186239764881,0.9997857675616292,0.9998944852621905,0.9994961314139783,0.9998661080480403,0.9997062543252255,0.9998064666910997,0.9998069196529713
S074_004,0.9998592044535273,0.9999416661185603,0.9999264593011684,0.9998622338414792,0.9993402936445634,0.9992347695982566,0.9998122887858982,0.9997383130993945,0.9998815697546195,1.0,0.9994498871200053,0.999130987084239,0.9998534799281915,0.9996435477170889,0.9998832028401521,0.9997142707946386,0.999938664675411,0.9997536168846661,0.9998525532328629,0.9999248046416906,0.9995519206191958,0.999937219737767,0.9998428964937504,0.9993940626381935,0.9999525200816965,0.9998730369248752,0.9998585042476957,0.9999310797857857
