,S010_007,S011_007,S014_007,S022_007,S026_007,S032_007,S034_007,S035_007,S037_007,S042_007,S044_007,S045_007,S050_007,S051_007,S052_007,S053_007,S055_007,S056_007,S057_007,S058_007,S059_007,S060_007,S061_007,S062_007,S063_007,S064_007,S065_007,S066_007,S067_007,S068_007,S069_007,S070_007,S071_007,S073_007,S074_007,S075_007,S076_007,S077_007,S078_007,S079_007,S080_007,S081_007,S082_007,S084_007,S085_007,S086_007,S087_007,S088_007,S089_007,S090_007,S092_007,S094_007,S095_007,S097_007,S099_007,S100_007,S101_007,S102_007,S103_007,S105_007,S106_007,S107_007,S110_007,S111_007,S113_007,S114_007,S116_007,S117_007,S119_007,S121_007,S122_007,S124_007
S010_007,1.0,0.9988000478029052,0.9989542174013425,0.9991968322629811,0.9989475317352134,0.9994213201307175,0.998793611021883,0.9985142812938079,0.99794572451228,0.9986523677451771,0.9987996723294196,0.9986743611200907,0.9986814903393134,0.9973567852568339,0.9978484037088567,0.998810257428157,0.9963866238643324,0.9991059926462924,0.9990177188253673,0.9985820242395227,0.9990634440678564,0.9986228964583834,0.9988425039957515,0.9975436240077206,0.9984165950724717,0.9992735711981825,0.9992172249492739,0.9994328874391476,0.9991824797311737,0.998833318796366,0.9973018680550721,0.9986372833767848,0.9968043523409714,0.9969305186671885,0.9988525837821802,0.998595409522626,0.9975677146309979,0.9993311992612879,0.9986820130195936,0.9985233374012474,0.9986721621602888,0.9991141619830646,0.9993997179604155,0.9981779145966834,0.998228516157775,0.9986258134835514,0.9984732617570006,0.9980674470256687,0.9959506034407685,0.9988141532525991,0.9992908397922058,0.997412558391432,0.9965770091937283,0.9986174418514937,0.9990261793568296,0.9972030338171851,0.9968985166978143,0.9991397864149343,0.9990953488199208,0.9984076070253045,0.9977092988689474,0.9948997258339087,0.9975011146556985,0.9990480285820068,0.9984302922043096,0.998787438345748,0.9962686589662193,0.997226332716326,0.9975191106856792,0.998730850242917,0.9993705343910997,0.9977144018700804
S011_007,0.9988000478029052,1.0,0.9998277898769773,0.9996376945118983,0.9989779436909962,0.9995083110538001,0.9989099639229175,0.9994886673629042,0.9976667954579987,0.9994057414330216,0.999348239762804,0.9993662952684407,0.9990334826514968,0.99897294221935,0.9984737306620801,0.9995545551570709,0.9969190932366598,0.9981561164975451,0.999219467782338,0.9990996863208691,0.997339576993605,0.9998758566982431,0.9977126256845051,0.9984465424195925,0.9991754285750737,0.999330100653279,0.9989340475787166,0.9989777405351288,0.9990015994025391,0.9994104719546676,0.9972166561592875,0.9991256576762867,0.9979578405590066,0.9967714059122676,0.9994487975885996,0.9990760273097713,0.9993260724726417,0.999292079031319,0.9992236880271008,0.9994350105731303,0.9992883116826045,0.9991344447698128,0.9996276112659692,0.9954356213462866,0.9991553371721502,0.9987115968001836,0.9988612777430063,0.9973500174734287,0.9982602962064251,0.999176908605977,0.9988753125078484,0.9959490611752596,0.9988297039271703,0.9991273452013185,0.9988291949781701,0.9971759869734362,0.9966352763583868,0.9996587906284268,0.9992968074693458,0.9995140431467496,0.9980475076572474,0.992339288885796,0.9978615911438737,0.9979456973384222,0.9995013331119199,0.9995689911888804,0.9947338585312208,0.9955024190308774,0.9956766128387837,0.9993214130098635,0.999139540430498,0.9949104570024702
S014_007,0.9989542174013425,0.9998277898769773,1.0,0.9999073508034146,0.9995076149893348,0.9995794085700069,0.9994206730824786,0.999714383085304,0.9984226542266774,0.999734447384178,0.9995428839696987,0.9995094004553615,0.9988821480073544,0.9992309386401652,0.9985973117929233,0.9998127262048285,0.9976633557403476,0.998171656653071,0.99948507766713,0.9992701988975897,0.9980452441801878,0.9998135463681084,0.9984011863544014,0.9992072057378548,0.9996322001793506,0.9994733586823481,0.9994407460566033,0.9994967811491143,0.9992632667695296,0.9997798846249237,0.9979339814205477,0.999656768118913,0.9977349388607858,0.996587957992045,0.9998533177118083,0.9996630674960837,0.9995476887386571,0.9994962555885044,0.9996722644630432,0.9993429841417052,0.9996295148974635,0.9991381181416179,0.9995391015373493,0.9959039116393332,0.9992748511587681,0.9988334292943789,0.9989359567867504,0.9982887547751708,0.9985252087662803,0.9995996280863507,0.9993318040176294,0.9960915458785182,0.9989775627377111,0.9996125087544527,0.9990416921780736,0.9970092687489311,0.9970961083097635,0.9997652542659763,0.9997173447876635,0.9996536821584538,0.9983658351654644,0.9936874211614473,0.9982699686779828,0.9986753353193254,0.999714398504474,0.9998081595500596,0.9958052427769742,0.995545672575448,0.9968464738073453,0.9996303866810496,0.9991527524260563,0.9950179545649109
S022_007,0.9991968322629811,0.9996376945118983,0.9999073508034146,1.0,0.9994531196288187,0.9997302000668729,0.9995924703887501,0.9996335972158749,0.9984518048743272,0.9997248065778341,0.9997182257653416,0.9996234463227601,0.9992177468598493,0.9992556930463548,0.9986001189431657,0.9996930305047442,0.9978837728913451,0.9982382653018481,0.9997807090511899,0.9990616681242074,0.9986069374611819,0.9996542508648811,0.9990097858098871,0.9992458947554946,0.9997392685144177,0.9995555333433631,0.9997412094707754,0.9997738851337185,0.9996620405964113,0.9998262802159059,0.9984317712643449,0.9997666210913938,0.9981202234747312,0.9972780911449334,0.9998200491394367,0.999686384812685,0.9992923195561734,0.9993196498449073,0.9996763045873359,0.9995260038133649,0.9997014722960167,0.9994729322933051,0.9994683908240504,0.996865070756327,0.9992250139144138,0.9991808558678758,0.9993116261570304,0.9987039909016316,0.9984959115749173,0.9994480232153332,0.9995052099821541,0.9970700966798923,0.9988282457143646,0.9994924152257453,0.999041962166504,0.9976353617540161,0.9970158791281529,0.9995837140283627,0.9998642936634328,0.9997042260023347,0.9985517471420425,0.9947159126941851,0.9984581721675657,0.9990491604206417,0.999750972380471,0.9998994143276929,0.9961456126602583,0.9965816621410815,0.9975887041006204,0.9997820811615011,0.9990308567396824,0.9957545425026942
S026_007,0.9989475317352134,0.9989779436909962,0.9995076149893348,0.9994531196288187,1.0,0.9989378029158433,0.9988793102003918,0.9994751026609271,0.9993268494298448,0.9991910914013412,0.999026173670791,0.9988364627918075,0.99777324040453,0.9985574106901463,0.9975317222853273,0.9996660762167268,0.997129415348387,0.998697757398298,0.9989548528535533,0.9991311636625361,0.9987592020950363,0.9990445035368248,0.998618904249139,0.9988023790428142,0.9991131960809951,0.9993779345326675,0.9993925573116808,0.9995760860700786,0.9987931209403561,0.9992875413425285,0.9981606313554046,0.9994971415440257,0.9964010786493717,0.9955603788225701,0.9997907420576937,0.9995179633018169,0.9986231898643863,0.9996379157246068,0.9993513039837443,0.9982703722976296,0.9990188649370128,0.998448129993215,0.999020063592894,0.9963637148760313,0.9981169806932317,0.9977316198743977,0.9977651816340114,0.9989423510017098,0.9969750495745776,0.9999106533349268,0.9996714929813942,0.9952754877940585,0.9974465080096232,0.9997116140387697,0.9995027895586746,0.996131882305836,0.9982181585538205,0.9993662204950086,0.9996317285503601,0.9988104433424283,0.9978067082348993,0.9954722525585122,0.9987379353091088,0.999424243879364,0.9990316774396455,0.9990276536426211,0.9974485631360052,0.9947651349204923,0.9977638022583952,0.9987982330973888,0.9992401539883006,0.9942447936450526
S032_007,0.9994213201307175,0.9995083110538001,0.9995794085700069,0.9997302000668729,0.9989378029158433,1.0,0.9993457084398105,0.9994222645958549,0.9982437283444854,0.9995310209269586,0.9994127075814112,0.9996725439214423,0.9993030676554938,0.998999510389119,0.9991339335546093,0.9994539444328715,0.9969337943320699,0.9987259522968839,0.999723160752776,0.9985188543883182,0.9985850109412913,0.9993770326120802,0.9986374314679806,0.9986418382656387,0.9990662269286666,0.9997163217990899,0.9996178016001319,0.9995474966825324,0.9996011278403645,0.9995578033099297,0.9974388704980985,0.9993986995299992,0.9978020711317107,0.9976947541027259,0.999228377121533,0.9989483904167747,0.9989649756582416,0.9992656745398598,0.9992111780793358,0.9993593376807902,0.9996396271161976,0.9994363692419547,0.9997804298283608,0.9973820643808387,0.9993790353744771,0.9989736283192189,0.9993422939225564,0.9984084117481902,0.9980105374624454,0.9989939609395406,0.9994120055002328,0.9974881587051485,0.9985166515658087,0.9992121232979121,0.9990780975135275,0.9978862839342442,0.9972458240441927,0.9994966547772864,0.9994819522485101,0.9991654528780509,0.9991084604698804,0.9943316357394452,0.9980249886546905,0.9987775851197588,0.9994489383104821,0.9996051403500622,0.9962708947336093,0.9971064935323846,0.9974207127855061,0.999657303113572,0.9992653618811418,0.9964915529761623
S034_007,0.998793611021883,0.9989099639229175,0.9994206730824786,0.9995924703887501,0.9988793102003918,0.9993457084398105,1.0,0.9987792070857922,0.9981328082123698,0.9997578694197488,0.9992356682033677,0.9993249386884651,0.9985713064962395,0.998559287299602,0.9985905839790692,0.9992202503369666,0.9987729694009563,0.9970917998514024,0.9993452568930971,0.9988984277263344,0.9982817294199915,0.9987639208722878,0.9984774848154315,0.9995883642708083,0.999642419112471,0.9988093743644051,0.999463268974003,0.9994223492322926,0.9991390081440062,0.999843701300406,0.9974050152370786,0.9995836014580555,0.9969227036499733,0.9963333073073307,0.9993315714718194,0.999595344282519,0.9992635086164041,0.9988786657612349,0.9997856132244837,0.9988023532023865,0.9994326322332324,0.9985595361894813,0.9988467687723227,0.9962542008887233,0.9995454392310424,0.9992710118668261,0.9991717894633156,0.9986165448950269,0.9987727045455482,0.9987494159840501,0.9987821522745054,0.996724270771344,0.9987772282223916,0.9990969373039642,0.9979863637307406,0.9964201035959339,0.9956801963991366,0.9991447399305351,0.9994488818435717,0.9992969958309834,0.9981707321860206,0.9939449523684322,0.9972089772405278,0.998587558664205,0.9994389210114356,0.9997205788993826,0.9958985410371823,0.9958994546263626,0.9978017296491173,0.9998388033650113,0.998137385368245,0.9960904907069252
S035_007,0.9985142812938079,0.9994886673629042,0.999714383085304,0.9996335972158749,0.9994751026609271,0.9994222645958549,0.9987792070857922,1.0,0.9988725910685506,0.9994078345277053,0.9992654639707392,0.9994181811457984,0.9984749452195305,0.9996038208293485,0.998570011672024,0.9997752430471304,0.9964737246031741,0.9985766897421002,0.9994012329149045,0.9984675993224928,0.998101053272008,0.9996119689867222,0.99830365769851,0.9988856979989802,0.999084785555377,0.9996796732756473,0.9994152703669468,0.9993741406008618,0.9991087360278454,0.9993881704594771,0.9979825357694186,0.9995858442837339,0.9974902730592172,0.996638948755996,0.9996128947099546,0.9991595888756833,0.9992215640038411,0.9992739814175979,0.9991342878209492,0.9989993128682608,0.9995840176855341,0.9989407183495586,0.9994069674447118,0.9960303308939784,0.9987237192959016,0.9978387007186299,0.9984222333993706,0.9985727672333736,0.9980225644992675,0.9996333912999181,0.9995864602706996,0.9957116742627867,0.9986489632743084,0.9997170806464302,0.9994442618409253,0.9971632703758259,0.9983541977634822,0.999450518069482,0.9995559427060192,0.9991016546368274,0.998964495935536,0.9945998600072155,0.9988851243067562,0.9988071704460597,0.9994810195420128,0.9993699366664024,0.9967497578896555,0.9952881332892783,0.9970458585639135,0.9992187128182735,0.9992124644057324,0.9937407435749106
S037_007,0.99794572451228,0.9976667954579987,0.9984226542266774,0.9984518048743272,0.9993268494298448,0.9982437283444854,0.9981328082123698,0.9988725910685506,1.0,0.9987192071913537,0.9982962950580658,0.9985831187827963,0.9966377568058468,0.9983039511179023,0.9968762951773233,0.999221653762326,0.9964496728791632,0.9985488272727968,0.9983703082352462,0.9981205477991933,0.9987896322686376,0.9975161036922261,0.9976564782703023,0.9981934354212934,0.998003809944379,0.9990895876237903,0.9990435504490253,0.9989266660602026,0.9979892289334095,0.9986586188129952,0.9968746411101573,0.9991533365631449,0.9949012239586085,0.9952194176780811,0.9988296566879504,0.9983557746725374,0.9977890077216044,0.9988983948251914,0.9986691882755112,0.9970217476617385,0.9981967768100397,0.9970876111591974,0.9981103695305148,0.9962803312267321,0.9973966627744052,0.9963175594362085,0.9968934737493818,0.9994622720797466,0.9962596351125269,0.9990502303044707,0.9992264246107392,0.9946573170655776,0.996275967517122,0.9992073528379706,0.9992846122138854,0.9955363244065194,0.998895464969946,0.9981777602163731,0.9989932179913024,0.9975068545857283,0.9979059637173938,0.9964474933024101,0.9988142991796134,0.999296269681414,0.9984264365692721,0.9980239070304845,0.9992446484066626,0.9938882927143141,0.9985262972526263,0.9980193943631531,0.9983758625578701,0.9921469104814092
S042_007,0.9986523677451771,0.9994057414330216,0.999734447384178,0.9997248065778341,0.9991910914013412,0.9995310209269586,0.9997578694197488,0.9994078345277053,0.9987192071913537,1.0,0.999516378631887,0.9997530242869507,0.998710072288608,0.9992799735363844,0.9987171606826816,0.9997604448005857,0.9984067938472805,0.9977362765444051,0.9995071296733482,0.9991801228285173,0.9981602906046829,0.9991967458682833,0.9980998202272933,0.9995354004295318,0.9996212362642953,0.9993313303550978,0.9995323491049184,0.9993960576282527,0.9991495451073733,0.9999726136605178,0.9973226344458165,0.9998229964229195,0.9972577451296141,0.9966544638368808,0.9995910914516611,0.9995248730475467,0.9996628413308959,0.9992241391599261,0.9998744546123471,0.9990730223760925,0.9995569349942851,0.9986293994700316,0.9992161696572529,0.9958912973275393,0.9996353814976805,0.9989119584559915,0.9991326030333588,0.9987430025133541,0.9990481898279063,0.9991441026646928,0.9990494600268595,0.9962870570594017,0.9990579879149912,0.99947594864932,0.9986679305906687,0.9968008073628477,0.9967651099901659,0.9993956124556772,0.9996477517288146,0.9994782276076147,0.99856266256494,0.9938788336989911,0.9980440272062678,0.9986393575179145,0.999824768955179,0.9998138442545881,0.9964804898933551,0.9954455770105722,0.9975243020757137,0.9998347469696546,0.9985848620674744,0.9947093319309229
S044_007,0.9987996723294196,0.999348239762804,0.9995428839696987,0.9997182257653416,0.999026173670791,0.9994127075814112,0.9992356682033677,0.9992654639707392,0.9982962950580658,0.999516378631887,1.0,0.9997576370823796,0.9995700614867711,0.9992822237673775,0.9975271841262215,0.9994832503610145,0.9983296474922534,0.9979867535566534,0.9998233754741763,0.9990770469892769,0.9987019381609934,0.9991672876215922,0.9988555318830501,0.9986816475353608,0.9996422145497313,0.9994083663174914,0.9996093648536775,0.9995075973639781,0.9997211953009172,0.9996170323885728,0.9985773724904611,0.9996303388417535,0.9988723634120805,0.9983372423994105,0.9995635443737483,0.9992506043162883,0.9987567570080798,0.9987076209971334,0.9995255086087363,0.9997486583999824,0.9990164714991001,0.9994482469246709,0.9988894563619773,0.9971937347308077,0.9987098554777867,0.9993450940311077,0.9995909133726879,0.9988037389879579,0.9985512551754131,0.9988057045329198,0.9990947623376378,0.9978313305377048,0.9982504068122929,0.9987937554232214,0.9988394382406743,0.9985497770091745,0.9964499306820885,0.9988098035809555,0.9998189187965703,0.9997941225979696,0.9978218415914835,0.995346141998886,0.9989813805312421,0.998985565998444,0.9998479022098214,0.9997349816409826,0.9962338825471533,0.997232750102803,0.9978096970782313,0.999513800316554,0.9982974821145942,0.9947907754208591
S045_007,0.9986743611200907,0.9993662952684407,0.9995094004553615,0.9996234463227601,0.9988364627918075,0.9996725439214423,0.9993249386884651,0.9994181811457984,0.9985831187827963,0.9997530242869507,0.9997576370823796,1.0,0.9993238504878645,0.999528541640308,0.9984386208186065,0.9996216337586324,0.9978780915064451,0.9981728873019783,0.9997944525243901,0.9987702963508924,0.9984526943991027,0.9990896697414126,0.998274109650751,0.9988536941590299,0.9993226200643934,0.9996034050801165,0.9996043307992606,0.9993491188891135,0.9995103870307738,0.9997158016917357,0.9975612509630584,0.9996779161520495,0.9981976998278146,0.9980869389314222,0.9993075798352017,0.9989517680969672,0.9991484135978029,0.9988533740012473,0.9994770329222724,0.9994853455826762,0.9993228148566731,0.9990889860000279,0.9992088415791637,0.9968461159304289,0.9992800021384664,0.9989726583553344,0.9995154511369312,0.998815161515707,0.9988180239786538,0.9987335426369408,0.9990888734318196,0.9974090218334934,0.9986611998491233,0.9990417292905509,0.9989013699476674,0.998164116056723,0.9969983724868207,0.99897949627481,0.999624676940713,0.999446012280961,0.9987219947416355,0.9946974677396123,0.9986586382568126,0.998722834438274,0.999869247931633,0.9996917248051197,0.996703340345576,0.9967185700295701,0.9977142248468096,0.9996777649267554,0.998502234889802,0.9945863212628769
S050_007,0.9986814903393134,0.9990334826514968,0.9988821480073544,0.9992177468598493,0.99777324040453,0.9993030676554938,0.9985713064962395,0.9984749452195305,0.9966377568058468,0.998710072288608,0.9995700614867711,0.9993238504878645,1.0,0.9985653775570063,0.997378807128988,0.9985069455211313,0.9971937622388914,0.9975450597330466,0.9995737599694596,0.9980370788180075,0.9980615577068777,0.9988194496633716,0.998551575289476,0.997471761495145,0.9988797588890242,0.9989058255297903,0.9989969528741026,0.9988778142529343,0.9996610978525005,0.9988584808308686,0.9979695591014186,0.9986665293444194,0.9994313564026112,0.9991565722637294,0.9985810843937108,0.9982057115142873,0.9978470356903425,0.9977971057680817,0.9985431706055162,0.9998680793659841,0.9985160395667064,0.9997250040136284,0.9986749213477759,0.9975644312489026,0.9983288477799015,0.9995053863278771,0.9998009233844443,0.9975614922075187,0.9979058527307003,0.9976327963003881,0.9983482282944051,0.998798590892585,0.9977677881409636,0.9976192209215363,0.9980151869145546,0.9992684760520498,0.9950780134712572,0.9981944505650152,0.9990519550469102,0.9993717511058494,0.9974908177221938,0.9942576182343782,0.9979864569522138,0.9980316863539658,0.9992208795066817,0.9992940129072829,0.9944230664630205,0.9984810890977823,0.9967390740841883,0.9991095505029802,0.9977949588845734,0.9959956988505001
